H,1548216336,92071
T,1548216336,2716
X,1548216337,176473,142
X,1548216338,176462,128
X,1548216339,176485,110
X,1548216339,176460,65
X,1548216340,176406,62
X,1548216340,176408,139
X,1548216341,176445,148
X,1548216341,176356,155
X,1548216342,176449,123
X,1548216343,176481,120
X,1548216343,176402,85
X,1548216344,176291,174
X,1548216344,176238,153
X,1548216345,176248,220
X,1548216345,176197,346
X,1548216346,176475,223
X,1548216347,176580,132
X,1548216347,176717,149
X,1548216348,176800,283
X,1548216348,177003,165
A,1548216348,176468,806
T,1548216348,2716
X,1548216350,176365,192
X,1548216351,176252,106
X,1548216351,176378,162
X,1548216352,176350,199
X,1548216352,176274,262
X,1548216353,176275,311
X,1548216354,176214,191
X,1548216354,176248,208
X,1548216355,176175,225
X,1548216355,176135,122
X,1548216356,176306,195
X,1548216356,176247,151
X,1548216357,176252,218
X,1548216358,176090,156
X,1548216358,176244,330
X,1548216359,176288,250
X,1548216359,176490,127
X,1548216360,176437,292
X,1548216360,176380,208
X,1548216361,176408,121
A,1548216361,176290,400
T,1548216361,2716
P,1548216362,5106
X,1548216363,176190,153
X,1548216364,176306,233
X,1548216364,176317,212
X,1548216365,176285,246
X,1548216365,176195,286
X,1548216366,176322,121
X,1548216366,176402,72
X,1548216367,176564,296
X,1548216367,176848,404
X,1548216368,177125,288
X,1548216369,177087,217
X,1548216369,177165,137
X,1548216370,177276,173
X,1548216370,177230,144
X,1548216371,177046,152
X,1548216371,177077,191
X,1548216372,177036,107
X,1548216373,177000,114
X,1548216373,177163,265
X,1548216374,177268,104
A,1548216374,176795,1086
T,1548216374,2717
X,1548216376,176926,137
X,1548216376,176861,101
X,1548216377,177019,314
X,1548216377,176883,298
X,1548216377,176913,227
X,1548216378,176893,171
X,1548216378,176877,246
X,1548216379,176736,170
X,1548216379,176819,187
X,1548216380,176848,145
X,1548216380,176921,93
X,1548216381,176969,127
X,1548216382,176925,168
X,1548216382,176947,192
X,1548216383,176715,164
X,1548216383,176675,143
X,1548216384,176644,103
X,1548216384,176643,88
X,1548216385,176584,120
X,1548216385,176614,93
A,1548216385,176820,435
T,1548216386,2717
X,1548216387,176732,172
X,1548216388,176742,222
X,1548216389,176943,207
X,1548216389,176871,173
X,1548216390,176833,86
X,1548216390,176732,76
X,1548216391,176746,180
P,1548216391,5106
X,1548216391,176829,108
X,1548216392,176665,272
X,1548216393,176495,92
X,1548216393,176388,197
X,1548216394,176347,172
X,1548216394,176318,201
X,1548216395,176443,257
X,1548216395,176464,109
X,1548216396,176679,297
X,1548216397,176730,215
X,1548216397,176546,248
X,1548216398,176664,149
X,1548216398,176669,124
A,1548216398,176641,625
T,1548216398,2717
X,1548216400,176305,140
X,1548216401,176411,150
X,1548216401,176392,99
X,1548216402,176485,175
X,1548216402,176752,422
X,1548216403,177226,245
X,1548216404,176666,454
X,1548216404,176326,283
X,1548216405,176168,738
X,1548216405,176318,306
X,1548216406,176205,384
X,1548216406,176234,201
X,1548216407,176269,201
X,1548216408,176472,96
X,1548216408,176501,99
X,1548216409,176507,144
X,1548216409,176480,167
X,1548216410,176561,99
X,1548216410,176554,92
X,1548216411,176536,72
A,1548216411,176468,1058
T,1548216411,2716
R,1548216411,000000000
X,1548216413,176511,99
X,1548216414,176513,115
X,1548216414,176503,130
X,1548216415,176496,115
X,1548216415,176506,161
X,1548216416,176482,158
X,1548216416,176399,202
X,1548216417,176516,189
X,1548216417,176538,100
X,1548216418,176496,236
X,1548216418,176456,109
X,1548216418,176461,134
X,1548216419,176466,117
X,1548216419,176398,103
X,1548216420,176348,233
P,1548216420,5107
X,1548216420,176319,280
X,1548216421,176358,163
X,1548216422,176250,220
X,1548216422,176326,135
X,1548216423,176414,116
A,1548216423,176437,288
T,1548216423,2716
X,1548216425,176620,171
X,1548216425,176661,105
X,1548216426,176624,94
X,1548216426,176638,139
X,1548216427,176630,132
X,1548216428,176658,121
X,1548216428,176691,131
X,1548216429,176659,56
X,1548216429,176627,100
X,1548216430,176560,74
X,1548216430,176627,127
X,1548216431,176596,65
X,1548216431,176554,88
X,1548216432,176528,138
X,1548216433,176560,80
