H,1552095556,147519
R,1552095556,700D9B77F
X,1552095558,400381,525
X,1552095559,400310,284
X,1552095559,400511,685
X,1552095560,400598,562
X,1552095560,400243,843
X,1552095561,400198,691
X,1552095561,400393,641
X,1552095562,400080,736
X,1552095563,400329,452
X,1552095563,400337,765
X,1552095564,400225,4977
X,1552095564,400622,1143
X,1552095565,400558,1064
X,1552095565,400455,717
X,1552095566,400602,337
X,1552095566,400465,463
X,1552095567,400178,654
X,1552095568,400166,425
X,1552095568,400096,742
X,1552095569,399919,1553
X,1552095569,400359,1341
X,1552095570,400570,858
X,1552095570,400457,701
X,1552095571,400349,589
X,1552095572,400505,691
A,1552095572,400361,522
T,1552095572,2807
R,1552095572,700D9B77F
P,1552095573,5080
X,1552095574,400561,723
X,1552095574,400511,638
X,1552095575,400478,846
X,1552095575,400576,841
X,1552095576,400411,794
X,1552095577,400511,632
X,1552095577,400692,936
X,1552095578,400720,824
X,1552095578,400825,887
X,1552095579,400735,735
X,1552095579,400542,1176
X,1552095580,400532,800
X,1552095581,400333,2506
X,1552095581,400392,1031
X,1552095582,406074,146
X,1552095582,194969,12772
X,1552095583,151687,1855
X,1552095583,150885,547
X,1552095584,150560,543
X,1552095585,150148,321
X,1552095585,149947,87
X,1552095586,149778,324
X,1552095586,149824,246
X,1552095587,149744,239
X,1552095587,149723,266
X,1552095588,149726,160
O,1552095589,149799,172
O,1552095589,149916,110
O,1552095590,149802,85
O,1552095590,149776,100
O,1552095591,149793,150
O,1552095591,149673,189
O,1552095592,149580,126
O,1552095592,149571,111
O,1552095593,149503,100
O,1552095594,149469,110
O,1552095594,149442,99
O,1552095595,149384,246
O,1552095595,149352,121
O,1552095596,149387,87
O,1552095596,149439,135
O,1552095597,149476,157
O,1552095597,149531,188
O,1552095597,149645,148
O,1552095598,149795,263
O,1552095598,149616,155
O,1552095599,149439,219
O,1552095599,149327,95
O,1552095600,149257,125
O,1552095601,149283,127
O,1552095601,149237,125
O,1552095602,149196,95
P,1552095602,5083
O,1552095602,149194,100
O,1552095603,149228,148
O,1552095603,149087,147
O,1552095604,148954,185
O,1552095605,149074,203
O,1552095605,148809,617
O,1552095606,148824,339
O,1552095606,148663,297
O,1552095607,148691,223
O,1552095607,148909,174
O,1552095608,148847,113
O,1552095609,148873,200
O,1552095609,148736,150
O,1552095610,148549,329
O,1552095610,148455,295
O,1552095611,147923,609
O,1552095611,148213,702
O,1552095612,147953,623
O,1552095613,148469,634
O,1552095613,148574,174
O,1552095614,148593,165
O,1552095614,148473,190
O,1552095615,148638,182
O,1552095615,148714,99
O,1552095616,148785,205
O,1552095616,148852,107
O,1552095617,148858,92
O,1552095618,148690,178
O,1552095618,148761,160
O,1552095619,148793,153
O,1552095619,148773,97
O,1552095620,148798,110
O,1552095620,148788,126
O,1552095621,148787,94
O,1552095622,148728,254
O,1552095622,148632,127
O,1552095623,148798,221
O,1552095623,148793,172
O,1552095624,148866,116
O,1552095624,149027,215
O,1552095625,149097,100
O,1552095626,149097,80
O,1552095626,149082,192
O,1552095627,148767,460
O,1552095627,148692,183
O,1552095628,148796,146
O,1552095628,148763,128
O,1552095629,148783,106
O,1552095630,148674,170
O,1552095630,148684,106
O,1552095631,148581,75
O,1552095631,148627,126
O,1552095632,148602,85
P,1552095632,5082
O,1552095632,148652,54
O,1552095633,148609,116
O,1552095634,148604,115
O,1552095634,148547,173
O,1552095635,148334,369
O,1552095635,148375,225
O,1552095636,148138,465
O,1552095636,148040,673
O,1552095637,148248,101
O,1552095638,148253,273
O,1552095638,147838,524
T,1552095638,2807
P,1552095661,5092
P,1552095691,5091
P,1552095720,5091
P,1552095750,5092
P,1552095779,5082
P,1552095808,5093
P,1552095838,5091
P,1552095867,5091
P,1552095896,5091
P,1552095925,5090
P,1552095955,5090
P,1552095985,5093
P,1552096014,5093
P,1552096044,5092
P,1552096073,5094
P,1552096102,5089
P,1552096131,5093
P,1552096161,5093
P,1552096191,5094
P,1552096220,5091
P,1552096250,5093
P,1552096280,5091
P,1552096309,5089
P,1552096338,5091
P,1552096368,5093
P,1552096397,5094
P,1552096426,5093
P,1552096456,5091
P,1552096485,5093
P,1552096514,5091
P,1552096543,5094
P,1552096574,5094
P,1552096603,5094
