9,5077
P,1564193279,5075
P,1564193308,5077
P,1564193337,5073
P,1564193366,5077
P,1564193396,5075
P,1564193425,5077
P,1564193454,5077
P,1564193485,5075
D,1564193486,268288
R,1564193486,5C00DDFC91
R,1564193486,5C00DDFC91
R,1564193486,5C00DDFC91
X,1564193487,393269,4312
X,1564193487,392830,4574
X,1564193488,393172,2076
X,1564193488,393256,2768
X,1564193489,393458,12954
X,1564193489,393479,4169
X,1564193490,393591,2151
X,1564193490,392734,8326
X,1564193491,393749,5807
X,1564193492,393583,6139
X,1564193492,393451,2095
X,1564193493,393577,2961
X,1564193493,393872,5250
X,1564193494,393904,1621
X,1564193494,394038,17134
X,1564193495,393518,11309
X,1564193496,393673,3588
X,1564193496,394054,8965
X,1564193497,393678,11875
X,1564193497,393276,21717
X,1564193498,393225,19563
X,1564193498,393750,16131
X,1564193499,393850,12556
X,1564193500,394996,24389
X,1564193500,392470,18962
X,1564193501,394836,17649
X,1564193501,395422,11454
X,1564193502,394012,16825
X,1564193502,392420,14050
X,1564193503,393275,59509
X,1564193504,394060,10927
X,1564193504,393914,15229
X,1564193505,394022,8148
X,1564193505,394350,2761
X,1564193506,393917,1735
X,1564193506,394291,6754
X,1564193507,395510,32137
X,1564193508,395211,56237
X,1564193508,394047,8473
X,1564193509,395023,2748
X,1564193509,395043,3808
X,1564193510,395123,8773
X,1564193510,395010,1525
X,1564193511,394976,1257
X,1564193512,394584,6723
X,1564193512,395788,8687
X,1564193513,394825,2171
X,1564193513,395477,27117
P,1564193514,5066
X,1564193514,393855,30427
X,1564193514,396390,17168
X,1564193515,404388,21986
