H,1553224761,147519
X,1553224761,409042,881
X,1553224761,409072,713
X,1553224762,409025,304
X,1553224762,409054,463
X,1553224763,408747,878
X,1553224763,408748,1232
X,1553224764,408990,675
X,1553224765,409019,14874
X,1553224765,409213,11193
X,1553224766,409065,1038
X,1553224766,409026,679
X,1553224767,408985,637
X,1553224767,409135,638
X,1553224768,409056,646
X,1553224769,409102,915
X,1553224769,409013,710
X,1553224770,409072,782
X,1553224770,408881,495
P,1553224771,4988
X,1553224771,408872,569
X,1553224771,408735,514
X,1553224772,408765,916
X,1553224773,408878,1952
X,1553224773,408690,519
X,1553224774,408918,603
X,1553224774,408619,539
A,1553224774,408939,516
T,1553224774,2762
R,1553224775,700D9B77F
X,1553224776,409110,697
X,1553224777,409083,349
X,1553224777,409122,314
X,1553224778,409046,785
X,1553224778,408916,903
X,1553224779,408998,1409
X,1553224780,409138,662
X,1553224780,409108,317
X,1553224781,409130,745
X,1553224781,409057,970
X,1553224782,408859,851
X,1553224782,408779,805
X,1553224783,408778,1139
X,1553224784,408754,443
X,1553224784,408778,819
X,1553224785,408841,489
X,1553224785,409086,622
X,1553224786,409187,790
X,1553224786,409011,1029
X,1553224787,409039,413
X,1553224788,408885,401
X,1553224788,408825,374
X,1553224788,408794,594
A,1553224788,408976,433
T,1553224788,2762
R,1553224788,700D9B77F
X,1553224790,408806,519
X,1553224790,408610,309
X,1553224791,408579,190
X,1553224791,408727,550
X,1553224792,408722,759
X,1553224793,408785,1075
X,1553224793,408805,907
X,1553224794,408979,366
X,1553224794,408992,577
X,1553224795,408998,605
X,1553224795,408971,343
X,1553224796,409009,1013
X,1553224797,409014,590
X,1553224797,408979,739
X,1553224798,408988,551
X,1553224798,408902,438
X,1553224799,408850,736
X,1553224799,408993,977
P,1553224800,5000
X,1553224800,408916,1368
X,1553224800,408921,502
X,1553224801,409039,401
X,1553224802,408966,340
X,1553224802,408811,582
A,1553224802,408882,460
T,1553224802,2762
R,1553224803,700D9B77F
X,1553224804,408934,462
X,1553224805,409003,274
X,1553224805,408899,223
X,1553224806,408850,263
X,1553224806,408854,406
X,1553224807,408883,835
X,1553224808,408860,712
X,1553224808,408883,767
X,1553224809,408857,327
X,1553224809,408887,630
X,1553224810,408794,515
X,1553224810,408697,489
X,1553224811,408649,854
X,1553224812,408557,719
X,1553224812,408647,535
X,1553224813,408651,230
X,1553224813,408816,393
X,1553224814,408900,704
X,1553224814,408771,546
X,1553224815,408690,956
A,1553224815,408804,446
T,1553224815,2762
R,1553224815,700D9B77F
X,1553224817,408901,420
X,1553224817,408882,649
X,1553224818,408935,802
X,1553224819,408916,809
X,1553224819,408832,554
X,1553224820,408754,540
X,1553224820,408742,464
X,1553224821,408684,538
X,1553224821,408537,488
X,1553224822,408450,1027
X,1553224823,408620,606
X,1553224823,408632,631
X,1553224824,408677,714
X,1553224824,408720,312
X,1553224825,408729,859
X,1553224825,408811,941
X,1553224826,408854,731
X,1553224827,408878,622
X,1553224827,408812,496
X,1553224828,408732,851
X,1553224828,408848,741
A,1553224828,408774,398
T,1553224828,2762
R,1553224829,700D9B77F
P,1553224829,5001
X,1553224829,408925,706
X,1553224830,408944,283
X,1553224830,408931,398
X,1553224831,408961,695
X,1553224832,408946,599
X,1553224832,408920,386
X,1553224833,408896,419
X,1553224833,408910,448
X,1553224834,408919,3537
X,1553224834,409147,774
X,1553224835,409134,1161
X,1553224836,409106,614
X,1553224836,408970,494
X,1553224837,408693,476
X,1553224837,408901,493
X,1553224838,408976,1017
X,1553224838,408907,664
X,1553224839,409018,517
X,1553224839,409122,422
X,1553224840,409180,720
X,1553224841,409116,534
X,1553224841,409084,644
X,1553224842,409137,1309
X,1553224842,409111,406
A,1553224842,408989,487
T,1553224842,2762
R,1553224843,700D9B77F
X,1553224844,408930,466
X,1553224845,409004,1041
X,1553224845,408977,459
X,1553224846,408963,777
X,1553224847,408983,783
X,1553224847,409030,1261
X,1553224848,408969,708
X,1553224848,408889,1065
X,1553224849,408981,842
X,1553224849,408935,472
X,1553224850,408611,541
X,1553224851,408541,736
X,1553224851,408680,383
X,1553224852,408575,1432
X,1553224852,408745,1011
X,1553224853,408711,621
