,362045,10436
X,1557792852,368778,21482
X,1557792853,367494,20787
X,1557792853,364833,15860
X,1557792854,367633,12627
X,1557792854,365268,8161
X,1557792855,365792,12559
X,1557792856,362906,7825
X,1557792856,367747,13283
X,1557792857,370528,25297
X,1557792857,372228,21420
X,1557792858,366428,19277
X,1557792858,361102,15869
X,1557792859,362883,31368
X,1557792859,364836,8824
X,1557792860,362310,8869
P,1557792860,5201
X,1557792861,368328,7833
X,1557792861,365165,7407
X,1557792862,373189,9994
X,1557792862,373934,9411
X,1557792863,373156,18992
X,1557792863,380914,10795
X,1557792864,378278,8799
X,1557792865,371046,7313
X,1557792865,371227,4348
X,1557792866,368926,8781
X,1557792866,368648,33037
X,1557792867,372381,22642
X,1557792867,361967,24115
X,1557792868,368411,17057
X,1557792869,376757,10400
X,1557792869,381135,4701
X,1557792870,378212,19259
X,1557792870,369050,25004
X,1557792871,375772,22542
X,1557792871,373160,11294
X,1557792872,374622,9020
X,1557792873,375746,8237
X,1557792873,372412,11375
X,1557792874,363089,10181
X,1557792874,366312,17497
X,1557792875,372784,6257
X,1557792875,369734,5851
X,1557792876,371528,5514
X,1557792877,364621,19840
X,1557792877,349022,24280
X,1557792878,356804,19690
X,1557792878,374072,17836
X,1557792879,375809,8690
X,1557792879,375675,14625
X,1557792880,360447,10212
X,1557792881,367146,18206
X,1557792881,381907,12640
X,1557792882,381138,13587
X,1557792882,365518,48539
X,1557792883,358985,21702
X,1557792883,359023,43530
X,1557792884,359400,35247
X,1557792884,357341,18430
X,1557792885,352319,22166
X,1557792885,360463,12541
X,1557792885,356682,15475
X,1557792886,355954,28780
X,1557792886,369439,22308
X,1557792887,370539,6894
X,1557792887,374814,9989
X,1557792888,375734,6731
X,1557792889,378101,11892
P,1557792889,5198
X,1557792889,378723,24512
X,1557792890,369052,64885
X,1557792890,355106,21145
X,1557792891,364742,15343
X,1557792891,370403,8332
X,1557792892,360139,16868
X,1557792893,355243,14578
X,1557792893,369968,15420
X,1557792894,367112,16279
X,1557792894,360023,13556
X,1557792895,366987,14505
X,1557792895,375852,4334
X,1557792896,371371,16233
X,1557792897,370965,15237
X,1557792897,371047,18943
X,1557792898,371506,34358
X,1557792898,370288,17800
X,1557792899,369738,19432
X,1557792899,377306,14608
X,1557792900,372476,12536
X,1557792901,375753,7646
X,1557792901,378852,6277
X,1557792902,383954,7409
X,1557792902,383138,4508
X,1557792903,380591,14010
X,1557792903,380543,3645
X,1557792904,377951,2043
X,1557792905,379944,2900
X,1557792905,380589,1423
X,1557792906,375911,8567
X,1557792906,369491,14011
X,1557792907,376037,9667
X,1557792907,374945,15954
X,1557792908,377292,10058
X,1557792909,367362,9818
X,1557792909,371036,7095
X,1557792910,368621,18786
X,1557792910,363045,30849
X,1557792911,370942,18545
X,1557792911,368293,26574
X,1557792912,364994,19165
X,1557792912,360414,11031
X,1557792913,365758,20706
X,1557792914,374885,17305
X,1557792914,376374,18088
X,1557792915,369955,24560
X,1557792915,363303,18364
X,1557792916,363172,15963
X,1557792916,372115,12204
