H,1551991112,147519
R,1551991112,700D9B77F
X,1551991114,403402,687
X,1551991115,403837,525
X,1551991115,404309,6542
X,1551991116,403355,8021
X,1551991116,404615,770
X,1551991117,404470,1096
X,1551991117,404387,866
X,1551991118,404132,705
X,1551991119,404098,658
X,1551991119,404113,687
X,1551991120,404036,1634
X,1551991120,404110,722
X,1551991121,403824,689
X,1551991121,403767,1018
X,1551991122,404046,1066
X,1551991123,404281,1088
X,1551991123,404373,1337
X,1551991124,404262,896
X,1551991124,404095,932
X,1551991125,404030,1020
P,1551991125,5100
X,1551991125,404047,764
X,1551991126,403802,1117
X,1551991127,403947,879
X,1551991127,404083,1018
X,1551991128,404128,1013
X,1551991128,404092,941
X,1551991129,404091,715
X,1551991129,404237,1018
X,1551991130,404340,983
X,1551991131,404281,512
X,1551991131,404259,997
X,1551991132,404185,450
X,1551991132,404069,702
A,1551991132,404109,1213
T,1551991132,2804
R,1551991133,700D9B77F
X,1551991134,403351,1767
X,1551991135,403558,733
X,1551991135,403760,506
X,1551991136,403831,670
X,1551991136,403497,926
X,1551991137,403682,624
X,1551991138,403930,777
X,1551991138,404072,838
X,1551991139,404064,739
X,1551991139,404207,642
X,1551991140,404305,575
X,1551991140,404293,876
X,1551991141,404056,794
X,1551991142,404787,980
X,1551991142,404282,402
X,1551991143,404147,560
X,1551991143,403995,462
X,1551991143,403759,723
X,1551991143,403673,816
X,1551991144,403482,817
X,1551991145,403292,889
A,1551991145,403933,1495
T,1551991145,2804
R,1551991145,700D9B77F
X,1551991147,403452,735
X,1551991147,403687,991
X,1551991148,403590,713
X,1551991148,403229,796
X,1551991149,403060,815
X,1551991149,402555,680
X,1551991150,402848,834
X,1551991151,402735,981
X,1551991151,402688,699
X,1551991152,403144,1009
X,1551991152,402903,796
X,1551991153,402756,646
X,1551991153,402824,643
X,1551991154,402805,768
P,1551991154,5099
X,1551991154,402701,801
X,1551991155,403004,711
X,1551991156,403011,1152
X,1551991156,403025,662
X,1551991157,403331,812
X,1551991157,403460,806
X,1551991158,403423,623
X,1551991158,403608,685
A,1551991158,403084,1132
T,1551991159,2804
R,1551991159,700D9B77F
X,1551991160,403951,500
X,1551991161,403736,474
X,1551991162,403863,1037
X,1551991162,403984,972
X,1551991163,403892,924
X,1551991163,403588,830
X,1551991164,403791,736
X,1551991164,403852,503
X,1551991165,403781,694
X,1551991166,403611,850
X,1551991166,403512,677
X,1551991167,403504,945
X,1551991167,403360,708
X,1551991168,403298,760
X,1551991168,403381,639
X,1551991169,403407,769
X,1551991170,403591,881
X,1551991170,403696,587
X,1551991171,403671,761
X,1551991171,403740,454
X,1551991172,403673,784
A,1551991172,403650,686
T,1551991172,2804
R,1551991172,700D9B77F
X,1551991174,403565,911
X,1551991174,403723,742
X,1551991175,403708,569
X,1551991175,403738,710
X,1551991176,403722,554
X,1551991177,403792,645
X,1551991177,403791,778
X,1551991178,403713,774
X,1551991178,403776,764
X,1551991179,403794,733
X,1551991179,403791,488
X,1551991180,403825,667
X,1551991181,403858,860
X,1551991181,403814,577
X,1551991182,403813,628
X,1551991182,403787,974
X,1551991183,403599,667
X,1551991183,403179,463
X,1551991184,403517,939
P,1551991184,5100
X,1551991184,403521,1027
X,1551991184,403692,4119
X,1551991185,403227,1380
X,1551991185,403349,1001
X,1551991186,403403,945
A,1551991186,403695,679
T,1551991186,2804
R,1551991186,700D9B77F
X,1551991188,404272,458
X,1551991188,404202,416
X,1551991189,404026,658
X,1551991190,403856,1288
X,1551991190,404092,673
X,1551991191,404103,717
X,1551991191,403725,747
X,1551991192,403400,593
X,1551991192,402910,761
X,1551991193,402591,1281
X,1551991194,401636,1454
X,1551991194,401799,925
X,1551991195,400621,3095
X,1551991195,399953,2941
X,1551991196,400760,1670
X,1551991196,400928,2115
X,1551991197,402154,2039
X,1551991197,403129,599
X,1551991198,401941,1397
X,1551991199,402962,830
X,1551991199,403124,1236
X,1551991200,403607,996
X,1551991200,403385,1028
X,1551991201,403333,8182
X,1551991201,402527,1631
X,1551991202,401898,725
X,1551991203,402513,1567
X,1551991203,402944,1101
X,1551991204,402544,1204
X,1551991204,402847,857
X,1551991205,402053,1809
X,1551991205,402287,1770
X,1551991206,402417,1016
