H,1553485361,147519
T,1553485361,2796
R,1553485361,700D9B77F
X,1553485363,432020,7085
X,1553485363,432691,1338
X,1553485364,432560,10905
X,1553485364,432768,945
X,1553485365,432627,486
X,1553485365,432650,637
X,1553485366,432558,807
X,1553485367,432490,529
X,1553485367,432553,877
X,1553485368,432690,667
X,1553485368,432707,571
X,1553485369,432737,562
X,1553485369,432717,561
X,1553485370,432606,1133
X,1553485370,432683,781
X,1553485370,432654,628
X,1553485371,432668,563
X,1553485371,432721,491
X,1553485372,432610,675
X,1553485372,432619,995
X,1553485373,432672,715
X,1553485374,432676,728
X,1553485374,432679,571
X,1553485375,432574,487
A,1553485375,432652,278
T,1553485375,2796
R,1553485375,700D9B77F
X,1553485377,432578,761
X,1553485377,432607,923
X,1553485378,432578,11222
X,1553485378,432873,2943
X,1553485379,432824,1604
X,1553485380,432940,2384
X,1553485380,432985,11714
X,1553485381,432709,725
P,1553485381,4934
X,1553485381,432838,11732
X,1553485382,433102,978
X,1553485382,433172,791
X,1553485383,433008,11172
X,1553485384,432842,1885
X,1553485384,432874,857
X,1553485385,432946,273
X,1553485385,432972,603
X,1553485386,433000,767
X,1553485386,432883,901
X,1553485387,432853,679
X,1553485387,432947,360
X,1553485388,432970,498
X,1553485389,432946,528
X,1553485389,432982,1107
X,1553485390,432852,856
X,1553485390,432838,952
X,1553485391,432832,823
X,1553485391,432871,473
X,1553485392,432878,546
X,1553485393,432912,525
A,1553485393,432887,594
T,1553485393,2797
R,1553485393,700D9B77F
X,1553485395,432779,726
X,1553485395,432725,707
X,1553485396,432866,917
X,1553485396,432810,936
X,1553485397,432690,1003
X,1553485397,432790,879
X,1553485398,432838,607
X,1553485399,432831,291
X,1553485399,432895,835
X,1553485400,432817,474
X,1553485400,432798,823
X,1553485401,432887,390
X,1553485401,432849,695
X,1553485402,432863,576
X,1553485403,432802,545
X,1553485403,432651,1046
X,1553485404,432688,841
X,1553485404,432768,789
X,1553485405,432812,357
X,1553485405,432839,744
X,1553485406,432692,1034
X,1553485407,432671,501
X,1553485407,432704,826
A,1553485407,432801,224
T,1553485407,2797
R,1553485407,700D9B77F
X,1553485409,432672,966
X,1553485410,432755,934
X,1553485410,432854,606
X,1553485411,432823,615
P,1553485411,4949
X,1553485411,432941,676
X,1553485411,432761,812
X,1553485411,432811,538
X,1553485412,432891,709
X,1553485413,432931,507
X,1553485413,432906,621
X,1553485414,433003,891
X,1553485414,432825,875
X,1553485415,432961,1970
X,1553485415,432929,809
X,1553485416,432972,834
X,1553485417,433045,522
X,1553485417,433091,548
X,1553485418,432980,854
X,1553485418,432981,947
X,1553485419,433057,722
X,1553485419,433098,539
A,1553485419,432916,426
T,1553485420,2797
R,1553485420,700D9B77F
X,1553485421,432940,816
X,1553485422,432920,674
X,1553485423,433050,668
X,1553485423,433016,599
X,1553485424,433082,1022
X,1553485424,432976,1090
X,1553485425,432957,775
X,1553485425,433028,657
X,1553485426,433064,381
X,1553485427,433064,1160
X,1553485427,433015,891
X,1553485428,432921,1030
X,1553485428,433018,706
X,1553485429,433046,621
X,1553485429,433006,833
X,1553485430,432973,1049
X,1553485430,432906,629
X,1553485431,432914,725
X,1553485432,432964,591
X,1553485432,433018,581
X,1553485433,433040,524
X,1553485433,433001,648
X,1553485434,432933,545
X,1553485434,433051,392
X,1553485435,433104,459
A,1553485435,432999,198
T,1553485435,2797
R,1553485435,700D9B77F
X,1553485437,433055,668
X,1553485438,433010,484
X,1553485438,433012,714
X,1553485439,433068,488
X,1553485439,433091,332
X,1553485440,432999,963
P,1553485440,4948
X,1553485440,432950,858
X,1553485441,433034,683
X,1553485442,433092,604
X,1553485442,433041,398
X,1553485443,433074,772
X,1553485443,432984,560
X,1553485444,432935,757
X,1553485444,433035,626
X,1553485445,433082,692
X,1553485446,433053,645
X,1553485446,433048,738
X,1553485447,432891,876
X,1553485447,432904,632
X,1553485448,432920,727
A,1553485448,433013,201
T,1553485448,2797
R,1553485448,700D9B77F
X,1553485450,432845,1002
X,1553485450,432878,1131
X,1553485451,432860,673
X,1553485451,432888,385
X,1553485452,432963,690
X,1553485452,432840,998
X,1553485452,432833,556
X,1553485453,432954,923
X,1553485453,432960,427
