,,370089,11994
X,1559436970,371857,12404
X,1559436971,371214,12671
X,1559436971,369667,10621
X,1559436972,372733,19291
X,1559436972,365989,25842
X,1559436973,373549,34447
X,1559436974,369571,23715
X,1559436974,368535,24935
X,1559436975,370131,5185
X,1559436975,371152,17655
X,1559436975,369571,12536
X,1559436975,372133,11487
X,1559436976,370334,25529
X,1559436977,370369,17668
X,1559436977,370118,21604
X,1559436978,371238,10623
X,1559436978,370848,8740
X,1559436979,370321,25253
X,1559436979,370220,16143
X,1559436980,369388,34574
X,1559436981,370730,18756
X,1559436981,370643,12405
X,1559436982,369855,3929
X,1559436982,369582,7579
X,1559436983,372392,18308
X,1559436983,369874,17444
X,1559436984,371676,23149
X,1559436985,370640,46866
X,1559436985,371130,35606
X,1559436986,369257,13892
X,1559436986,369952,12265
X,1559436987,372828,20274
P,1559436987,5216
X,1559436987,372147,20245
X,1559436988,370590,7976
X,1559436989,370174,12309
X,1559436989,371298,17130
X,1559436990,371379,9185
X,1559436990,371470,19109
X,1559436991,371161,12737
X,1559436991,369925,13093
X,1559436992,370255,19797
X,1559436993,371308,15128
X,1559436993,370448,24511
X,1559436994,369842,8644
X,1559436994,372579,37257
X,1559436995,369885,6884
X,1559436995,371895,22754
X,1559436996,371234,18343
X,1559436996,370942,16565
X,1559436997,371177,8814
X,1559436998,370551,24719
X,1559436998,370918,12233
X,1559436999,369432,14152
X,1559436999,370169,21650
X,1559437000,370308,20560
X,1559437000,367215,20027
X,1559437001,370080,40035
X,1559437002,371126,11611
X,1559437002,369568,7552
X,1559437003,370183,33313
X,1559437003,367998,25762
X,1559437004,369123,21022
X,1559437004,370660,7880
X,1559437005,370095,13672
X,1559437006,369887,7022
X,1559437006,369694,9266
X,1559437007,371098,14262
X,1559437007,369994,19108
X,1559437008,369997,2317
X,1559437008,369954,4139
X,1559437009,369437,9457
X,1559437010,369666,19770
X,1559437010,371301,10062
X,1559437011,371576,16496
X,1559437011,372175,58440
X,1559437012,372309,21863
X,1559437012,369179,9975
X,1559437013,370951,5766
X,1559437014,369963,16806
X,1559437014,369409,36451
X,1559437015,368485,9244
X,1559437015,370698,20061
X,1559437016,369890,16395
X,1559437016,370424,11280
X,1559437016,370140,16600
P,1559437016,5216
X,1559437017,369996,21188
X,1559437017,368917,26364
X,1559437018,369364,15351
X,1559437018,371960,17921
