560375120,249600
D,1560375122,251392
D,1560375125,251392
D,1560375127,258816
R,1560375127,5C00DDFC91
X,1560375129,364953,7392
X,1560375129,363933,14204
X,1560375130,364221,4504
P,1560375130,5147
X,1560375130,364719,2297
X,1560375131,364990,1835
X,1560375131,364599,2363
X,1560375132,364766,1485
X,1560375133,364705,2485
X,1560375133,364837,2794
X,1560375134,364945,3761
X,1560375134,364726,3893
X,1560375135,365262,2719
X,1560375135,365236,1084
X,1560375136,365181,2025
X,1560375137,365000,1381
X,1560375137,365042,1284
X,1560375138,365170,2007
X,1560375138,365105,2298
X,1560375139,364966,5451
X,1560375139,365208,1334
X,1560375140,365208,1120
X,1560375141,365357,945
X,1560375141,365212,2173
X,1560375142,365232,1719
X,1560375142,365099,1373
X,1560375143,365090,1203
X,1560375143,365083,1276
X,1560375144,365082,6506
X,1560375145,365237,12732
X,1560375145,367441,14640
X,1560375146,365594,15156
X,1560375146,367569,15122
X,1560375147,366040,12410
X,1560375147,363465,18524
X,1560375148,365793,9415
X,1560375148,366004,10215
X,1560375149,368009,3848
X,1560375150,367417,6571
X,1560375150,367607,2972
X,1560375151,367162,3959
X,1560375151,367163,3831
X,1560375151,367259,1986
X,1560375151,367424,1607
X,1560375152,367198,1847
X,1560375153,367388,586
X,1560375153,367270,1652
X,1560375154,367244,1147
X,1560375154,367049,1708
X,1560375155,367109,2301
X,1560375155,367198,1998
X,1560375156,367161,1145
X,1560375157,367188,1881
X,1560375157,367202,1506
X,1560375158,367069,1975
X,1560375158,367205,1750
X,1560375159,367246,1215
P,1560375159,5149
X,1560375159,367263,1176
X,1560375160,367311,1496
X,1560375161,367299,1268
X,1560375161,367292,799
X,1560375162,367163,866
X,1560375162,367264,1270
X,1560375163,367292,873
X,1560375163,367173,1117
X,1560375164,367024,790
X,1560375165,367032,838
X,1560375165,366938,1305
X,1560375166,367355,7349
X,1560375166,366451,21823
X,1560375167,367139,12153
X,1560375167,366531,17604
X,1560375168,367391,9277
X,1560375169,367466,1396
X,1560375169,367308,1200
X,1560375170,367295,1649
