,370928,219
T,1558738464,2901
U,1558738464,64657
X,1558738465,370756,794
X,1558738466,370890,869
X,1558738466,370852,778
X,1558738467,370870,836
X,1558738468,370912,946
P,1558738468,5399
X,1558738468,370965,718
X,1558738469,370870,811
X,1558738469,370983,730
X,1558738470,370970,555
X,1558738470,370973,717
X,1558738471,371013,694
X,1558738472,370807,734
X,1558738472,370940,1208
X,1558738473,370923,483
X,1558738473,370838,720
X,1558738474,370932,606
X,1558738474,370822,757
X,1558738475,370905,1002
X,1558738476,370987,652
X,1558738476,370972,549
X,1558738477,371098,1046
X,1558738477,371062,838
X,1558738478,371039,1275
X,1558738478,370868,1495
X,1558738479,370833,621
A,1558738479,370911,306
T,1558738479,2901
U,1558738479,64657
X,1558738481,370869,762
X,1558738482,370745,835
X,1558738482,370839,741
X,1558738483,370811,700
X,1558738483,370819,709
X,1558738484,370885,1043
X,1558738484,370859,663
X,1558738485,370838,1414
X,1558738485,370925,661
X,1558738486,371051,822
X,1558738487,370997,651
X,1558738487,370968,790
X,1558738488,370898,630
X,1558738488,370768,5487
X,1558738489,370698,1168
X,1558738489,370919,623
X,1558738490,370888,817
X,1558738491,370961,672
X,1558738491,370961,1003
X,1558738492,371025,720
X,1558738492,370962,872
X,1558738493,370969,755
X,1558738493,370979,639
X,1558738494,370817,1026
X,1558738495,370968,918
X,1558738495,371003,723
A,1558738495,370922,306
T,1558738495,2901
U,1558738496,64657
X,1558738497,370968,541
X,1558738498,371021,714
P,1558738498,5401
X,1558738498,371028,847
X,1558738499,370945,547
X,1558738499,371055,982
X,1558738500,370918,911
X,1558738501,370948,844
X,1558738501,370997,583
X,1558738502,370917,736
X,1558738502,370231,4254
X,1558738503,369360,34190
X,1558738503,370249,50399
X,1558738504,372138,52663
X,1558738505,372590,42907
X,1558738505,372449,36079
X,1558738506,372617,31195
X,1558738506,372236,36834
X,1558738507,370683,30410
X,1558738507,369585,23178
X,1558738508,370820,17669
X,1558738508,371559,26581
X,1558738509,371249,22791
X,1558738510,371483,24823
X,1558738510,369848,26977
X,1558738511,371325,26242
X,1558738511,371591,24122
X,1558738512,369942,34266
X,1558738512,371529,21414
X,1558738513,370871,2794
X,1558738514,370777,4436
X,1558738514,370755,39383
X,1558738515,370191,6449
X,1558738515,371205,2900
X,1558738516,371063,1723
X,1558738516,371127,1179
X,1558738517,371096,1653
X,1558738518,371071,911
X,1558738518,371109,3592
X,1558738519,370852,1868
X,1558738519,370898,2354
X,1558738520,371076,1199
X,1558738520,371138,923
X,1558738521,371132,1191
X,1558738522,371026,670
X,1558738522,370960,2261
X,1558738523,371005,1278
X,1558738523,371103,1002
X,1558738524,371167,776
X,1558738524,371189,642
