,,411070,950
X,1559770248,410908,536
X,1559770249,410911,9271
X,1559770249,410884,1203
X,1559770250,410921,763
X,1559770250,410463,676
X,1559770251,410429,796
X,1559770251,410696,630
X,1559770252,411055,888
X,1559770253,411139,610
A,1559770253,410902,1777
T,1559770253,2937
X,1559770255,411714,814
X,1559770255,411363,877
X,1559770256,411034,2277
X,1559770256,410605,2347
X,1559770257,411377,1255
X,1559770257,411282,1289
X,1559770258,411431,1764
X,1559770258,411076,486
X,1559770259,411029,693
X,1559770260,410916,725
X,1559770260,411267,919
X,1559770261,411322,339
X,1559770261,411394,510
X,1559770262,411309,616
X,1559770262,411259,331
X,1559770263,411248,410
X,1559770264,411282,591
X,1559770264,411110,977
X,1559770265,410939,882
X,1559770265,410590,858
X,1559770266,410343,5259
X,1559770266,410501,1574
X,1559770267,410853,1074
X,1559770268,410566,4291
X,1559770268,410117,947
X,1559770269,410254,5129
X,1559770269,409851,1656
X,1559770270,408667,2543
X,1559770270,408497,2722
P,1559770271,5189
X,1559770271,407818,7854
X,1559770272,407655,6972
X,1559770272,407749,2577
X,1559770273,408957,2346
X,1559770273,408830,1349
X,1559770274,409121,909
X,1559770274,409074,828
X,1559770275,408152,1191
X,1559770276,408133,1158
X,1559770276,408710,1892
X,1559770277,409572,670
X,1559770277,409030,1129
X,1559770278,409126,1025
X,1559770278,408669,2010
X,1559770279,407213,1718
X,1559770280,407727,1121
X,1559770280,409432,1565
X,1559770281,409917,1028
X,1559770281,410759,773
A,1559770281,410823,2640
T,1559770281,2936
X,1559770283,410837,1116
X,1559770284,410836,18605
X,1559770284,411280,1704
X,1559770284,411196,602
X,1559770284,411254,435
X,1559770285,411136,761
X,1559770286,410903,430
X,1559770286,410718,1080
X,1559770287,411138,616
X,1559770287,411075,683
X,1559770288,410919,440
X,1559770288,411006,552
X,1559770289,410972,462
X,1559770290,410649,22216
X,1559770290,410720,6051
X,1559770291,410771,2330
X,1559770291,410178,6681
X,1559770292,410127,1809
X,1559770292,410604,858
X,1559770293,410212,1377
X,1559770294,410859,746
X,1559770294,410350,673
