H,1553459916,147519
R,1553459916,700D9B77F
X,1553459918,400968,32190
X,1553459919,401630,27179
X,1553459919,402704,38888
X,1553459920,401567,5792
X,1553459920,401850,4345
X,1553459921,402158,3913
X,1553459922,402188,1816
X,1553459922,402105,3166
X,1553459923,401909,2137
X,1553459923,402530,2420
X,1553459924,402676,956
X,1553459924,403182,1871
X,1553459925,403091,2967
X,1553459925,404239,9191
X,1553459926,404918,34797
P,1553459926,5020
X,1553459927,402018,51448
X,1553459927,405641,52936
X,1553459928,405387,2380
X,1553459928,404780,2164
X,1553459929,405506,1313
X,1553459929,405582,1635
X,1553459930,405643,1405
X,1553459931,405367,2069
X,1553459931,405444,1448
X,1553459932,405616,2081
X,1553459932,405237,53469
X,1553459933,406118,6845
X,1553459933,406086,827
X,1553459934,406251,1375
X,1553459935,406239,540
X,1553459935,406047,995
X,1553459936,406076,783
X,1553459936,406087,1074
X,1553459937,405321,1096
X,1553459937,405815,4247
X,1553459938,405374,2643
X,1553459939,405465,2157
X,1553459939,405113,1631
X,1553459940,406794,5484
X,1553459940,406155,615
X,1553459941,405990,1164
X,1553459941,406911,3648
X,1553459941,405206,5338
X,1553459942,405938,524
X,1553459942,405395,751
X,1553459943,405656,970
X,1553459943,405497,1103
X,1553459944,405266,976
X,1553459944,405523,1662
X,1553459945,406013,1809
X,1553459946,406260,1041
X,1553459946,406237,736
X,1553459947,406255,1683
X,1553459947,405622,821
X,1553459948,405887,1935
X,1553459948,406077,2454
X,1553459949,406230,12538
X,1553459949,406204,1451
X,1553459950,405654,808
X,1553459951,405720,2082
X,1553459951,406293,1230
X,1553459952,406688,1057
X,1553459952,406333,891
X,1553459953,406404,491
X,1553459953,406360,652
X,1553459954,406550,892
X,1553459955,406458,695
X,1553459955,406244,1028
P,1553459956,5019
X,1553459956,406263,974
X,1553459956,406145,1614
X,1553459957,406246,972
A,1553459957,405883,3874
T,1553459957,2847
R,1553459957,700D9B77F
R,1553459957,700D9B77F
R,1553459957,700D9B77F
X,1553459959,406623,2710
X,1553459959,406741,10281
X,1553459960,406770,1237
X,1553459961,405965,1060
X,1553459961,405733,9814
X,1553459962,406327,899
X,1553459962,406301,1046
X,1553459963,406534,1036
X,1553459963,406514,1190
X,1553459964,406134,1019
X,1553459965,406001,1002
X,1553459965,406156,22951
X,1553459966,406379,588
X,1553459966,406501,1508
X,1553459967,406288,516
X,1553459967,406941,562
X,1553459968,407069,1525
X,1553459969,407156,871
X,1553459969,407224,996
X,1553459970,407004,663
X,1553459970,406812,709
X,1553459971,406424,3331
X,1553459971,406806,2390
X,1553459972,407540,9273
X,1553459972,406964,10742
X,1553459973,407953,4175
X,1553459974,407423,2094
X,1553459974,407139,2477
X,1553459975,407118,3358
X,1553459975,406892,3120
X,1553459976,407381,3531
X,1553459976,407304,1173
X,1553459977,407102,1002
X,1553459978,407146,1483
X,1553459978,407369,871
X,1553459979,407059,1362
X,1553459979,407028,571
X,1553459980,407183,925
X,1553459980,407081,965
X,1553459981,407051,1018
X,1553459982,407232,1885
X,1553459982,407034,835
X,1553459982,407060,881
X,1553459982,407166,1117
X,1553459983,407279,1256
X,1553459983,407343,1233
X,1553459984,406846,1486
X,1553459985,406971,1010
P,1553459985,5018
X,1553459985,407051,775
X,1553459986,407222,1045
X,1553459986,406762,1222
X,1553459987,406816,1466
X,1553459987,406749,1373
X,1553459988,407031,2383
X,1553459989,407708,2967
X,1553459989,406737,3545
X,1553459990,407691,1332
X,1553459990,407105,1420
X,1553459991,407162,624
X,1553459991,407367,884
X,1553459992,407501,1152
X,1553459993,407388,843
X,1553459993,407102,1232
X,1553459994,407458,1227
X,1553459994,407547,753
X,1553459995,407473,907
A,1553459995,407043,1259
T,1553459995,2847
R,1553459995,700D9B77F
X,1553459997,407466,15827
X,1553459997,407571,1687
X,1553459998,407196,991
X,1553459998,407039,1051
X,1553459999,406693,629
X,1553460000,407060,1432
X,1553460000,407169,1004
X,1553460001,407192,1135
X,1553460001,407472,498
X,1553460002,407041,728
X,1553460002,407318,1011
X,1553460003,407288,845
X,1553460004,407082,1020
X,1553460004,407144,698
X,1553460005,407359,853
X,1553460005,407303,618
X,1553460006,407406,432
X,1553460006,407381,1117
X,1553460007,407202,13294
X,1553460008,407629,6028
X,1553460008,407373,1841
X,1553460009,406970,990
