H,1551903158,147519
R,1551903158,700D9B77F
X,1551903160,404717,1027
X,1551903160,404733,279
X,1551903161,404747,1101
X,1551903161,404773,1029
X,1551903162,404681,905
X,1551903162,404584,950
X,1551903163,404613,778
X,1551903164,404638,700
X,1551903164,404627,374
X,1551903165,404671,913
X,1551903165,404709,549
X,1551903166,404576,659
X,1551903166,404528,1004
X,1551903167,404542,1016
P,1551903167,5075
X,1551903168,404609,726
X,1551903168,404638,853
X,1551903169,404646,633
X,1551903169,404668,1240
X,1551903170,404591,1303
X,1551903170,404947,3213
X,1551903171,403944,8195
X,1551903172,404457,629
X,1551903172,404604,854
X,1551903173,404860,331
X,1551903173,404782,836
X,1551903174,404823,1243
X,1551903174,404675,1430
X,1551903175,404565,1199
X,1551903176,404568,1082
X,1551903176,404604,540
X,1551903177,404667,611
X,1551903177,404697,5053
X,1551903178,404756,938
X,1551903178,404606,737
A,1551903178,404653,403
T,1551903178,2799
R,1551903178,700D9B77F
X,1551903179,404676,688
X,1551903180,404681,577
X,1551903181,404741,529
X,1551903181,404747,1020
X,1551903182,404625,720
X,1551903182,404637,229
X,1551903183,404623,479
X,1551903183,404654,730
X,1551903184,404499,1188
X,1551903185,404943,792
X,1551903185,405040,612
X,1551903186,404866,993
X,1551903186,404817,1135
X,1551903187,404834,685
X,1551903187,404861,708
X,1551903188,404884,668
X,1551903188,404906,599
X,1551903189,404869,1420
X,1551903190,404752,818
X,1551903190,404644,1107
X,1551903191,404628,997
X,1551903191,404679,802
X,1551903192,404704,348
X,1551903192,404714,645
X,1551903193,404818,1075
X,1551903194,404684,1193
X,1551903194,404596,1161
X,1551903195,404642,998
A,1551903195,404754,417
T,1551903195,2799
R,1551903195,700D9B77F
P,1551903196,5110
X,1551903197,404767,1073
X,1551903197,404805,1157
X,1551903198,404625,818
X,1551903198,404523,834
X,1551903199,404569,808
X,1551903199,404629,674
X,1551903200,404598,645
X,1551903201,404616,858
X,1551903201,404739,635
X,1551903202,404723,842
X,1551903202,404543,788
X,1551903203,404530,727
X,1551903203,404574,642
X,1551903204,404616,629
X,1551903205,404594,224
X,1551903205,404661,1321
X,1551903206,404671,1006
X,1551903206,404558,1184
X,1551903207,404497,1256
X,1551903207,404513,552
X,1551903208,404665,1026
X,1551903209,404560,813
X,1551903209,404580,570
X,1551903210,404557,1098
X,1551903210,404448,414
X,1551903211,404409,1225
X,1551903211,404429,867
X,1551903212,404481,693
X,1551903213,404536,360
A,1551903213,404571,310
T,1551903213,2799
R,1551903213,700D9B77F
X,1551903215,404300,1230
X,1551903215,404193,940
X,1551903216,404292,303
X,1551903216,404325,725
X,1551903217,404353,530
X,1551903217,404430,926
X,1551903218,404529,506
X,1551903219,404313,1217
X,1551903219,404379,1099
X,1551903219,404417,402
X,1551903219,404432,521
X,1551903220,404458,235
X,1551903220,404470,291
X,1551903221,404576,1223
X,1551903221,404504,1312
X,1551903222,404417,1211
X,1551903223,404491,245
X,1551903223,404500,1017
X,1551903224,404519,840
X,1551903224,404527,256
X,1551903225,404528,856
X,1551903225,404584,493
P,1551903226,5110
X,1551903226,404531,883
X,1551903227,404463,1160
X,1551903227,404492,913
X,1551903228,404533,974
X,1551903228,404545,750
X,1551903229,404575,439
A,1551903229,404461,391
T,1551903229,2799
R,1551903229,700D9B77F
X,1551903231,404464,1144
X,1551903231,404500,1030
X,1551903232,404545,554
X,1551903233,404564,344
X,1551903233,404544,802
X,1551903234,404615,969
X,1551903234,404619,1232
X,1551903235,404447,944
X,1551903235,404454,511
X,1551903236,404489,830
X,1551903236,404531,479
X,1551903237,404732,1216
X,1551903238,404883,1450
X,1551903238,404984,2470
X,1551903239,404665,1404
X,1551903239,404889,635
X,1551903240,405002,615
X,1551903240,404940,10533
X,1551903241,405016,614
X,1551903242,404920,896
X,1551903242,404903,468
X,1551903243,404907,821
X,1551903243,404962,442
X,1551903244,404939,712
X,1551903244,404967,999
X,1551903245,405010,997
X,1551903246,404966,1041
X,1551903246,404784,1120
X,1551903247,404804,833
X,1551903247,404900,1091
X,1551903248,404804,457
A,1551903248,404765,569
T,1551903248,2799
R,1551903248,700D9B77F
X,1551903250,404826,1216
X,1551903250,404765,539
X,1551903251,404729,648
