H,1552879313,147519
R,1552879313,700D9B77F
X,1552879314,415569,918
X,1552879315,415643,682
X,1552879315,415747,530
X,1552879316,415862,644
P,1552879316,5044
X,1552879317,415876,579
X,1552879317,415921,1454
X,1552879318,416024,1278
X,1552879318,415990,539
X,1552879319,416035,722
X,1552879319,416016,827
X,1552879320,416045,648
X,1552879321,416030,698
X,1552879321,416137,561
X,1552879322,416147,1416
X,1552879322,416076,1200
X,1552879323,416112,576
X,1552879323,415993,535
X,1552879324,415937,703
X,1552879325,416046,839
X,1552879325,416075,1104
X,1552879326,415865,823
X,1552879326,415563,908
X,1552879327,415655,687
X,1552879327,416044,526
X,1552879328,416017,680
A,1552879328,415909,574
T,1552879328,2775
R,1552879328,700D9B77F
X,1552879330,416026,1051
X,1552879331,415980,884
X,1552879331,415983,923
X,1552879332,415930,905
X,1552879332,415882,646
X,1552879333,415890,987
X,1552879333,415889,1177
X,1552879334,415727,847
X,1552879334,415762,1027
X,1552879335,415785,545
X,1552879336,415721,842
X,1552879336,415716,621
X,1552879337,415673,965
X,1552879337,415903,679
X,1552879338,415910,560
X,1552879338,416003,649
X,1552879339,416057,579
X,1552879340,416090,734
X,1552879340,416188,764
X,1552879341,416097,976
X,1552879341,416160,1096
X,1552879342,415776,805
X,1552879342,415821,879
X,1552879343,415736,784
A,1552879343,415893,515
T,1552879343,2775
R,1552879343,700D9B77F
X,1552879345,415778,1261
X,1552879346,415857,830
X,1552879346,415948,900
P,1552879346,5045
X,1552879347,415992,855
X,1552879347,416035,629
X,1552879348,416022,454
X,1552879348,416009,952
X,1552879348,416111,1182
X,1552879348,416088,823
X,1552879349,415959,574
X,1552879350,415828,881
X,1552879350,415999,769
X,1552879351,416129,578
X,1552879351,416009,686
X,1552879352,415994,914
X,1552879352,416044,1196
X,1552879353,415992,655
X,1552879354,416000,913
X,1552879354,416060,767
X,1552879355,415983,590
X,1552879355,415971,546
X,1552879356,416136,902
X,1552879356,415839,1269
X,1552879357,415861,756
A,1552879357,415993,308
T,1552879357,2775
R,1552879357,700D9B77F
X,1552879359,415760,830
X,1552879360,415940,957
X,1552879360,415990,823
X,1552879361,416124,885
X,1552879361,416050,853
X,1552879362,416382,662
X,1552879362,416588,746
X,1552879363,416660,662
X,1552879364,416854,787
X,1552879364,416850,1209
X,1552879365,416738,1124
X,1552879365,416541,717
X,1552879366,416251,783
X,1552879366,416216,870
X,1552879367,416355,565
X,1552879368,416314,778
X,1552879368,416216,1156
X,1552879369,416199,1239
X,1552879369,416190,378
X,1552879370,416312,1283
X,1552879370,416401,975
X,1552879371,416368,862
X,1552879371,416347,1017
X,1552879372,416713,2307
X,1552879373,416481,661
X,1552879373,416753,1010
X,1552879374,416639,602
X,1552879374,416460,494
A,1552879374,416328,1094
T,1552879374,2775
R,1552879375,700D9B77F
P,1552879375,5045
X,1552879376,416275,806
X,1552879377,416088,1999
X,1552879377,415936,2592
X,1552879378,416198,2149
X,1552879379,416162,1036
X,1552879379,416287,871
X,1552879380,416239,953
X,1552879380,416318,2530
X,1552879381,415873,1445
X,1552879381,416097,1073
X,1552879382,416138,722
X,1552879383,416172,875
X,1552879383,416248,1309
X,1552879384,416116,852
X,1552879384,416136,596
X,1552879385,416164,720
X,1552879385,415983,5116
X,1552879386,415886,1267
X,1552879387,415598,33152
X,1552879387,415672,1043
X,1552879388,415780,721
X,1552879388,415712,2126
X,1552879389,415758,4147
X,1552879389,415682,596
X,1552879389,416032,617
X,1552879390,415847,733
X,1552879390,415539,1347
X,1552879391,414900,4503
X,1552879391,414628,923
X,1552879392,414921,1067
X,1552879392,415035,621
X,1552879393,414961,8718
X,1552879393,415818,1664
X,1552879394,415761,840
X,1552879395,415792,836
X,1552879395,415891,706
X,1552879396,415732,3032
X,1552879396,416143,792
X,1552879397,415949,6761
X,1552879397,415732,931
X,1552879398,416002,934
A,1552879398,415892,1659
T,1552879398,2775
R,1552879398,700D9B77F
X,1552879400,415978,890
X,1552879401,416165,1117
X,1552879401,416174,765
X,1552879402,416209,748
X,1552879402,416283,482
X,1552879403,416306,723
X,1552879403,416287,688
X,1552879404,416362,1331
P,1552879405,5044
X,1552879405,416238,1099
X,1552879405,416325,748
X,1552879406,416068,6673
