H,1553556329,147519
R,1553556329,700D9B77F
X,1553556330,434121,1130
X,1553556331,434218,1076
X,1553556331,434200,287
X,1553556332,434238,338
X,1553556332,434214,430
X,1553556333,434130,269
X,1553556334,434157,641
X,1553556334,434218,928
X,1553556335,434287,1219
X,1553556335,434275,682
X,1553556336,434291,851
X,1553556336,434346,367
X,1553556337,434305,740
X,1553556338,434399,413
X,1553556338,434424,977
X,1553556339,434478,949
X,1553556339,434538,904
X,1553556340,434597,1119
X,1553556340,434745,662
X,1553556341,434644,449
X,1553556342,434726,757
X,1553556342,434749,1028
X,1553556343,434609,1211
X,1553556343,434616,880
X,1553556344,434506,1110
X,1553556344,434715,931
X,1553556345,434558,504
A,1553556345,434410,615
T,1553556345,2781
R,1553556345,700D9B77F
X,1553556346,434406,1340
X,1553556346,434113,680
X,1553556347,434448,322
X,1553556348,434602,239
X,1553556348,434605,371
P,1553556349,4901
X,1553556349,434500,536
X,1553556349,434348,1111
X,1553556350,434394,1359
X,1553556350,434331,1123
X,1553556351,434363,781
X,1553556352,434350,535
X,1553556352,434398,281
X,1553556353,434371,495
X,1553556353,434383,904
X,1553556354,434572,854
X,1553556354,434522,713
X,1553556355,434468,432
X,1553556356,434408,780
X,1553556356,434395,463
X,1553556357,434364,349
X,1553556357,434422,1244
X,1553556358,434419,1044
X,1553556358,434312,773
X,1553556359,434409,1068
X,1553556359,434312,743
X,1553556360,434354,930
X,1553556361,434367,1032
X,1553556361,434311,1215
X,1553556362,434247,851
A,1553556362,434404,492
T,1553556362,2781
R,1553556362,700D9B77F
X,1553556364,434253,302
X,1553556364,434287,319
X,1553556365,434341,730
X,1553556365,434329,1229
X,1553556366,434277,1174
X,1553556367,434352,629
X,1553556367,434390,536
X,1553556368,434308,1388
X,1553556368,434502,1222
X,1553556369,434421,1242
X,1553556369,434389,1017
X,1553556370,434434,264
X,1553556371,434448,840
X,1553556371,434463,427
X,1553556372,434427,865
X,1553556372,434369,1264
X,1553556373,434483,1087
X,1553556373,434376,1188
X,1553556374,434360,1086
X,1553556375,434365,674
X,1553556375,434355,445
X,1553556376,434292,823
X,1553556376,434338,747
X,1553556377,434441,1257
X,1553556377,434393,1174
X,1553556378,434428,707
X,1553556379,434364,968
P,1553556379,4942
X,1553556379,434284,733
X,1553556380,434314,607
X,1553556380,434297,561
X,1553556381,434297,916
X,1553556381,434245,1214
X,1553556382,434144,1048
X,1553556382,434042,942
A,1553556382,434338,421
T,1553556383,2781
R,1553556383,700D9B77F
X,1553556384,434272,1405
X,1553556385,434182,1402
X,1553556386,434053,674
X,1553556386,434026,1042
X,1553556387,434208,816
X,1553556387,434211,669
X,1553556387,434164,925
X,1553556387,434134,979
X,1553556388,434123,697
X,1553556389,434061,1095
X,1553556389,434114,1048
X,1553556390,434117,1021
X,1553556390,434235,752
X,1553556391,434229,251
X,1553556391,434229,848
X,1553556392,434333,1248
X,1553556393,434255,763
X,1553556393,434305,626
X,1553556394,434317,671
X,1553556394,434276,736
X,1553556395,434191,738
X,1553556395,434277,707
X,1553556396,434336,1251
X,1553556397,434249,1344
X,1553556397,434274,713
X,1553556398,434323,1057
X,1553556398,434360,852
X,1553556399,434303,668
X,1553556399,434254,750
X,1553556400,434274,858
A,1553556400,434233,307
T,1553556400,2781
R,1553556400,700D9B77F
X,1553556402,434162,593
X,1553556402,434175,695
X,1553556403,434242,864
X,1553556404,434246,176
X,1553556404,434247,1238
X,1553556405,434255,884
X,1553556405,434299,334
X,1553556406,434291,896
X,1553556406,434271,705
X,1553556407,434259,276
X,1553556408,434281,877
P,1553556408,4942
X,1553556408,434287,748
X,1553556409,434265,1116
X,1553556409,434271,437
X,1553556410,434248,623
X,1553556410,434263,555
X,1553556411,434191,1069
X,1553556412,434178,1122
X,1553556412,434277,1329
X,1553556413,434144,1214
X,1553556413,434121,811
X,1553556414,434167,328
X,1553556414,434138,790
X,1553556415,434128,644
X,1553556416,434077,560
X,1553556416,434295,871
A,1553556416,434223,222
T,1553556416,2781
R,1553556416,700D9B77F
X,1553556418,434297,908
X,1553556419,434298,787
X,1553556419,434287,889
X,1553556420,434263,1230
X,1553556420,434387,1310
X,1553556421,434322,373
X,1553556421,434348,1025
