H,1551984749,147519
R,1551984749,700D9B77F
X,1551984750,406205,796
X,1551984751,406116,545
X,1551984751,406131,478
X,1551984752,406105,325
X,1551984752,406174,361
X,1551984753,406197,769
X,1551984754,406224,689
X,1551984754,406193,547
X,1551984755,406181,8751
X,1551984755,406047,9628
X,1551984756,406166,841
X,1551984756,406217,834
X,1551984757,406230,545
X,1551984758,406249,469
X,1551984758,406307,186
X,1551984759,406375,643
X,1551984759,406279,991
X,1551984760,406263,406
X,1551984760,406274,393
X,1551984761,406288,500
X,1551984762,406190,290
X,1551984762,406140,669
A,1551984762,406216,270
T,1551984762,2811
R,1551984762,700D9B77F
X,1551984764,406174,678
X,1551984765,406157,490
X,1551984765,406117,414
X,1551984766,406151,544
X,1551984766,406180,852
X,1551984767,406085,886
X,1551984767,406176,717
X,1551984768,406185,699
X,1551984769,406124,494
X,1551984769,406191,505
X,1551984770,406242,537
X,1551984770,406150,718
X,1551984771,406061,870
X,1551984771,405986,511
X,1551984772,405940,502
X,1551984773,405872,571
X,1551984773,405652,385
X,1551984774,405759,648
X,1551984774,405821,835
X,1551984775,405809,966
A,1551984775,406041,590
T,1551984775,2811
R,1551984775,700D9B77F
P,1551984776,5117
X,1551984777,406214,612
X,1551984777,406123,685
X,1551984778,406135,347
X,1551984779,406173,393
X,1551984779,406206,382
X,1551984780,406098,450
X,1551984780,406013,938
X,1551984781,405572,980
X,1551984781,405707,852
X,1551984782,405645,909
X,1551984783,405666,500
X,1551984783,405894,320
X,1551984784,406090,468
X,1551984784,406301,690
X,1551984785,406268,8340
X,1551984785,406362,8941
X,1551984786,406375,998
X,1551984786,406330,507
X,1551984786,406304,456
X,1551984787,406315,463
X,1551984787,406258,439
X,1551984788,406214,642
A,1551984788,406081,803
T,1551984788,2811
R,1551984788,700D9B77F
X,1551984790,406039,289
X,1551984790,406127,327
X,1551984791,406081,360
X,1551984791,405974,972
X,1551984792,406049,791
X,1551984793,406057,885
X,1551984793,405959,370
X,1551984794,405249,12768
X,1551984794,406032,942
X,1551984795,405834,1146
X,1551984795,405796,393
X,1551984796,405786,359
X,1551984797,405844,406
X,1551984797,406029,366
X,1551984798,406097,517
X,1551984798,406006,885
X,1551984799,405598,1051
X,1551984799,405675,565
X,1551984800,405884,412
X,1551984801,406021,578
X,1551984801,406126,515
X,1551984802,406201,405
X,1551984802,406230,726
A,1551984802,406000,555
T,1551984802,2811
R,1551984803,700D9B77F
X,1551984804,406098,1062
X,1551984805,405991,811
X,1551984805,405733,11338
P,1551984805,5114
X,1551984806,406298,1773
X,1551984806,406109,1227
X,1551984807,406250,863
X,1551984808,406139,712
X,1551984808,406043,1358
X,1551984809,406085,2016
X,1551984809,406148,1026
X,1551984810,406086,774
X,1551984810,406042,742
X,1551984811,405890,527
X,1551984812,405955,699
X,1551984812,405946,362
X,1551984813,405779,473
X,1551984813,405829,592
X,1551984814,406012,658
X,1551984814,406014,337
X,1551984815,405887,662
X,1551984816,405946,737
X,1551984816,405958,438
X,1551984817,405996,292
X,1551984817,405941,435
X,1551984818,406064,699
X,1551984818,406212,1040
X,1551984819,406102,790
X,1551984820,406064,639
A,1551984820,405994,471
T,1551984820,2811
R,1551984820,700D9B77F
X,1551984821,406146,526
X,1551984822,406125,541
X,1551984823,406185,876
X,1551984823,406645,6943
X,1551984824,406110,12031
X,1551984824,406241,1351
X,1551984825,406058,939
X,1551984825,406109,537
X,1551984826,406162,757
X,1551984827,406045,489
X,1551984827,406129,587
X,1551984827,406277,564
X,1551984827,406344,509
X,1551984828,406305,744
X,1551984828,406240,628
X,1551984829,406194,619
X,1551984830,406159,351
X,1551984830,406196,588
X,1551984831,406219,529
X,1551984831,406219,560
X,1551984832,406161,961
X,1551984832,406151,780
X,1551984833,406069,301
A,1551984833,406174,299
T,1551984833,2811
R,1551984833,700D9B77F
P,1551984835,5115
X,1551984835,406116,509
X,1551984836,406006,455
X,1551984836,405822,586
X,1551984837,405789,755
X,1551984837,406055,776
X,1551984838,406112,563
X,1551984838,406025,405
X,1551984839,406013,416
X,1551984840,406079,341
X,1551984840,406141,597
X,1551984841,406141,1503
X,1551984841,406192,1864
X,1551984842,406151,746
