H,1553226797,147519
R,1553226797,700D9B77F
X,1553226798,409088,15114
X,1553226798,409460,14080
P,1553226799,4997
X,1553226799,409322,1090
X,1553226799,409244,577
X,1553226800,409178,344
X,1553226800,409134,267
X,1553226801,409105,431
X,1553226802,409093,834
X,1553226802,409040,1001
X,1553226803,408982,450
X,1553226803,408833,728
X,1553226804,409039,528
X,1553226804,409080,417
X,1553226805,409040,463
X,1553226806,408868,967
X,1553226806,408954,1054
X,1553226807,408936,724
X,1553226807,408954,843
X,1553226808,408792,533
X,1553226808,408833,682
X,1553226809,408934,1001
X,1553226809,408930,1173
X,1553226810,408838,514
X,1553226811,408917,473
X,1553226811,408867,624
X,1553226812,408867,1013
X,1553226812,409116,653
X,1553226813,409022,590
A,1553226813,408993,452
T,1553226813,2760
R,1553226813,700D9B77F
X,1553226815,408944,516
X,1553226815,408867,509
X,1553226816,408951,1088
X,1553226817,408931,1270
X,1553226817,408911,439
X,1553226818,408858,413
X,1553226818,408744,448
X,1553226819,408904,625
X,1553226819,408880,804
X,1553226820,408950,1676
X,1553226821,408817,805
X,1553226821,408962,1080
X,1553226822,408806,517
X,1553226822,408920,562
X,1553226823,408977,828
X,1553226823,408933,755
X,1553226824,408901,305
X,1553226825,408767,533
X,1553226825,408774,313
X,1553226826,408692,596
X,1553226826,408725,872
X,1553226827,408700,948
X,1553226827,408611,782
X,1553226828,408541,778
A,1553226828,408813,436
T,1553226828,2760
R,1553226828,700D9B77F
P,1553226829,4996
X,1553226830,408549,588
X,1553226830,408706,668
X,1553226831,408538,711
X,1553226832,408541,835
X,1553226832,408534,884
X,1553226833,408596,557
X,1553226833,408688,519
X,1553226834,408636,640
X,1553226834,408530,1104
X,1553226835,408638,719
X,1553226836,408679,589
X,1553226836,408565,194
X,1553226837,408460,667
X,1553226837,408519,487
X,1553226838,408544,654
X,1553226838,408300,1270
X,1553226839,408512,948
X,1553226839,408471,705
X,1553226839,408324,470
X,1553226840,408291,409
X,1553226840,408300,992
X,1553226841,408355,940
A,1553226841,408522,415
T,1553226841,2760
R,1553226841,700D9B77F
X,1553226843,408445,298
X,1553226843,408454,198
X,1553226844,408494,375
X,1553226845,408452,271
X,1553226845,408491,800
X,1553226846,408635,595
X,1553226846,408726,622
X,1553226847,408486,433
X,1553226847,408592,357
X,1553226848,408715,580
X,1553226849,408662,584
X,1553226849,408659,714
X,1553226850,408672,584
X,1553226850,408678,513
X,1553226851,408674,413
X,1553226851,408567,495
X,1553226852,408581,880
X,1553226852,408581,1350
X,1553226853,408572,868
X,1553226854,408582,597
X,1553226854,408460,533
A,1553226854,408579,281
T,1553226854,2760
R,1553226855,700D9B77F
X,1553226856,408483,692
X,1553226857,408515,620
X,1553226857,408538,670
P,1553226858,4997
X,1553226858,408557,667
X,1553226858,408578,977
X,1553226859,408656,696
X,1553226860,408666,418
X,1553226860,408639,290
X,1553226861,408597,304
X,1553226861,408537,209
X,1553226862,408549,453
X,1553226862,408680,700
X,1553226863,408713,1089
X,1553226864,408607,840
X,1553226864,408493,775
X,1553226865,408555,638
X,1553226865,408586,436
X,1553226866,408601,1673
X,1553226866,408680,596
X,1553226867,408742,252
X,1553226868,408713,420
X,1553226868,408526,311
A,1553226868,408594,259
T,1553226868,2760
R,1553226868,700D9B77F
X,1553226870,408401,1269
X,1553226871,408416,758
X,1553226871,408668,706
X,1553226872,408542,517
X,1553226872,408580,482
X,1553226873,408831,902
X,1553226873,408618,1167
X,1553226874,408488,394
X,1553226875,408615,351
X,1553226875,408745,750
X,1553226876,408704,354
X,1553226876,408643,970
X,1553226877,408604,642
X,1553226877,408741,757
X,1553226878,408747,385
X,1553226879,408603,361
X,1553226879,408651,284
X,1553226880,408671,458
X,1553226880,408814,685
X,1553226880,408790,1334
X,1553226880,408767,492
X,1553226881,408751,578
X,1553226882,408693,441
A,1553226882,408663,415
T,1553226882,2759
R,1553226882,700D9B77F
X,1553226884,408756,740
X,1553226884,408741,467
X,1553226885,408726,491
X,1553226885,408682,522
X,1553226886,408736,1017
X,1553226886,408704,379
P,1553226887,4998
X,1553226887,408854,953
X,1553226887,409240,956
X,1553226888,409036,565
X,1553226889,409082,683
X,1553226889,409033,480
