,,143847,299
O,1561669036,143771,266
O,1561669036,143698,123
O,1561669036,143768,165
O,1561669037,143687,353
O,1561669037,143443,461
O,1561669038,143899,366
O,1561669038,143739,518
O,1561669039,143907,199
O,1561669040,143950,222
O,1561669040,143725,255
O,1561669041,143672,257
O,1561669041,144052,155
O,1561669042,144140,186
O,1561669042,144282,219
P,1561669043,5147
O,1561669043,144338,132
O,1561669044,144275,507
O,1561669044,143834,252
O,1561669045,144061,377
O,1561669045,144081,142
O,1561669046,144032,189
O,1561669046,144147,214
O,1561669047,144371,138
O,1561669048,144214,130
O,1561669048,144130,175
O,1561669049,144055,147
O,1561669049,144094,185
O,1561669050,144029,163
O,1561669050,143981,278
O,1561669051,143662,208
O,1561669052,143891,327
O,1561669052,143677,202
O,1561669053,143614,215
O,1561669053,143634,706
O,1561669054,143968,358
O,1561669054,143986,678
O,1561669055,339745,48895
T,1561669055,3020
D,1561669056,249088
R,1561669056,5C00DDFC91
R,1561669056,5C00DDFC91
R,1561669056,5C00DDFC91
X,1561669058,371920,3444
X,1561669059,371556,1492
X,1561669059,372189,1279
X,1561669060,370588,2337
X,1561669060,372028,3425
X,1561669061,371939,1599
X,1561669062,372007,857
X,1561669062,371869,1020
X,1561669063,372417,808
X,1561669063,372334,1065
X,1561669064,371930,2524
X,1561669064,372761,1124
X,1561669065,373009,1157
X,1561669066,372605,1286
X,1561669066,372345,895
X,1561669067,373257,2359
X,1561669067,374104,642
X,1561669068,374027,1040
X,1561669068,373992,675
X,1561669069,373510,597
X,1561669070,373470,1002
X,1561669070,373392,12758
X,1561669071,369768,10669
X,1561669071,372244,23851
X,1561669072,372166,20669
X,1561669072,371491,2427
X,1561669073,373184,2394
P,1561669073,5147
X,1561669073,371822,2857
X,1561669074,371865,1586
X,1561669075,372046,4877
X,1561669075,371894,2321
