1191,5145
P,1561848220,5144
P,1561848249,5144
P,1561848279,5144
P,1561848309,5144
P,1561848338,5143
P,1561848367,5141
P,1561848397,5142
P,1561848426,5145
P,1561848455,5143
P,1561848485,5143
P,1561848514,5143
P,1561848543,5143
P,1561848572,5144
P,1561848603,5144
P,1561848632,5144
P,1561848661,5146
P,1561848691,5143
P,1561848720,5144
P,1561848749,5142
P,1561848778,5142
P,1561848808,5143
P,1561848837,5143
P,1561848866,5144
D,1561848887,234752
D,1561848890,239104
R,1561848890,5C00DDFC91
R,1561848890,5C00DDFC91
X,1561848891,350732,4279
X,1561848892,351206,4253
X,1561848893,350891,3810
X,1561848893,351325,4128
X,1561848894,351517,4877
X,1561848894,351752,1726
X,1561848895,352000,1324
X,1561848895,351875,3112
X,1561848896,352098,809
X,1561848896,352194,1214
P,1561848896,5132
X,1561848896,352339,655
X,1561848897,352366,1876
X,1561848897,352735,2434
X,1561848898,352241,4039
X,1561848898,352807,5318
X,1561848899,352478,1508
X,1561848900,352568,566
X,1561848900,352768,444
X,1561848901,352326,1102
X,1561848901,352595,1113
X,1561848902,352697,27064
X,1561848902,350238,11006
X,1561848903,353396,3682
X,1561848903,353449,1032
X,1561848904,353211,2064
X,1561848905,353236,1085
X,1561848905,353083,3064
X,1561848906,353320,2208
X,1561848906,353144,898
X,1561848907,353222,618
X,1561848907,353310,1025
X,1561848908,353270,21014
X,1561848909,352943,2742
X,1561848909,353736,5546
X,1561848910,353198,17619
X,1561848910,353486,4662
X,1561848911,353303,1305
X,1561848911,353325,1201
X,1561848912,353339,844
X,1561848913,353333,781
X,1561848913,353308,5096
X,1561848914,353113,5836
