,61336741,362564,4278
X,1561336741,362749,3233
X,1561336742,362725,990
X,1561336742,362789,1018
X,1561336743,362602,1495
X,1561336744,362772,833
X,1561336744,362636,706
X,1561336745,362824,1145
X,1561336745,362739,749
X,1561336746,362722,1161
X,1561336746,362751,1054
X,1561336747,362878,4386
X,1561336747,363537,6573
X,1561336748,363736,26892
X,1561336749,361614,23735
X,1561336749,364702,18001
X,1561336750,362912,19003
X,1561336750,360436,10546
X,1561336751,364371,15295
X,1561336751,363416,24577
X,1561336752,360692,14153
X,1561336752,427999,17838
X,1561336752,146550,3895
X,1561336753,148781,1460
X,1561336753,148533,550
X,1561336754,148313,211
X,1561336754,148143,151
X,1561336755,148003,153
X,1561336756,147874,100
X,1561336756,147783,89
X,1561336757,147700,118
X,1561336757,147646,153
X,1561336758,147555,184
O,1561336758,147494,78
P,1561336759,5125
O,1561336759,147450,132
O,1561336760,147427,90
O,1561336760,147409,154
O,1561336761,147360,120
O,1561336761,147328,76
O,1561336762,147304,166
O,1561336762,147197,141
O,1561336763,147157,132
O,1561336764,147168,138
O,1561336764,147204,142
O,1561336765,147210,204
O,1561336765,147171,416
O,1561336766,147170,288
O,1561336766,147140,89
O,1561336767,147171,665
O,1561336768,147125,367
O,1561336768,147078,182
O,1561336769,147062,101
O,1561336769,147057,316
O,1561336770,147030,180
O,1561336770,147011,275
O,1561336771,146991,203
O,1561336771,146987,139
O,1561336772,146987,93
O,1561336773,146963,140
O,1561336773,146944,73
O,1561336774,146945,103
O,1561336774,146902,61
O,1561336775,146903,76
O,1561336775,146932,73
O,1561336776,146916,131
O,1561336777,146884,83
O,1561336777,146876,108
O,1561336778,146858,138
O,1561336778,146857,70
O,1561336779,146815,87
