H,1551911671,147519
R,1551911671,700D9B77F
X,1551911673,400149,210
X,1551911674,400168,485
X,1551911674,400230,334
X,1551911675,400258,697
X,1551911675,400214,891
X,1551911676,400205,804
X,1551911676,400225,930
X,1551911677,400257,574
X,1551911678,400305,567
X,1551911678,400308,470
X,1551911679,400313,631
X,1551911679,400293,300
X,1551911680,400326,740
X,1551911680,400271,607
X,1551911681,400235,351
X,1551911682,400294,946
X,1551911682,400308,179
X,1551911683,400223,13038
X,1551911683,399823,2478
X,1551911684,399933,744
X,1551911684,399958,575
X,1551911685,400016,325
A,1551911685,400213,393
T,1551911685,2791
R,1551911685,700D9B77F
X,1551911687,400071,593
X,1551911687,400104,905
X,1551911688,400038,782
X,1551911689,400049,1065
X,1551911689,400034,868
X,1551911690,400073,437
X,1551911690,400090,326
X,1551911691,399788,809
P,1551911691,5094
X,1551911691,400665,1459
X,1551911692,400367,899
X,1551911693,400326,1381
X,1551911693,400411,940
X,1551911694,400379,497
X,1551911694,400375,682
X,1551911695,400392,714
X,1551911695,400381,447
X,1551911696,400410,531
X,1551911697,400342,671
X,1551911697,400379,869
X,1551911698,400368,530
X,1551911698,400393,415
X,1551911699,400357,676
X,1551911699,400409,710
A,1551911699,400258,623
T,1551911700,2791
R,1551911700,700D9B77F
X,1551911701,400346,1124
X,1551911702,400290,601
X,1551911703,400352,159
X,1551911703,400324,369
X,1551911704,400335,645
X,1551911704,400341,323
X,1551911705,400333,580
X,1551911705,400363,704
X,1551911706,400167,21560
X,1551911707,400230,1062
X,1551911707,400165,451
X,1551911708,400171,154
X,1551911708,400163,841
X,1551911709,400196,804
X,1551911709,400210,496
X,1551911709,400280,461
X,1551911709,400288,644
X,1551911710,400192,7869
X,1551911711,400462,1033
X,1551911711,400454,417
X,1551911712,400405,225
X,1551911712,400427,505
X,1551911713,400368,575
X,1551911713,400365,625
X,1551911714,400309,390
A,1551911714,400306,291
T,1551911714,2791
R,1551911714,700D9B77F
X,1551911716,400135,906
X,1551911717,400064,774
X,1551911717,400112,715
X,1551911718,400157,461
X,1551911718,400178,234
X,1551911719,400153,582
X,1551911719,400176,594
X,1551911720,400182,855
P,1551911720,5096
X,1551911721,400116,968
X,1551911721,400156,564
X,1551911722,400178,444
X,1551911722,400207,615
X,1551911723,400229,321
X,1551911723,400210,571
X,1551911724,400251,579
X,1551911725,400133,969
X,1551911725,400169,811
X,1551911726,400176,792
X,1551911726,400199,603
X,1551911727,400215,492
A,1551911727,400169,187
T,1551911727,2791
R,1551911727,700D9B77F
X,1551911729,400181,697
X,1551911729,400139,855
X,1551911730,400068,955
X,1551911730,400135,387
X,1551911731,400157,269
X,1551911732,400159,700
X,1551911732,400146,389
X,1551911733,400145,453
X,1551911733,400111,869
X,1551911734,400180,1318
X,1551911734,400327,594
X,1551911735,400342,1350
X,1551911736,400488,1127
X,1551911736,400371,1136
X,1551911737,400473,795
X,1551911737,400431,422
X,1551911738,400381,5017
X,1551911738,400108,435
X,1551911739,400253,462
X,1551911740,400291,578
X,1551911740,400275,571
X,1551911741,400240,616
X,1551911741,400265,297
X,1551911742,400202,346
X,1551911742,400225,504
A,1551911742,400216,405
T,1551911743,2791
R,1551911743,700D9B77F
X,1551911744,400154,196
X,1551911745,400170,468
X,1551911746,400182,417
X,1551911746,400192,447
X,1551911747,400202,610
X,1551911747,400190,900
X,1551911748,400104,1440
X,1551911748,400129,495
X,1551911749,400142,606
X,1551911750,400147,634
X,1551911750,400146,339
P,1551911750,5095
X,1551911750,400167,452
X,1551911750,400141,388
X,1551911751,400175,1263
X,1551911751,400095,755
X,1551911752,400161,854
X,1551911752,400159,289
X,1551911753,400178,720
X,1551911754,400235,376
X,1551911754,400228,210
X,1551911755,400178,514
X,1551911755,400223,1010
X,1551911756,400174,528
A,1551911756,400168,140
T,1551911756,2791
R,1551911756,700D9B77F
X,1551911758,400221,312
X,1551911759,400218,609
X,1551911759,400219,878
X,1551911760,400226,981
X,1551911760,400147,1343
X,1551911761,400165,526
X,1551911761,400181,584
X,1551911762,400188,451
X,1551911763,400189,298
X,1551911763,400194,598
X,1551911764,400236,372
X,1551911764,400239,522
X,1551911765,400190,464
