H,1552103445,147519
R,1552103445,700D9B77F
X,1552103446,424341,38685
X,1552103447,421150,14860
X,1552103448,421835,7238
X,1552103448,422643,5071
X,1552103449,422811,2804
X,1552103449,423171,1678
X,1552103450,422758,8825
X,1552103450,423025,10033
X,1552103451,422785,18670
P,1552103451,5088
X,1552103451,419051,35634
X,1552103452,426480,23037
X,1552103453,423614,7114
X,1552103453,424874,5410
X,1552103454,424690,5639
X,1552103454,425687,5339
X,1552103455,425828,2798
X,1552103455,425182,1071
X,1552103456,424437,1813
X,1552103457,424095,1369
X,1552103457,424368,727
X,1552103458,424916,789
X,1552103458,425424,485
X,1552103459,425453,1006
X,1552103459,424728,12048
X,1552103460,424347,4943
X,1552103461,424281,682
X,1552103461,424615,927
X,1552103462,424574,671
X,1552103462,424808,7544
X,1552103463,425216,355
X,1552103463,424860,652
X,1552103464,424596,648
X,1552103465,424628,875
X,1552103465,425141,614
X,1552103466,425609,874
X,1552103466,425603,743
X,1552103467,425107,790
X,1552103467,425586,935
X,1552103468,425909,1176
X,1552103469,425462,859
X,1552103469,424800,632
X,1552103470,424930,762
X,1552103470,425708,1112
X,1552103471,426019,717
X,1552103471,426057,2044
X,1552103472,425391,1303
X,1552103472,424736,1805
X,1552103472,425387,777
A,1552103472,425056,1738
T,1552103472,2805
U,1552103473,46975
X,1552103474,423214,7229
X,1552103475,423798,1602
X,1552103475,424394,891
X,1552103476,424187,746
X,1552103476,424260,1334
X,1552103477,423819,1921
X,1552103477,424458,1136
X,1552103478,423927,805
X,1552103479,423918,1444
X,1552103479,424070,949
X,1552103480,423885,777
P,1552103480,5088
X,1552103480,423076,1193
X,1552103481,423560,1370
X,1552103481,424708,752
X,1552103482,425238,821
X,1552103483,426245,763
X,1552103483,426121,350
X,1552103484,425760,541
X,1552103484,426401,2143
X,1552103485,426969,2220
X,1552103485,427086,1511
X,1552103486,425826,1954
X,1552103487,424100,5711
X,1552103487,425332,1143
X,1552103488,425903,711
X,1552103488,425499,671
X,1552103489,425717,706
X,1552103489,425618,726
X,1552103490,425710,954
X,1552103491,425852,890
X,1552103491,425377,945
X,1552103492,425273,711
X,1552103492,425192,658
X,1552103493,425539,820
A,1552103493,425210,2360
T,1552103493,2805
U,1552103493,46975
X,1552103495,425281,1033
X,1552103495,425563,711
X,1552103496,425716,683
X,1552103496,425552,711
X,1552103497,425422,472
X,1552103498,425460,753
X,1552103498,425853,1317
X,1552103499,425594,1184
X,1552103499,425326,721
X,1552103500,425377,739
X,1552103500,425922,2530
X,1552103501,425831,716
X,1552103502,425512,661
X,1552103502,424991,612
X,1552103503,424742,486
X,1552103503,425077,543
X,1552103504,425384,1293
X,1552103504,424853,585
X,1552103505,425022,1011
X,1552103506,423833,1284
X,1552103506,424318,709
X,1552103507,424201,666
X,1552103507,424459,1198
X,1552103508,424841,539
X,1552103508,424886,639
X,1552103509,425493,1002
X,1552103510,426229,781
P,1552103510,5087
X,1552103510,426021,546
X,1552103511,425639,829
A,1552103511,425277,2028
T,1552103511,2805
U,1552103511,46975
X,1552103513,425347,735
X,1552103513,425103,520
X,1552103513,424789,613
X,1552103513,425132,855
X,1552103514,425025,910
X,1552103515,424361,1094
X,1552103515,424388,1053
X,1552103516,424668,1014
X,1552103516,425423,614
X,1552103517,425777,1070
X,1552103517,425462,669
X,1552103518,425368,868
X,1552103518,425148,1677
X,1552103519,425636,1171
X,1552103520,425762,1162
X,1552103520,425466,592
X,1552103521,425355,472
X,1552103521,425227,466
X,1552103522,425504,796
X,1552103522,425487,857
X,1552103523,425373,725
X,1552103524,425479,1401
X,1552103524,425661,625
X,1552103525,426013,1195
X,1552103525,426315,1560
X,1552103526,425981,844
X,1552103526,425475,1539
X,1552103527,424724,903
X,1552103528,424235,1102
X,1552103528,423529,3953
X,1552103529,424356,1104
X,1552103529,424078,631
X,1552103530,423881,734
X,1552103530,424149,858
A,1552103530,425126,2100
T,1552103531,2806
U,1552103531,46975
X,1552103532,424441,696
X,1552103533,424763,861
X,1552103534,424460,834
X,1552103534,423853,1018
X,1552103535,423675,693
X,1552103535,423652,889
X,1552103536,423464,4367
X,1552103536,424453,3133
X,1552103537,423846,1466
X,1552103538,424332,1732
X,1552103538,424106,2944
X,1552103539,421816,2522
