,0,196608
D,1564207973,196096
D,1564207975,197120
P,1564207976,5069
D,1564207977,196096
D,1564207979,196864
D,1564207981,197376
D,1564207984,196608
D,1564207986,197120
D,1564207988,196864
D,1564207990,196864
D,1564207992,197632
D,1564207995,196864
D,1564207997,196864
D,1564207999,196864
D,1564208001,197120
D,1564208003,196608
D,1564208006,196096
P,1564208006,5065
D,1564208007,197888
D,1564208009,198656
D,1564208011,196608
D,1564208013,197888
D,1564208016,200192
D,1564208018,203520
D,1564208020,196096
D,1564208022,196352
D,1564208024,199680
D,1564208027,197888
D,1564208029,192768
D,1564208031,196352
D,1564208033,196352
P,1564208035,5067
D,1564208035,196352
D,1564208038,195584
D,1564208040,196608
D,1564208042,195840
D,1564208044,196352
D,1564208046,196608
D,1564208048,196608
D,1564208050,197120
D,1564208052,197120
D,1564208054,196864
D,1564208056,196096
D,1564208059,196096
D,1564208061,196352
D,1564208063,196608
P,1564208064,5065
D,1564208065,196352
D,1564208068,196864
D,1564208070,196352
D,1564208072,196096
D,1564208074,197376
D,1564208076,196608
D,1564208079,197632
D,1564208081,196864
D,1564208083,197376
D,1564208085,195328
D,1564208087,196608
D,1564208089,195584
D,1564208091,197888
D,1564208093,196608
P,1564208093,5064
D,1564208095,197120
D,1564208097,196864
D,1564208100,196096
D,1564208102,196864
D,1564208104,197120
D,1564208106,197120
D,1564208108,196864
D,1564208111,197120
D,1564208113,196608
D,1564208115,196096
P,1564208123,5066
P,1564208152,5066
P,1564208182,5068
P,1564208212,5066
P,1564208241,5068
P,1564208270,5065
P,1564208299,5068
P,1564208329,5066
P,1564208358,5066
P,1564208387,5067
P,1564208417,5067
P,1564208446,5068
P,1564208476,5067
P,1564208505,5064
P,1564208535,5069
P,1564208564,5066
P,1564208593,5068
P,1564208622,5068
P,1564208652,5067
P,1564208681,5069
P,1564208710,5065
P,1564208740,5068
P,1564208770,5068
P,1564208799,5066
P,1564208828,5065
P,1564208858,5069
P,1564208887,5066
P,1564208916,5067
P,1564208946,5064
P,1564208975,5067
P,1564209004,5066
P,1564209033,5066
P,1564209064,5068
P,1564209093,5068
P,1564209122,5068
P,1564209152,5066
P,1564209181,5065
P,1564209210,5068
P,1564209239,5065
P,1564209269,5067
P,1564209298,5066
P,1564209327,5069
