H,1551329426,147519
T,1551329426,2770
R,1551329426,700D9B77F
X,1551329428,427480,894
X,1551329429,427418,625
X,1551329429,427393,447
X,1551329430,427475,616
X,1551329430,427533,717
X,1551329431,427439,1153
X,1551329431,427436,618
X,1551329432,427441,4449
X,1551329432,427816,894
X,1551329432,427664,605
X,1551329433,427741,345
X,1551329433,427733,464
X,1551329434,427783,509
X,1551329434,427900,600
X,1551329435,427845,645
X,1551329436,427811,727
X,1551329436,427799,351
X,1551329437,427852,502
X,1551329437,427849,630
P,1551329437,5093
X,1551329438,427823,765
X,1551329438,427828,1064
X,1551329439,427789,614
X,1551329439,427743,622
A,1551329439,427694,507
T,1551329440,2770
R,1551329440,700D9B77F
X,1551329441,427596,597
X,1551329442,427646,478
X,1551329443,427764,1065
X,1551329443,427759,592
X,1551329444,427754,769
X,1551329444,427757,416
X,1551329445,427796,432
X,1551329445,427812,573
X,1551329446,427814,826
X,1551329447,427778,854
X,1551329447,427742,587
X,1551329448,427715,589
X,1551329448,427730,499
X,1551329449,427784,492
X,1551329449,427712,1091
X,1551329450,427625,635
X,1551329451,427578,416
X,1551329451,427481,298
X,1551329452,427499,531
X,1551329452,427408,1090
X,1551329453,427440,426
X,1551329453,427417,638
X,1551329454,427322,449
A,1551329454,427652,492
T,1551329454,2770
R,1551329454,700D9B77F
X,1551329456,427259,542
X,1551329457,427266,734
X,1551329457,427381,432
X,1551329458,427477,738
X,1551329458,427627,824
X,1551329459,427641,669
X,1551329459,427558,659
X,1551329460,427483,378
X,1551329460,427483,921
X,1551329461,427509,824
X,1551329462,427589,653
X,1551329462,427610,493
X,1551329463,427589,409
X,1551329463,427561,476
X,1551329464,427582,861
X,1551329464,427672,967
X,1551329465,427662,646
X,1551329466,427620,474
X,1551329466,427663,706
X,1551329467,427734,852
A,1551329467,427548,475
T,1551329467,2770
R,1551329467,700D9B77F
P,1551329468,5127
X,1551329469,426999,1209
X,1551329469,427059,918
X,1551329470,427047,603
X,1551329470,427151,586
X,1551329471,427104,634
X,1551329472,427170,590
X,1551329472,427180,757
X,1551329473,427175,745
X,1551329473,426972,807
X,1551329473,426917,422
X,1551329473,426836,445
X,1551329474,426762,375
X,1551329475,426829,1234
X,1551329475,426655,1587
X,1551329476,426783,1266
X,1551329476,427086,2439
X,1551329477,427098,541
X,1551329477,427235,728
X,1551329478,427065,887
X,1551329479,427015,740
X,1551329479,427168,491
X,1551329480,427115,484
X,1551329480,426973,908
X,1551329481,426818,790
X,1551329481,426930,688
A,1551329481,427039,473
T,1551329481,2770
R,1551329482,700D9B77F
X,1551329483,427128,739
X,1551329484,427177,641
X,1551329484,427097,470
X,1551329485,427119,322
X,1551329486,427130,959
X,1551329486,427171,696
X,1551329487,427171,635
X,1551329487,427266,490
X,1551329488,427337,429
X,1551329488,427393,641
X,1551329489,427417,741
X,1551329490,427389,411
X,1551329490,427436,389
X,1551329491,427442,381
X,1551329491,427538,279
X,1551329492,427687,842
X,1551329492,427547,791
X,1551329493,427617,841
X,1551329494,427587,632
X,1551329494,427487,501
A,1551329494,427356,590
T,1551329494,2770
R,1551329494,700D9B77F
X,1551329496,427376,626
P,1551329497,5127
X,1551329497,427416,594
X,1551329497,427348,647
X,1551329498,427346,807
X,1551329498,427302,1015
X,1551329499,427232,630
X,1551329499,427205,332
X,1551329500,427221,474
X,1551329501,427296,668
X,1551329501,427236,866
X,1551329502,427200,515
X,1551329502,426854,747
X,1551329503,427443,2054
X,1551329503,426922,4208
X,1551329504,427183,1311
X,1551329505,427381,597
X,1551329505,427462,819
X,1551329506,427422,953
X,1551329506,427484,835
X,1551329507,427366,623
X,1551329507,427352,2265
X,1551329508,427507,2008
X,1551329509,427516,671
X,1551329509,427333,833
X,1551329510,427400,1255
X,1551329510,427377,1306
X,1551329511,427456,759
X,1551329511,427409,1017
X,1551329512,427444,842
A,1551329512,427329,662
T,1551329512,2770
R,1551329512,700D9B77F
X,1551329514,427268,5140
X,1551329514,427331,2336
X,1551329514,426798,2363
X,1551329515,427172,1798
X,1551329515,426998,2684
X,1551329516,427323,2171
X,1551329516,427486,700
X,1551329517,427349,5137
X,1551329518,427107,965
X,1551329518,427277,749
