,,625797,27439
X,1559770904,624858,43979
X,1559770904,625191,43945
X,1559770905,621944,19621
X,1559770906,624143,26219
X,1559770906,624870,12195
X,1559770907,624962,13849
X,1559770907,624175,13336
X,1559770908,624572,13484
X,1559770908,624920,11729
X,1559770909,625826,2743
X,1559770910,626561,2061
X,1559770910,626326,2126
X,1559770911,624968,2201
X,1559770911,625739,1524
X,1559770912,626523,12506
X,1559770912,627815,26607
X,1559770913,625335,27999
X,1559770914,622624,54135
X,1559770914,623103,28877
X,1559770915,622735,16915
X,1559770915,615437,28145
X,1559770916,611445,41658
X,1559770916,613872,42532
P,1559770917,5181
X,1559770917,620016,27932
X,1559770917,616237,6596
X,1559770918,620955,58739
X,1559770919,578423,4610
X,1559770919,603179,45989
X,1559770920,613909,62457
X,1559770920,604121,7631
X,1559770921,612027,44539
X,1559770921,596968,1956
X,1559770922,599650,45944
X,1559770923,604644,43688
X,1559770923,614431,22582
X,1559770924,611509,56790
X,1559770924,596363,45855
X,1559770925,621833,36153
X,1559770925,597337,53642
X,1559770926,608312,30228
X,1559770927,604596,33048
X,1559770927,607857,22059
X,1559770928,602701,63943
X,1559770928,600854,61140
X,1559770929,613848,47576
X,1559770929,617827,46057
X,1559770930,612706,16664
X,1559770931,619115,32206
X,1559770931,622979,23053
X,1559770932,609133,6065
X,1559770932,607908,12338
X,1559770933,603536,21348
X,1559770933,598338,38792
X,1559770934,605680,63545
X,1559770935,597036,32204
X,1559770935,594459,15353
X,1559770936,596732,26126
X,1559770936,596512,57417
X,1559770937,603407,64178
X,1559770937,612741,41502
X,1559770938,603433,61890
X,1559770939,608465,17331
X,1559770939,611238,4173
X,1559770940,609119,696
X,1559770940,610742,60039
X,1559770940,605077,28780
X,1559770940,604833,7201
X,1559770941,601910,31633
X,1559770942,587612,44270
X,1559770942,604598,10616
X,1559770943,594961,42575
X,1559770943,595145,53539
X,1559770944,595892,38084
X,1559770944,602423,6228
X,1559770945,404083,26657
X,1559770945,410011,6974
P,1559770946,5184
X,1559770946,410530,2821
X,1559770947,405764,7539
X,1559770947,408442,4616
X,1559770948,408765,3151
X,1559770948,409384,1778
X,1559770949,407562,3375
X,1559770949,408731,3028
