H,1552434512,147519
T,1552434512,2820
R,1552434512,700D9B77F
X,1552434514,398271,923
X,1552434515,398506,1196
X,1552434515,399196,1717
X,1552434516,398992,727
X,1552434516,399238,1302
X,1552434517,398722,850
X,1552434517,399113,908
X,1552434518,398715,1581
X,1552434519,398402,2491
X,1552434519,398237,1211
X,1552434520,398499,919
X,1552434520,398066,797
X,1552434521,398865,661
X,1552434521,397820,1772
X,1552434522,398775,1299
X,1552434523,398818,1057
X,1552434523,399196,942
X,1552434524,398710,1179
X,1552434524,398781,838
X,1552434525,399804,1251
X,1552434525,399764,969
X,1552434526,398920,689
X,1552434527,398926,1080
X,1552434527,399009,858
X,1552434528,398715,1087
X,1552434528,397076,6478
X,1552434529,393973,4651
X,1552434529,394665,1786
X,1552434530,396262,688
X,1552434531,397301,1145
X,1552434531,396791,2385
P,1552434531,5025
X,1552434531,397535,3125
X,1552434531,399152,1538
X,1552434532,398396,1173
X,1552434532,398535,669
X,1552434533,398636,994
X,1552434534,397988,708
X,1552434534,397658,1659
X,1552434535,397173,1292
X,1552434535,393650,6194
X,1552434536,388674,9019
X,1552434536,386333,7278
X,1552434537,389809,5823
X,1552434538,393345,1511
X,1552434538,395482,1831
X,1552434539,392653,7018
X,1552434539,392699,6971
X,1552434540,392537,3915
X,1552434540,392980,5482
X,1552434541,391873,4754
X,1552434541,393219,7509
X,1552434542,397436,1114
X,1552434543,397949,881
X,1552434543,396517,2870
X,1552434544,396124,2512
X,1552434544,396993,1943
X,1552434545,398577,434
X,1552434545,398089,734
X,1552434546,397753,534
A,1552434546,398499,3502
T,1552434546,2820
R,1552434546,700D9B77F
X,1552434548,398620,1540
X,1552434549,398823,751
X,1552434549,397739,511
X,1552434550,396609,2402
X,1552434550,395243,1434
X,1552434551,395676,1535
X,1552434551,396234,1529
X,1552434552,396658,563
X,1552434553,396869,870
X,1552434553,396499,675
X,1552434554,396452,520
X,1552434554,397103,2399
X,1552434555,397482,1262
X,1552434555,397938,741
X,1552434556,398544,936
X,1552434557,397561,2218
X,1552434557,397077,720
X,1552434558,395535,3089
X,1552434558,395721,2451
X,1552434559,395262,1133
X,1552434559,394822,2245
X,1552434560,395507,2022
X,1552434561,394150,2439
P,1552434561,5059
X,1552434561,395265,3530
X,1552434562,397010,873
X,1552434562,397172,802
X,1552434563,397334,1498
X,1552434563,397447,755
X,1552434564,397441,1607
X,1552434564,398037,454
X,1552434565,396108,2725
X,1552434566,395565,5226
X,1552434566,394064,2599
X,1552434567,394145,2409
X,1552434567,395323,2655
X,1552434568,394022,2328
X,1552434568,396020,4443
X,1552434569,397895,2084
X,1552434570,397543,2121
X,1552434570,396784,2058
X,1552434571,397739,3444
X,1552434571,398298,2739
X,1552434572,398615,2640
X,1552434572,399004,994
X,1552434572,396708,1723
X,1552434573,395366,775
X,1552434573,393649,4236
X,1552434574,394357,2858
X,1552434574,398432,2382
X,1552434575,396752,5436
X,1552434575,395013,2093
X,1552434576,394124,7436
X,1552434577,388095,7671
X,1552434577,397083,5973
X,1552434578,390765,5013
X,1552434578,389604,16172
X,1552434579,394977,6474
X,1552434579,396032,1773
X,1552434580,396962,1203
X,1552434581,395910,2236
X,1552434581,396605,2485
X,1552434582,397189,1611
X,1552434582,398349,878
X,1552434583,399200,627
X,1552434583,399088,749
X,1552434584,399271,862
X,1552434585,399351,768
A,1552434585,397794,3985
T,1552434585,2820
X,1552434587,400396,826
X,1552434587,399493,908
X,1552434588,399475,2475
X,1552434588,399091,1815
X,1552434589,399200,516
X,1552434589,399008,1039
P,1552434590,5057
X,1552434590,398857,933
X,1552434590,398499,1874
X,1552434591,397960,1148
X,1552434592,398577,902
X,1552434592,398335,930
X,1552434593,397947,1180
X,1552434593,397745,4762
X,1552434594,397857,1345
X,1552434594,398295,1268
X,1552434595,397554,1008
X,1552434596,397551,1042
X,1552434596,398127,1305
X,1552434597,398717,403
X,1552434597,398602,317
X,1552434598,399325,1006
X,1552434598,398888,979
X,1552434599,398643,687
X,1552434600,399429,769
X,1552434600,396306,9441
X,1552434601,395840,3342
X,1552434601,392275,3197
X,1552434602,394160,1949
X,1552434602,393715,5375
X,1552434603,377755,16166
X,1552434604,375443,21292
X,1552434604,396884,21473
X,1552434605,400259,14616
X,1552434605,395190,16232
X,1552434606,399158,15575
X,1552434606,399623,2792
