556232469,2850
U,1556232469,64657
X,1556232471,381770,594
X,1556232472,381758,627
X,1556232472,381596,775
X,1556232473,381700,515
X,1556232473,381615,643
X,1556232474,381667,595
X,1556232474,381688,624
X,1556232475,381811,586
X,1556232476,381550,731
X,1556232476,381594,634
X,1556232477,381568,708
X,1556232477,381585,642
X,1556232478,381755,427
X,1556232478,381712,546
X,1556232479,381442,946
X,1556232479,381375,851
X,1556232479,381494,709
X,1556232480,381511,611
X,1556232480,381516,490
X,1556232481,381529,738
A,1556232481,381611,436
T,1556232481,2850
U,1556232481,64657
X,1556232483,381788,5149
X,1556232483,382461,7674
X,1556232484,381774,793
X,1556232484,381679,1341
X,1556232485,381774,530
X,1556232486,381724,605
P,1556232486,5338
X,1556232486,381792,610
X,1556232487,381796,764
X,1556232487,381802,746
X,1556232488,381658,768
X,1556232488,381837,513
X,1556232489,381964,984
X,1556232490,381883,3293
X,1556232490,381861,663
X,1556232491,381671,1081
X,1556232491,381694,451
X,1556232492,381679,700
X,1556232492,381674,374
X,1556232493,381686,673
X,1556232494,381643,493
X,1556232494,381458,678
X,1556232495,381516,543
X,1556232495,381569,781
X,1556232496,381737,496
X,1556232496,381717,789
A,1556232496,381717,506
T,1556232497,2850
U,1556232497,64657
X,1556232498,381407,1081
X,1556232499,381395,339
X,1556232500,381405,547
X,1556232500,381341,521
X,1556232501,381323,823
X,1556232501,381174,447
X,1556232502,381270,2938
X,1556232502,381773,920
X,1556232503,381840,672
X,1556232504,382064,643
X,1556232504,381972,516
X,1556232505,381842,721
X,1556232505,381786,636
X,1556232506,381732,433
X,1556232506,381738,705
X,1556232507,381863,489
X,1556232507,381832,525
X,1556232508,381703,6920
X,1556232509,381576,1743
X,1556232509,381524,541
X,1556232510,381539,415
X,1556232510,381670,383
X,1556232511,381675,553
X,1556232511,381709,520
A,1556232511,381659,890
T,1556232512,2850
U,1556232512,64657
X,1556232513,381680,367
X,1556232514,381704,238
X,1556232515,381698,469
X,1556232515,381670,478
X,1556232516,381606,945
P,1556232516,5378
X,1556232516,381587,434
X,1556232517,381540,349
X,1556232517,381525,680
X,1556232518,381658,410
X,1556232519,381702,567
X,1556232519,381553,717
X,1556232520,381587,758
X,1556232520,381579,505
X,1556232520,381616,403
X,1556232520,381636,530
X,1556232521,381680,1492
X,1556232522,381538,1078
X,1556232522,381329,570
X,1556232523,381395,705
X,1556232523,381379,23375
X,1556232524,382114,2242
X,1556232524,381877,526
X,1556232525,381882,784
X,1556232526,381926,546
A,1556232526,381637,597
T,1556232526,2850
U,1556232526,64657
X,1556232527,381910,824
X,1556232528,381843,635
X,1556232529,381621,1023
X,1556232529,381773,375
X,1556232530,381743,448
X,1556232530,381818,455
X,1556232531,381874,753
X,1556232531,381716,793
X,1556232532,381687,534
X,1556232533,381675,417
X,1556232533,381650,388
X,1556232534,381696,337
X,1556232534,381719,976
X,1556232535,381684,748
X,1556232535,381740,652
X,1556232536,381696,686
X,1556232537,381766,357
X,1556232537,381785,476
X,1556232538,381795,311
X,1556232538,381778,561
X,1556232539,381332,6138
X,1556232539,381718,1189
X,1556232540,381710,657
A,1556232540,381752,260
T,1556232540,2850
U,1556232540,64657
