H,1552966543,147519
R,1552966543,700D9B77F
X,1552966544,409260,542
X,1552966545,409301,738
X,1552966545,409350,953
X,1552966546,409323,699
X,1552966546,408332,1409
X,1552966547,407926,565
X,1552966548,408710,1525
X,1552966548,409147,896
X,1552966549,409330,746
X,1552966549,409153,662
X,1552966550,409360,710
X,1552966550,409742,453
X,1552966551,409514,944
X,1552966552,409919,938
X,1552966552,409430,1222
X,1552966553,408690,1822
X,1552966553,409301,598
X,1552966554,409589,475
X,1552966554,409662,489
X,1552966555,409710,586
X,1552966556,409727,724
X,1552966556,409463,449
X,1552966557,409563,899
X,1552966557,409418,760
A,1552966557,409387,1993
T,1552966557,2751
R,1552966558,700D9B77F
X,1552966559,409646,998
X,1552966560,409640,826
X,1552966560,409723,621
X,1552966561,409875,371
X,1552966561,409811,295
X,1552966562,409886,523
X,1552966563,409825,1000
X,1552966563,409827,662
X,1552966564,409811,393
X,1552966564,409770,747
X,1552966565,409930,612
X,1552966565,409843,596
X,1552966566,410016,574
X,1552966567,409971,866
X,1552966567,409815,691
X,1552966568,409609,799
X,1552966568,409670,607
X,1552966569,409575,487
X,1552966569,409638,779
P,1552966570,5032
X,1552966570,409721,781
A,1552966570,409780,441
T,1552966570,2751
R,1552966570,700D9B77F
X,1552966572,409038,934
X,1552966572,408753,1388
X,1552966572,409156,981
X,1552966573,409648,864
X,1552966573,409905,801
X,1552966574,410031,302
X,1552966574,409905,613
X,1552966575,410013,452
X,1552966575,410141,670
X,1552966576,410144,965
X,1552966577,410095,857
X,1552966577,409976,712
X,1552966578,410113,532
X,1552966578,410037,481
X,1552966579,410004,544
X,1552966579,410054,741
X,1552966580,410184,270
X,1552966581,410160,709
X,1552966581,410112,721
X,1552966582,409700,782
X,1552966582,409706,605
A,1552966582,409906,1146
T,1552966582,2751
R,1552966583,700D9B77F
X,1552966584,410089,632
X,1552966585,410154,598
X,1552966585,410156,705
X,1552966586,409960,666
X,1552966587,409800,795
X,1552966587,409773,952
X,1552966588,409600,811
X,1552966588,409516,575
X,1552966589,409481,298
X,1552966589,409647,601
X,1552966590,409794,496
X,1552966591,409643,897
X,1552966591,409694,1135
X,1552966592,409760,438
X,1552966592,409777,477
X,1552966593,409762,182
X,1552966593,409729,611
X,1552966594,409586,462
X,1552966594,409149,1140
X,1552966595,409076,1038
X,1552966596,408978,957
X,1552966596,408933,521
X,1552966597,409411,388
A,1552966597,409677,1223
T,1552966597,2751
R,1552966597,700D9B77F
P,1552966599,5033
X,1552966599,409480,347
X,1552966599,409299,241
X,1552966600,409329,621
X,1552966600,409441,553
X,1552966601,409581,759
X,1552966602,409624,856
X,1552966602,409707,818
X,1552966603,409711,790
X,1552966603,409777,262
X,1552966604,409868,413
X,1552966604,409865,549
X,1552966605,409900,818
X,1552966606,410140,783
X,1552966606,410122,437
X,1552966607,410085,695
X,1552966607,410016,333
X,1552966608,409709,640
X,1552966608,409626,461
X,1552966609,409858,683
X,1552966610,409808,619
A,1552966610,409747,841
T,1552966610,2751
R,1552966610,700D9B77F
X,1552966611,409531,645
X,1552966612,409621,828
X,1552966613,409782,962
X,1552966613,409823,647
X,1552966613,409690,494
X,1552966613,409734,356
X,1552966614,409621,648
X,1552966614,408525,1583
X,1552966615,408806,679
X,1552966616,408974,1362
X,1552966616,407892,5111
X,1552966617,408677,878
X,1552966617,409260,698
X,1552966618,409441,453
X,1552966618,409341,748
X,1552966619,409718,1324
X,1552966620,409369,1011
X,1552966620,409605,613
X,1552966621,409907,5002
X,1552966621,409860,461
X,1552966622,409477,7381
X,1552966622,409240,1222
X,1552966623,409372,850
X,1552966624,409263,498
X,1552966624,409252,389
X,1552966625,409463,436
X,1552966625,409433,470
X,1552966626,409760,973
A,1552966626,409466,1183
T,1552966626,2751
R,1552966626,700D9B77F
X,1552966628,409850,326
P,1552966628,5034
X,1552966628,409798,369
X,1552966629,409647,566
X,1552966629,409668,624
X,1552966630,409696,433
X,1552966631,409789,820
X,1552966631,409623,547
X,1552966632,409688,715
X,1552966632,409164,9028
X,1552966633,409198,602
X,1552966633,409377,851
X,1552966634,409611,404
X,1552966635,409505,490
X,1552966635,409865,503
