,,362118,9069
X,1564084714,362220,3213
X,1564084715,362436,3055
X,1564084715,362415,2543
X,1564084716,362145,1278
P,1564084716,5081
X,1564084717,362346,1266
X,1564084717,362452,1992
X,1564084718,362293,1358
X,1564084718,362267,1063
X,1564084719,362314,1095
X,1564084719,362384,1385
X,1564084720,362423,806
X,1564084721,362299,1018
X,1564084721,362329,1185
X,1564084722,362289,1128
X,1564084722,362416,1021
X,1564084723,362482,861
X,1564084723,362475,934
X,1564084724,362389,793
X,1564084724,362423,1437
X,1564084725,362474,1007
X,1564084726,362354,581
X,1564084726,362392,3794
X,1564084727,362103,5259
X,1564084727,362426,6133
X,1564084728,362553,1412
X,1564084728,362537,1343
X,1564084729,362486,2092
X,1564084729,362382,4788
X,1564084729,362309,2951
X,1564084730,362410,1471
X,1564084730,362431,1263
X,1564084731,362422,854
X,1564084731,362451,975
X,1564084732,362661,9462
X,1564084733,362341,9919
X,1564084733,362328,9462
X,1564084734,362450,8315
X,1564084734,362390,6748
X,1564084735,362420,966
X,1564084735,362477,1129
X,1564084736,362468,890
X,1564084737,362519,5067
X,1564084737,362491,1494
X,1564084738,362501,1358
X,1564084738,362424,1381
X,1564084739,362366,1111
X,1564084739,362324,1244
X,1564084740,362320,1027
X,1564084741,362324,842
X,1564084741,362332,721
X,1564084742,362314,754
X,1564084742,362424,648
X,1564084743,362872,3803
X,1564084743,362445,1338
X,1564084744,362509,1628
X,1564084745,362459,3509
X,1564084745,362714,10594
P,1564084745,5084
X,1564084746,362271,4521
X,1564084746,362317,1194
X,1564084747,362439,1039
X,1564084747,362220,3884
X,1564084748,363235,7475
