411105,385230,464
P,1556411105,5309
X,1556411106,385016,10865
X,1556411106,385034,922
X,1556411107,385657,1671
X,1556411107,385965,1097
X,1556411108,385500,992
X,1556411108,385814,879
X,1556411109,385722,1720
X,1556411110,385728,1711
X,1556411110,385643,1042
X,1556411111,385117,777
X,1556411111,385308,426
X,1556411112,385421,638
X,1556411112,385680,448
X,1556411113,385525,1484
X,1556411114,385485,1015
X,1556411114,385170,1539
X,1556411115,385352,1329
X,1556411115,385364,1235
X,1556411116,385290,1167
X,1556411116,385346,1541
X,1556411117,385495,494
A,1556411117,385396,865
T,1556411117,2801
U,1556411117,64657
X,1556411119,385676,1643
X,1556411120,385843,946
X,1556411120,385877,702
X,1556411121,385834,505
X,1556411121,385972,464
X,1556411122,386008,603
X,1556411122,386159,529
X,1556411123,386248,782
X,1556411124,386215,575
X,1556411124,386108,628
X,1556411125,386166,839
X,1556411125,386088,683
X,1556411126,385739,724
X,1556411126,385694,671
X,1556411127,386067,552
X,1556411127,386580,704
X,1556411128,386498,990
X,1556411129,386092,1058
X,1556411129,386196,602
X,1556411129,386171,620
X,1556411129,386188,441
X,1556411130,386171,525
A,1556411130,386091,886
T,1556411130,2801
U,1556411130,64657
X,1556411132,385831,1024
X,1556411132,386316,666
X,1556411133,386369,689
X,1556411134,386750,590
X,1556411134,386773,1124
P,1556411135,5331
X,1556411135,386589,665
X,1556411135,386270,568
X,1556411136,385996,765
X,1556411136,386000,484
X,1556411137,385838,583
X,1556411138,385550,603
X,1556411138,385588,394
X,1556411139,385575,622
X,1556411139,385602,554
X,1556411140,385330,522
X,1556411140,385180,1355
X,1556411141,385279,2719
X,1556411142,385001,1930
X,1556411142,385722,954
X,1556411143,385268,1326
X,1556411143,384440,2401
X,1556411144,385299,2170
X,1556411144,384464,3120
X,1556411145,384432,4744
X,1556411146,384963,3033
X,1556411146,385404,2842
X,1556411147,383895,1099
X,1556411147,384707,1799
X,1556411148,384263,1559
X,1556411148,382538,1990
X,1556411149,383170,1908
X,1556411149,383549,3358
X,1556411150,384108,3991
X,1556411151,383032,3149
X,1556411151,382766,2018
X,1556411152,383504,1842
X,1556411152,384006,1179
X,1556411153,384249,892
X,1556411153,383990,1126
X,1556411154,382958,1366
X,1556411155,382819,3790
X,1556411155,384113,1882
X,1556411156,385826,3226
X,1556411156,385617,3169
X,1556411157,384432,2845
X,1556411157,384811,4269
X,1556411158,384544,4061
X,1556411159,383477,1158
X,1556411159,382148,3285
X,1556411160,382401,2437
X,1556411160,384078,1428
X,1556411161,384071,1486
X,1556411161,384337,894
X,1556411162,383669,813
X,1556411163,383498,1301
X,1556411163,383265,1682
X,1556411164,383829,827
X,1556411164,384279,2270
P,1556411165,5347
X,1556411165,383094,3865
X,1556411165,385009,1796
X,1556411166,385718,569
X,1556411167,386114,4455
X,1556411167,385798,2355
X,1556411168,386699,2923
X,1556411168,386795,724
A,1556411168,385604,3126
T,1556411168,2801
U,1556411169,64657
X,1556411170,385880,1174
X,1556411170,385735,4697
X,1556411170,386398,686
X,1556411171,386768,814
X,1556411171,386535,766
X,1556411172,386922,2845
X,1556411173,386319,574
X,1556411173,386172,538
X,1556411174,386386,408
X,1556411174,386361,748
X,1556411175,385857,596
