9592,4555
P,1554839621,4555
P,1554839651,4556
P,1554839680,4556
P,1554839709,4558
P,1554839738,4559
P,1554839768,4560
P,1554839797,4559
P,1554839826,4560
P,1554839856,4561
P,1554839886,4562
P,1554839915,4562
P,1554839944,4562
P,1554839974,4562
P,1554840003,4563
P,1554840032,4564
D,1554840041,187648
R,1554840041,5C00DDFC91
R,1554840041,5C00DDFC91
R,1554840041,5C00DDFC91
X,1554840043,358472,48092
X,1554840044,362518,3359
X,1554840044,364477,8115
X,1554840045,360436,37491
X,1554840045,364471,7832
X,1554840046,362655,24674
X,1554840046,364446,2993
X,1554840047,364885,5981
X,1554840048,366447,21981
X,1554840048,365659,8401
X,1554840049,365832,1030
X,1554840049,365828,1742
X,1554840050,365605,2580
X,1554840050,365336,1490
X,1554840051,365572,2094
X,1554840052,365238,3986
X,1554840052,363551,6029
X,1554840053,362331,4671
X,1554840053,364469,5571
X,1554840054,364739,3777
X,1554840054,365695,2090
X,1554840055,365944,3467
X,1554840056,366332,15389
X,1554840056,365967,4466
X,1554840057,365461,2402
X,1554840057,364597,1969
X,1554840058,365010,4635
X,1554840058,364826,4011
X,1554840059,365130,2270
X,1554840060,365307,1740
X,1554840060,365175,2116
X,1554840061,364839,2802
X,1554840061,365457,2286
X,1554840061,365369,7379
P,1554840061,4551
X,1554840061,365356,12264
X,1554840062,364082,14852
X,1554840063,365976,33376
X,1554840063,367865,52960
