,53,369928,1122
X,1557188654,369680,615
X,1557188654,369673,440
X,1557188655,369664,606
X,1557188655,370363,6872
X,1557188656,369724,2945
X,1557188657,369858,7311
X,1557188657,369864,1429
X,1557188658,369993,1284
X,1557188658,369838,861
X,1557188659,369977,1400
X,1557188659,370187,562
X,1557188660,370021,3098
X,1557188661,370111,1798
X,1557188661,369975,693
X,1557188662,369956,778
X,1557188662,369858,1022
X,1557188663,369999,952
X,1557188663,369962,572
X,1557188664,370373,5109
X,1557188664,369673,1301
X,1557188665,370110,713
X,1557188666,369969,698
X,1557188666,370056,634
X,1557188667,369937,454
X,1557188667,369844,597
X,1557188668,369922,1177
X,1557188668,369932,539
X,1557188669,369889,525
X,1557188670,369813,656
X,1557188670,369915,437
A,1557188670,369902,523
T,1557188670,2775
X,1557188672,370118,556
X,1557188673,370056,466
X,1557188673,370083,689
X,1557188674,370010,489
X,1557188674,370055,3150
X,1557188675,370009,1742
X,1557188676,369895,1723
X,1557188676,370083,1481
P,1557188677,5219
X,1557188677,370258,849
X,1557188677,369992,679
X,1557188678,369717,3033
X,1557188678,369586,1452
X,1557188679,369828,995
X,1557188680,369867,645
X,1557188680,369791,488
X,1557188681,369759,1216
X,1557188681,369792,605
X,1557188682,369782,783
X,1557188682,369793,864
X,1557188683,370150,832
X,1557188684,370210,655
X,1557188684,369972,633
X,1557188685,370057,1689
X,1557188685,369844,844
X,1557188686,369833,741
X,1557188686,369916,3398
X,1557188687,369622,2594
X,1557188688,369807,709
X,1557188688,369926,804
X,1557188689,370056,601
A,1557188689,369958,476
T,1557188689,2775
R,1557188689,5C00DDFC91
X,1557188691,369740,931
X,1557188691,369807,880
X,1557188691,369925,883
X,1557188691,370046,685
X,1557188692,370022,360
X,1557188692,369931,667
X,1557188693,370032,612
X,1557188694,369758,607
X,1557188694,369920,455
X,1557188695,370073,524
X,1557188695,370068,596
X,1557188696,370144,513
X,1557188696,369857,585
X,1557188697,370040,608
X,1557188698,370008,1317
X,1557188698,370255,507
X,1557188699,370211,350
X,1557188699,369998,529
X,1557188700,370072,672
X,1557188700,369972,696
X,1557188701,370378,685
A,1557188701,370012,638
T,1557188701,2775
R,1557188701,5C00DDFC91
X,1557188703,370221,407
X,1557188703,370217,1461
X,1557188704,370222,958
X,1557188705,370176,2717
X,1557188705,371412,7656
P,1557188706,5222
X,1557188706,363444,14502
X,1557188706,363398,46847
X,1557188707,368462,211
X,1557188707,368983,56805
X,1557188708,367518,25650
X,1557188709,367896,12910
X,1557188709,369021,9225
X,1557188710,368992,2076
X,1557188710,369033,1356
X,1557188711,369056,8461
X,1557188711,368976,811
X,1557188712,369093,1416
X,1557188713,369188,1015
X,1557188713,369352,741
X,1557188714,369458,889
