,,389729,2654
X,1559597394,389431,3854
X,1559597394,389591,3022
X,1559597395,389490,1247
X,1559597396,389556,394
X,1559597396,389547,2764
X,1559597397,389765,2751
X,1559597397,389303,1499
X,1559597398,389428,852
X,1559597398,389478,453
X,1559597399,389386,328
X,1559597400,389296,434
A,1559597400,389375,305
T,1559597400,2953
R,1559597400,700D9B753
X,1559597402,389261,771
X,1559597402,389248,569
X,1559597403,389184,19697
X,1559597403,389328,856
X,1559597404,389196,5784
X,1559597404,389450,1533
X,1559597405,389226,1410
X,1559597406,388809,1803
X,1559597406,388780,1065
X,1559597407,388911,449
X,1559597407,388972,595
X,1559597408,388998,667
X,1559597408,389085,1177
X,1559597409,389157,1243
X,1559597409,389135,806
X,1559597410,389097,631
X,1559597411,389048,437
X,1559597411,389054,630
X,1559597412,388994,495
P,1559597412,5220
X,1559597412,389026,648
X,1559597413,389079,1019
X,1559597413,389045,691
X,1559597414,389194,10940
X,1559597415,389482,3032
X,1559597415,389267,2737
X,1559597416,389274,541
X,1559597416,389138,541
X,1559597417,389152,1146
X,1559597417,389156,599
X,1559597418,389112,729
X,1559597419,389169,15591
X,1559597419,389092,1181
X,1559597420,389400,686
X,1559597420,389338,624
X,1559597421,389298,1186
X,1559597421,389232,615
A,1559597421,389138,489
T,1559597422,2953
R,1559597422,700D9B753
X,1559597423,389130,334
X,1559597424,389172,998
X,1559597425,389054,1940
X,1559597425,389470,3625
X,1559597426,389269,1230
X,1559597426,389245,767
X,1559597427,389265,662
X,1559597427,389223,477
X,1559597428,389187,560
X,1559597429,389134,768
X,1559597429,389209,545
X,1559597430,389152,457
X,1559597430,389171,636
X,1559597431,389127,574
X,1559597431,389125,555
X,1559597432,389116,615
X,1559597432,389146,511
X,1559597433,389130,727
X,1559597434,388963,527
X,1559597434,389052,540
X,1559597434,389049,530
X,1559597434,389092,358
X,1559597435,389088,503
A,1559597435,389138,302
T,1559597435,2953
R,1559597435,700D9B753
X,1559597437,389110,428
X,1559597437,389056,658
X,1559597438,389120,665
X,1559597439,389163,481
X,1559597439,389152,487
X,1559597440,389116,661
