,,393105,1384
X,1559780224,392833,1830
X,1559780225,393142,996
X,1559780225,393216,1577
X,1559780226,392975,1229
X,1559780226,393399,1607
X,1559780227,394056,799
X,1559780227,394125,676
X,1559780228,394323,1128
X,1559780229,394373,1489
X,1559780229,394019,1099
X,1559780230,393995,1110
X,1559780230,393811,1355
X,1559780231,394035,790
X,1559780231,394116,722
X,1559780232,394093,713
X,1559780232,394308,926
X,1559780233,394030,755
X,1559780234,394309,2514
X,1559780234,393719,3138
X,1559780235,394221,3030
X,1559780235,393586,13552
P,1559780236,5170
X,1559780236,393476,20458
X,1559780236,398616,23212
X,1559780237,396730,55924
X,1559780238,395043,3324
X,1559780238,395171,14183
X,1559780239,395221,8191
X,1559780239,396782,10210
X,1559780240,391578,26213
X,1559780240,396760,23075
X,1559780241,396599,41186
X,1559780242,395648,54533
X,1559780242,396230,20550
X,1559780243,395584,16451
X,1559780243,396137,20246
X,1559780244,395626,32970
X,1559780244,395487,30773
X,1559780245,396442,23634
X,1559780246,396318,23082
X,1559780246,397080,25401
X,1559780247,396843,25577
X,1559780247,396931,21941
X,1559780248,395849,30023
X,1559780248,394493,23446
X,1559780249,395078,27199
X,1559780250,397341,36588
X,1559780250,395501,15206
X,1559780251,396543,14270
X,1559780251,395625,13548
X,1559780251,394497,13850
X,1559780251,393147,16476
X,1559780252,393114,15260
X,1559780253,392976,14291
X,1559780253,394117,8620
X,1559780254,393144,13001
X,1559780254,395504,10939
X,1559780255,390876,14634
X,1559780255,392605,12579
X,1559780256,391747,16622
X,1559780256,389902,41360
X,1559780257,231418,65259
X,1559780258,146236,2314
X,1559780258,145568,320
X,1559780259,145451,361
X,1559780259,145580,261
X,1559780260,144935,574
X,1559780260,144897,328
X,1559780261,144940,350
X,1559780262,144916,242
X,1559780262,144758,308
X,1559780263,144532,411
X,1559780263,144591,152
O,1559780264,144628,221
O,1559780264,144353,189
P,1559780265,5170
O,1559780265,144284,192
O,1559780266,144346,270
O,1559780266,144373,131
O,1559780267,144381,155
O,1559780267,144433,176
