,93,142865,121
O,1564943594,142877,118
O,1564943594,142873,157
O,1564943595,142869,107
O,1564943595,142877,131
O,1564943596,142868,118
O,1564943596,142851,86
O,1564943596,142865,153
O,1564943597,142871,85
O,1564943597,142881,88
O,1564943598,142896,103
O,1564943598,142872,127
O,1564943599,142898,128
P,1564943599,5045
O,1564943599,142897,186
O,1564943600,142884,138
O,1564943601,142889,112
O,1564943601,142878,79
O,1564943602,142886,134
O,1564943602,142872,504
O,1564943603,142876,249
O,1564943603,142889,135
O,1564943604,142882,198
O,1564943605,142862,209
O,1564943605,142864,150
O,1564943606,142880,148
O,1564943606,142860,91
O,1564943607,142870,120
O,1564943607,142872,120
O,1564943608,142894,79
O,1564943609,142911,163
O,1564943609,142918,69
O,1564943610,142888,58
O,1564943610,142874,102
O,1564943611,142909,150
O,1564943611,142913,102
O,1564943612,142893,100
O,1564943613,142896,129
O,1564943613,142905,116
O,1564943614,142916,81
O,1564943614,142904,121
O,1564943615,142904,120
O,1564943615,142888,134
O,1564943616,142869,84
O,1564943616,142902,81
O,1564943617,142878,61
O,1564943618,142905,133
O,1564943618,142895,86
O,1564943619,142896,82
O,1564943619,142893,126
O,1564943620,142863,128
O,1564943620,142872,122
O,1564943621,142866,76
O,1564943622,142866,102
O,1564943622,142887,149
O,1564943623,142897,123
O,1564943623,142867,98
O,1564943624,142885,112
O,1564943624,142872,122
O,1564943625,142865,146
