H,1552434045,147519
T,1552434045,2821
R,1552434045,700D9B77F
X,1552434047,396208,2630
X,1552434047,396039,3383
X,1552434048,394668,1982
X,1552434048,395867,1655
X,1552434049,397087,975
X,1552434049,396616,373
X,1552434050,396201,321
X,1552434051,396254,1225
X,1552434051,396018,696
X,1552434052,395901,770
X,1552434052,393766,3313
X,1552434053,394032,3419
X,1552434053,393797,6637
X,1552434054,393697,2118
X,1552434054,392767,5801
X,1552434055,395010,1995
X,1552434056,388277,10004
X,1552434056,390948,11722
X,1552434057,391263,12883
X,1552434057,391218,6126
X,1552434058,393858,7728
X,1552434058,398135,4858
X,1552434059,399368,7888
X,1552434060,398774,9340
P,1552434060,5047
X,1552434060,399596,4734
X,1552434061,400402,19303
X,1552434061,398582,21510
X,1552434062,400012,36357
X,1552434062,398767,51038
X,1552434063,395201,5214
X,1552434064,394316,853
X,1552434064,393723,4214
X,1552434065,392436,4368
X,1552434065,379120,27904
X,1552434066,382125,6368
X,1552434066,384836,4835
X,1552434067,388175,2304
X,1552434068,388398,2258
X,1552434068,388484,3861
X,1552434069,390865,2741
X,1552434069,390119,1580
X,1552434070,390225,2900
X,1552434070,392133,541
X,1552434071,392710,594
X,1552434072,392374,1620
X,1552434072,391888,1236
X,1552434073,392970,1679
X,1552434073,393641,1437
X,1552434074,394948,4485
X,1552434074,392627,1095
X,1552434075,392367,3752
X,1552434076,390570,2181
X,1552434076,392100,2013
X,1552434077,393488,1317
X,1552434077,394832,5668
X,1552434078,395727,2086
X,1552434078,396023,2418
X,1552434079,394958,1667
X,1552434079,393989,2624
X,1552434079,394789,1359
X,1552434080,393755,2601
X,1552434080,393097,1587
X,1552434081,393494,1219
X,1552434081,394383,1075
X,1552434082,394288,934
X,1552434082,392811,1111
X,1552434083,393243,2848
X,1552434084,392567,5620
X,1552434084,390317,9421
X,1552434085,389761,7295
X,1552434085,391890,2581
X,1552434086,393123,3207
X,1552434086,390545,5665
X,1552434087,391621,3359
X,1552434088,393453,960
X,1552434088,392855,855
X,1552434089,392986,1367
P,1552434089,5062
X,1552434089,394182,1193
X,1552434090,394286,858
X,1552434090,393490,1217
X,1552434091,394249,1699
X,1552434092,394202,2045
X,1552434092,393999,1722
X,1552434093,393714,1950
X,1552434093,394320,2248
X,1552434094,393551,1646
X,1552434094,391540,2281
X,1552434095,393636,2374
X,1552434096,391610,1456
X,1552434096,389519,892
X,1552434097,391471,918
X,1552434097,392800,1849
X,1552434098,392527,1873
X,1552434098,392535,982
X,1552434099,392956,1608
X,1552434100,395557,5819
X,1552434100,395914,5523
X,1552434101,394049,3710
X,1552434101,393344,5661
X,1552434102,394268,2842
X,1552434102,394230,11526
X,1552434103,398239,5321
X,1552434104,397157,2367
X,1552434104,398015,3438
X,1552434105,398921,1208
X,1552434105,397631,4039
X,1552434106,396804,3596
X,1552434106,397366,3926
X,1552434107,397754,1839
X,1552434108,397832,727
X,1552434108,397270,1601
X,1552434109,393679,9845
X,1552434109,394424,6913
X,1552434110,393155,16562
X,1552434110,396128,5230
X,1552434111,397519,1709
X,1552434111,398231,2193
X,1552434112,397553,1353
X,1552434113,398949,1893
X,1552434113,398890,1537
X,1552434114,397336,2031
X,1552434114,396707,1631
X,1552434115,398885,2154
X,1552434115,398434,1659
X,1552434116,399298,1176
X,1552434117,398463,2450
X,1552434117,397524,2266
X,1552434118,397878,1177
X,1552434118,398101,950
X,1552434119,398786,933
P,1552434119,5059
X,1552434119,398052,2376
X,1552434120,397213,1530
X,1552434120,396942,1122
X,1552434120,397587,997
X,1552434121,395587,3368
X,1552434121,395946,2555
X,1552434122,397105,980
A,1552434122,394940,9267
T,1552434122,2821
R,1552434122,700D9B77F
X,1552434124,396938,985
X,1552434124,395743,4302
X,1552434125,397853,2107
X,1552434126,397081,772
X,1552434126,396281,1428
X,1552434127,397000,1143
X,1552434127,397480,1178
X,1552434128,397795,1073
X,1552434128,398020,1692
X,1552434129,398388,796
X,1552434130,397650,892
X,1552434130,397405,606
X,1552434131,397735,962
X,1552434131,396571,1064
X,1552434132,393578,8486
X,1552434132,392917,8078
X,1552434133,393960,11681
X,1552434133,397207,948
X,1552434134,397662,1108
X,1552434135,397657,1023
X,1552434135,397783,945
X,1552434136,396906,1654
X,1552434136,393086,7941
X,1552434137,393020,8068
X,1552434137,394722,2724
X,1552434138,395471,1267
