,386711,6839
X,1557621167,386466,2734
X,1557621168,386263,14018
X,1557621168,386374,5956
X,1557621169,386451,2605
X,1557621169,386632,3033
X,1557621170,386315,6681
X,1557621171,386619,5048
X,1557621171,386506,6463
X,1557621172,385772,5000
X,1557621172,386402,9470
X,1557621173,386388,11833
X,1557621173,386681,7157
X,1557621174,386363,1943
X,1557621175,386179,6950
X,1557621175,386303,11819
X,1557621176,386388,6143
X,1557621176,386130,9541
P,1557621176,5148
X,1557621177,386088,7437
X,1557621177,386308,3055
X,1557621178,385990,13989
X,1557621178,386408,6110
X,1557621179,386850,10074
X,1557621180,385987,11427
X,1557621180,386570,2180
X,1557621181,386288,3116
X,1557621181,386600,9662
X,1557621182,386434,11493
X,1557621182,386401,1731
X,1557621183,386637,2001
X,1557621183,386388,4227
X,1557621183,386114,1242
X,1557621184,385926,5885
X,1557621184,386656,15876
X,1557621185,387231,17024
X,1557621185,386342,24280
X,1557621186,386371,13112
X,1557621187,386524,2442
X,1557621187,387319,4689
X,1557621188,386100,1386
X,1557621188,386493,1327
X,1557621189,386542,1118
X,1557621189,385898,4900
X,1557621190,386873,10136
X,1557621191,386526,20114
X,1557621191,386561,13403
X,1557621192,386881,2449
X,1557621192,386724,2841
X,1557621193,386451,1144
X,1557621193,386329,1198
X,1557621194,386221,688
X,1557621195,386268,8080
X,1557621195,386250,1472
X,1557621196,386581,959
X,1557621196,386614,632
X,1557621197,386544,668
X,1557621197,386596,469
X,1557621198,386493,608
X,1557621199,386883,1248
X,1557621199,386066,4847
X,1557621200,386457,8904
X,1557621200,386780,14181
X,1557621201,386499,10315
X,1557621201,386304,9590
X,1557621202,386713,8590
X,1557621203,386546,2664
X,1557621203,386523,3234
X,1557621204,386549,5230
X,1557621204,386499,10206
X,1557621205,387082,6955
X,1557621205,386997,1800
P,1557621205,5185
X,1557621206,386518,5111
X,1557621206,386679,8615
X,1557621207,386725,4144
X,1557621208,386527,5043
X,1557621208,386281,2426
X,1557621209,386673,3698
X,1557621209,386610,1964
X,1557621210,386887,6915
X,1557621210,386595,5145
X,1557621211,386631,4392
X,1557621212,386957,3465
X,1557621212,386653,7650
X,1557621213,386884,14208
X,1557621213,386785,5718
X,1557621214,386864,4821
X,1557621214,386493,3840
X,1557621215,386709,1826
X,1557621216,386589,704
X,1557621216,386321,10295
X,1557621217,386380,2851
X,1557621217,386368,1514
X,1557621218,386424,1446
X,1557621218,386323,13129
X,1557621219,386151,1486
X,1557621220,386399,488
X,1557621220,386314,1073
X,1557621221,386611,2824
X,1557621221,386586,6217
X,1557621222,386228,15615
X,1557621222,386260,16729
X,1557621223,386368,8220
X,1557621224,386766,5455
X,1557621224,386197,9149
X,1557621224,386919,10243
X,1557621224,386828,8294
X,1557621225,386701,1571
X,1557621225,386741,1110
X,1557621226,386644,786
X,1557621227,386689,3759
X,1557621227,386415,2764
X,1557621228,386235,3381
X,1557621228,386737,5844
X,1557621229,386623,5025
X,1557621229,386442,7141
