H,1551983073,147519
T,1551983073,2815
R,1551983073,700D9B77F
X,1551983075,385051,621
X,1551983075,385212,1180
X,1551983076,385349,612
X,1551983077,385510,2063
X,1551983077,384973,3170
X,1551983078,385415,3023
X,1551983078,385443,908
X,1551983079,385331,1022
X,1551983079,385541,5218
X,1551983080,385360,797
X,1551983081,385103,807
X,1551983081,385121,994
X,1551983082,385130,817
X,1551983082,385119,320
X,1551983083,385121,384
X,1551983083,385091,582
X,1551983084,384926,754
X,1551983085,384655,499
X,1551983085,384963,506
X,1551983086,384940,1018
X,1551983086,384745,1038
X,1551983087,384537,1758
X,1551983087,384818,1191
X,1551983088,384802,1127
X,1551983089,384599,799
X,1551983089,384605,2625
X,1551983090,384992,714
X,1551983090,385195,497
X,1551983091,385363,767
X,1551983091,385339,388
X,1551983092,385359,813
X,1551983093,385444,774
A,1551983093,385136,845
T,1551983093,2815
R,1551983093,700D9B77F
X,1551983094,385312,810
X,1551983095,385108,753
X,1551983096,384976,9409
X,1551983096,385390,1635
X,1551983097,385455,843
X,1551983097,385597,902
X,1551983098,385593,679
X,1551983098,385469,570
X,1551983099,385477,567
X,1551983100,385723,409
X,1551983100,385518,1107
P,1551983101,5119
X,1551983101,385506,380
X,1551983101,385540,1170
X,1551983102,385519,457
X,1551983102,385625,679
X,1551983103,385790,1004
X,1551983104,385834,438
X,1551983104,385829,767
X,1551983104,385722,521
X,1551983104,385532,1585
X,1551983105,385902,1213
X,1551983105,385744,722
X,1551983106,385701,690
X,1551983107,385691,723
X,1551983107,385629,742
X,1551983108,385530,899
X,1551983108,385566,1038
X,1551983109,385708,559
A,1551983109,385588,726
T,1551983109,2815
R,1551983109,700D9B77F
X,1551983111,385741,773
X,1551983111,385718,815
X,1551983112,385678,806
X,1551983113,385579,642
X,1551983113,385433,456
X,1551983114,385481,1004
X,1551983114,385501,365
X,1551983115,385493,529
X,1551983115,385466,788
X,1551983116,385495,865
X,1551983116,385480,497
X,1551983117,385119,479
X,1551983118,385125,977
X,1551983118,385190,619
X,1551983119,384903,335
X,1551983119,385235,628
X,1551983120,385299,817
X,1551983120,385077,708
X,1551983121,385162,915
X,1551983122,385011,1069
X,1551983122,385100,594
X,1551983123,385307,777
A,1551983123,385355,838
T,1551983123,2815
R,1551983123,700D9B77F
X,1551983125,385536,926
X,1551983125,385479,1015
X,1551983126,385461,1004
X,1551983126,385555,1174
X,1551983127,384889,795
X,1551983128,385422,995
X,1551983128,385503,690
X,1551983129,385501,1817
X,1551983129,385387,1534
P,1551983130,5120
X,1551983130,385647,841
X,1551983130,385344,923
X,1551983131,385019,439
X,1551983132,384947,808
X,1551983132,385080,942
X,1551983133,385044,865
X,1551983133,384918,777
X,1551983134,384861,674
X,1551983134,384667,1203
X,1551983135,385039,858
X,1551983136,385281,626
X,1551983136,385330,1492
X,1551983137,385466,1307
X,1551983137,385564,855
X,1551983138,385507,976
X,1551983138,385533,830
X,1551983139,385633,459
X,1551983139,385744,766
X,1551983140,385752,765
A,1551983140,385313,891
T,1551983140,2815
R,1551983140,700D9B77F
X,1551983142,385974,1112
X,1551983143,385604,3298
X,1551983143,385938,551
X,1551983144,386056,665
X,1551983144,386114,430
X,1551983145,385844,315
X,1551983145,385905,508
X,1551983145,385811,543
X,1551983146,385671,1056
X,1551983146,385625,646
X,1551983147,385643,1046
X,1551983147,385702,286
X,1551983148,385676,298
X,1551983148,385615,899
X,1551983149,385623,730
X,1551983150,385686,868
X,1551983150,385728,483
X,1551983151,385545,677
X,1551983151,385740,428
X,1551983152,385701,573
X,1551983152,385328,893
X,1551983153,385137,664
X,1551983154,385372,506
X,1551983154,385483,547
A,1551983154,385681,977
T,1551983154,2815
R,1551983154,700D9B77F
X,1551983156,385723,530
X,1551983157,385750,481
X,1551983157,385440,1592
X,1551983158,385362,694
X,1551983158,385268,937
P,1551983159,5119
X,1551983159,385055,1026
X,1551983159,384963,615
X,1551983160,385441,391
X,1551983161,385584,709
X,1551983161,385657,868
X,1551983162,385650,503
X,1551983162,385398,869
X,1551983163,385575,579
X,1551983163,385642,904
X,1551983164,385661,482
X,1551983165,385650,464
X,1551983165,385608,736
X,1551983166,385637,812
X,1551983166,385585,698
