,146758,81
O,1557206424,146775,137
O,1557206425,146848,111
O,1557206425,227706,61298
T,1557206426,2784
D,1557206427,178688
D,1557206429,181504
P,1557206431,5218
D,1557206431,177152
D,1557206433,181504
D,1557206436,181760
D,1557206438,181504
D,1557206440,183040
D,1557206442,182528
D,1557206444,181760
D,1557206447,181504
D,1557206449,181760
D,1557206451,182784
D,1557206452,181760
D,1557206454,182272
D,1557206457,181760
D,1557206459,182016
P,1557206460,5219
D,1557206461,182016
D,1557206463,182272
D,1557206465,182528
D,1557206468,182272
D,1557206470,182528
D,1557206472,182272
D,1557206474,182272
D,1557206476,182272
D,1557206479,182272
D,1557206481,180736
D,1557206483,186368
D,1557206485,183808
D,1557206487,184320
D,1557206490,182528
P,1557206490,5220
D,1557206492,182272
D,1557206493,182784
D,1557206495,182784
D,1557206497,182784
D,1557206500,182528
D,1557206502,183040
D,1557206504,182528
D,1557206506,183552
D,1557206508,183040
D,1557206511,183040
D,1557206513,182272
D,1557206515,183040
D,1557206517,182784
P,1557206519,5218
D,1557206519,182272
D,1557206522,182784
D,1557206524,182784
D,1557206526,182528
D,1557206528,182784
D,1557206530,183296
D,1557206533,183296
D,1557206534,183040
D,1557206536,182784
D,1557206538,184576
D,1557206540,184064
D,1557206543,182528
D,1557206545,182272
D,1557206547,182272
P,1557206548,5221
D,1557206549,187904
D,1557206551,183040
D,1557206554,185344
D,1557206556,180736
D,1557206558,185344
D,1557206560,182784
D,1557206562,183040
D,1557206565,180992
D,1557206567,184320
D,1557206569,182528
D,1557206571,182016
D,1557206573,182784
D,1557206575,182528
D,1557206577,185088
P,1557206577,5218
D,1557206579,182528
D,1557206581,182528
D,1557206583,182272
D,1557206586,182528
D,1557206588,182528
D,1557206590,182528
D,1557206592,183296
D,1557206594,182528
D,1557206597,182016
D,1557206599,183040
D,1557206601,183040
D,1557206603,182528
D,1557206605,182784
P,1557206608,5221
D,1557206608,182528
D,1557206610,182784
D,1557206612,183040
D,1557206614,182784
D,1557206615,183040
D,1557206618,183552
D,1557206620,182272
D,1557206622,183040
D,1557206624,182528
D,1557206627,183040
D,1557206629,182784
D,1557206631,183552
D,1557206633,183296
D,1557206635,182784
P,1557206637,5219
D,1557206638,184320
D,1557206640,182528
D,1557206642,182528
D,1557206644,183040
D,1557206646,182784
D,1557206649,183552
D,1557206651,182528
D,1557206653,182784
D,1557206655,182272
D,1557206656,182528
D,1557206659,182016
D,1557206661,183040
D,1557206663,182784
D,1557206665,183296
P,1557206666,5218
D,1557206667,183552
D,1557206670,182784
D,1557206672,183040
D,1557206674,182784
D,1557206676,183040
D,1557206678,182784
D,1557206681,182784
D,1557206683,182272
D,1557206685,183296
D,1557206687,183040
D,1557206689,183296
D,1557206692,182528
D,1557206694,185344
P,1557206696,5218
D,1557206696,183040
D,1557206697,183296
D,1557206699,183040
D,1557206702,182784
D,1557206704,183552
D,1557206706,183296
D,1557206708,183552
D,1557206710,183296
D,1557206713,183040
D,1557206715,183296
D,1557206717,182784
D,1557206719,182784
D,1557206721,182528
D,1557206724,182784
P,1557206725,5220
D,1557206726,183296
D,1557206728,183552
D,1557206730,183040
D,1557206732,182784
D,1557206735,183040
D,1557206737,183552
D,1557206738,183040
D,1557206740,183552
D,1557206742,183808
D,1557206745,182784
D,1557206747,183040
D,1557206749,183040
D,1557206751,184064
D,1557206753,183552
P,1557206754,5220
D,1557206756,183040
D,1557206758,183040
D,1557206760,183040
