,,144598,622
O,1563584119,144528,196
O,1563584120,144458,279
O,1563584121,144646,216
O,1563584121,144740,161
O,1563584122,144320,575
O,1563584122,144367,164
O,1563584123,144723,147
O,1563584123,144682,185
O,1563584124,144759,130
O,1563584125,144840,91
O,1563584125,144833,139
O,1563584126,144832,154
O,1563584126,144847,142
O,1563584127,144834,83
O,1563584127,144758,125
O,1563584128,144748,86
O,1563584129,144667,281
P,1563584129,5082
O,1563584129,144704,116
O,1563584130,144645,107
O,1563584130,144776,211
O,1563584131,144811,145
O,1563584131,144708,217
O,1563584132,144498,207
O,1563584133,144434,144
O,1563584133,144619,199
O,1563584134,144688,292
O,1563584134,144821,115
O,1563584135,144694,136
O,1563584135,144581,129
O,1563584136,144474,292
O,1563584136,144613,147
O,1563584137,144588,191
O,1563584138,144628,177
O,1563584138,144753,131
O,1563584139,144800,182
O,1563584139,144768,159
O,1563584140,144755,159
O,1563584140,144833,154
O,1563584141,144814,193
O,1563584142,144722,226
O,1563584142,144714,100
O,1563584143,144733,168
O,1563584143,144690,187
O,1563584144,144639,80
O,1563584144,144652,137
O,1563584145,144561,210
O,1563584146,144622,72
O,1563584146,144715,141
O,1563584147,144807,179
O,1563584147,144744,201
O,1563584148,144816,146
O,1563584148,144875,169
O,1563584149,144809,96
O,1563584150,144716,295
O,1563584150,144510,244
O,1563584150,144679,220
O,1563584150,144755,288
O,1563584151,144634,199
O,1563584151,144718,149
O,1563584152,144556,364
O,1563584153,144507,256
O,1563584153,144628,199
O,1563584154,144677,274
O,1563584154,144712,184
O,1563584155,144830,172
