H,1552105782,147519
T,1552105782,2807
U,1552105782,46975
X,1552105784,427258,880
X,1552105784,427060,755
X,1552105785,426434,875
X,1552105785,425095,1414
X,1552105786,426233,537
X,1552105787,425971,862
X,1552105787,426183,866
X,1552105788,424947,1624
X,1552105788,426447,1684
X,1552105789,426697,760
X,1552105789,427165,591
X,1552105790,427413,892
X,1552105791,426900,1384
X,1552105791,426578,636
X,1552105792,426492,702
X,1552105792,426672,453
X,1552105793,426997,657
X,1552105793,427356,897
X,1552105794,427511,797
X,1552105795,427390,393
X,1552105795,427184,601
X,1552105796,427074,773
X,1552105796,427083,639
X,1552105797,427495,814
A,1552105797,426912,1540
T,1552105797,2807
U,1552105797,46975
X,1552105799,426929,1317
X,1552105799,426382,1647
X,1552105800,425693,1115
X,1552105801,425373,1186
X,1552105801,425608,1324
X,1552105802,424840,5791
X,1552105802,423781,2311
X,1552105803,425254,2529
P,1552105803,5083
X,1552105803,426992,485
X,1552105804,426558,880
X,1552105804,425612,1731
X,1552105805,424976,1563
X,1552105806,424838,2029
X,1552105806,424754,967
X,1552105807,425271,1027
X,1552105807,426132,1120
X,1552105808,426330,407
X,1552105808,426722,732
X,1552105809,427039,1003
X,1552105810,427746,521
X,1552105810,427155,1411
X,1552105810,426344,788
X,1552105810,425608,1843
X,1552105811,427045,2264
X,1552105811,427198,781
X,1552105812,426492,9799
X,1552105813,425757,1579
X,1552105813,425525,519
X,1552105814,425624,991
X,1552105814,425578,615
X,1552105815,424819,1250
X,1552105815,424260,1348
X,1552105816,422967,2938
X,1552105817,420975,3703
X,1552105817,420900,4661
X,1552105818,422598,1435
X,1552105818,423436,1247
X,1552105819,423152,2119
X,1552105819,424084,987
X,1552105820,423928,3252
X,1552105821,424320,827
X,1552105821,423853,1986
X,1552105822,424389,1030
X,1552105822,424845,783
X,1552105823,424722,1106
X,1552105823,425235,764
X,1552105824,425583,850
X,1552105825,425435,373
X,1552105825,425298,581
X,1552105826,425400,988
X,1552105826,425303,703
A,1552105826,425743,3662
T,1552105826,2807
U,1552105827,46975
X,1552105828,424318,812
X,1552105829,424809,907
X,1552105829,426089,2436
X,1552105830,425616,1683
X,1552105830,424349,1694
X,1552105831,425662,1877
X,1552105832,425942,1047
P,1552105832,5083
X,1552105832,426024,849
X,1552105833,425451,524
X,1552105833,425089,732
X,1552105834,425975,578
X,1552105834,425664,569
X,1552105835,426383,489
X,1552105836,426361,923
X,1552105836,425261,1368
X,1552105837,423166,1726
X,1552105837,423963,1444
X,1552105838,422918,5372
X,1552105838,423421,2400
X,1552105839,425161,1081
X,1552105840,425848,839
X,1552105840,425575,1242
X,1552105841,425379,713
X,1552105841,425206,748
X,1552105842,423485,5581
X,1552105842,419265,5496
X,1552105843,421735,4069
X,1552105844,424303,2059
X,1552105844,424987,1651
X,1552105845,424791,2065
X,1552105845,422264,11436
X,1552105846,418968,10239
X,1552105846,419145,8676
X,1552105847,419752,14161
X,1552105848,419743,7179
X,1552105848,421542,6576
X,1552105849,423869,5193
X,1552105849,423610,2433
X,1552105850,422506,3702
X,1552105850,417323,12650
X,1552105851,418130,6202
X,1552105851,419419,7554
X,1552105851,421674,3897
X,1552105852,424748,1361
X,1552105852,424825,2462
X,1552105853,422224,3970
X,1552105853,422679,3672
X,1552105854,419107,5018
X,1552105854,418117,4739
X,1552105855,420966,3988
X,1552105856,424700,1434
X,1552105856,425001,721
X,1552105857,425385,998
X,1552105857,425649,757
X,1552105858,425564,1290
X,1552105858,423702,3976
X,1552105859,422223,1674
X,1552105860,423282,3006
X,1552105860,421569,6067
X,1552105861,414118,14125
P,1552105861,5081
X,1552105861,415725,6647
X,1552105862,420373,5456
X,1552105862,422526,2814
X,1552105863,424737,1005
X,1552105864,425375,666
X,1552105864,425977,895
X,1552105865,426537,500
X,1552105865,426471,622
X,1552105866,426118,708
A,1552105866,425651,2219
T,1552105866,2807
U,1552105866,46975
X,1552105868,426076,553
X,1552105868,425712,636
X,1552105869,425404,985
X,1552105870,425052,1444
X,1552105870,425693,856
X,1552105871,425010,1758
X,1552105871,425481,715
X,1552105872,424126,3337
X,1552105872,422572,4321
X,1552105873,421863,2439
X,1552105874,423062,1309
X,1552105874,422720,962
X,1552105875,424109,1451
X,1552105875,425432,1086
X,1552105876,426188,730
X,1552105876,426141,787
