H,1552109373,147519
T,1552109373,2807
R,1552109373,700D9B77F
X,1552109375,425787,1168
X,1552109375,425898,2651
X,1552109376,425977,971
X,1552109376,425879,868
X,1552109377,425725,1376
X,1552109377,425702,1211
X,1552109378,425376,1527
X,1552109378,425150,1240
X,1552109379,424618,1112
X,1552109379,424067,603
X,1552109379,423834,969
X,1552109380,424253,2738
X,1552109380,425102,966
X,1552109381,424774,1247
X,1552109381,425240,655
X,1552109382,424883,1548
X,1552109383,425177,751
X,1552109383,425661,1171
X,1552109384,425306,979
X,1552109384,425408,802
X,1552109385,425653,989
X,1552109385,424939,1122
X,1552109386,425188,1584
X,1552109387,425568,983
X,1552109387,425887,842
X,1552109388,426319,787
X,1552109388,426376,487
X,1552109389,425940,1142
P,1552109389,5081
X,1552109389,425429,959
X,1552109390,425519,634
X,1552109391,425329,1281
X,1552109391,425690,755
X,1552109392,425778,749
X,1552109392,425942,1465
X,1552109393,426421,981
X,1552109393,426319,1253
X,1552109394,425775,782
A,1552109394,425520,2587
T,1552109394,2807
R,1552109394,700D9B77F
X,1552109396,425738,901
X,1552109397,425355,1910
X,1552109397,425366,896
X,1552109398,425197,1257
X,1552109398,425395,1856
X,1552109399,425325,1556
X,1552109399,425772,2892
X,1552109400,425379,3629
X,1552109400,426201,785
X,1552109401,425957,1084
X,1552109402,425684,8035
X,1552109402,427324,13787
X,1552109403,428097,3971
X,1552109403,426970,3226
X,1552109404,426346,1581
X,1552109404,426075,1136
X,1552109405,427088,2512
X,1552109406,427458,1329
X,1552109406,426871,1132
X,1552109407,426707,1365
X,1552109407,426826,960
X,1552109408,427043,988
X,1552109408,427253,1272
X,1552109409,427415,1108
X,1552109410,427278,1291
X,1552109410,427454,1123
X,1552109411,427408,1218
X,1552109411,427365,860
X,1552109412,427260,808
X,1552109412,427058,940
X,1552109413,426895,1296
X,1552109414,426822,1435
X,1552109414,426897,1373
X,1552109415,426765,1082
X,1552109415,426611,1163
X,1552109416,426364,3356
X,1552109416,423976,5210
X,1552109417,423325,31989
X,1552109418,418716,1375
X,1552109418,434739,47076
X,1552109419,427986,50543
P,1552109419,5078
X,1552109419,420537,30823
X,1552109420,320518,33673
X,1552109420,151990,5587
X,1552109420,150954,944
X,1552109421,150557,480
X,1552109421,150403,352
X,1552109422,150153,294
X,1552109422,150110,343
X,1552109423,150244,218
X,1552109423,150138,278
X,1552109424,149999,180
X,1552109425,149773,183
X,1552109425,149588,281
O,1552109426,149448,248
O,1552109426,149376,368
O,1552109427,149066,143
O,1552109427,149140,166
O,1552109428,149316,367
O,1552109428,149090,632
O,1552109429,148716,363
O,1552109430,149169,409
O,1552109430,149287,307
O,1552109431,149413,202
O,1552109431,149680,444
O,1552109432,149687,391
O,1552109432,149339,330
O,1552109433,148873,1181
O,1552109434,148623,1072
O,1552109434,148792,522
O,1552109435,148814,547
O,1552109435,148869,731
O,1552109436,148675,857
O,1552109436,148742,1057
O,1552109437,148756,939
O,1552109438,147865,1065
O,1552109438,147559,842
O,1552109439,147958,1747
O,1552109439,147922,2049
O,1552109440,147734,2054
O,1552109440,148873,1185
O,1552109441,149330,476
O,1552109442,149109,357
O,1552109442,149053,436
O,1552109443,148902,390
O,1552109443,149005,365
O,1552109444,148978,238
O,1552109444,149034,303
O,1552109445,149045,245
O,1552109446,149103,267
O,1552109446,149177,401
O,1552109447,149227,255
O,1552109447,149250,154
O,1552109448,148963,460
P,1552109448,5077
O,1552109448,148742,312
O,1552109449,148919,207
O,1552109450,149183,613
O,1552109450,149891,1122
O,1552109451,150036,1502
O,1552109451,149720,760
O,1552109452,149417,588
O,1552109452,148673,636
O,1552109453,149013,384
O,1552109453,149229,93
O,1552109454,148754,376
O,1552109455,147861,1233
O,1552109455,148697,1354
O,1552109456,148731,700
O,1552109456,148961,207
O,1552109457,148864,286
O,1552109457,148357,1627
O,1552109458,147233,834
O,1552109459,144983,3681
O,1552109459,142769,1730
O,1552109460,143898,2306
O,1552109460,145052,1545
O,1552109461,145665,2598
O,1552109461,147803,2993
O,1552109461,147954,969
O,1552109462,148784,642
O,1552109462,148887,363
O,1552109463,148843,162
O,1552109463,149206,524
O,1552109464,149569,404
O,1552109464,149471,276
O,1552109465,149463,154
O,1552109466,149061,350
