H,1552964656,147519
R,1552964656,700D9B77F
X,1552964658,411796,1197
X,1552964658,411387,823
X,1552964659,411155,679
P,1552964659,5042
X,1552964659,411087,784
X,1552964660,411005,663
X,1552964660,411050,558
X,1552964661,411155,650
X,1552964662,411104,514
X,1552964662,411202,738
X,1552964663,411098,1070
X,1552964663,411301,1060
X,1552964664,411173,650
X,1552964664,410634,1194
X,1552964665,410629,763
X,1552964665,410861,665
X,1552964666,410821,714
X,1552964667,410958,925
X,1552964667,410375,3217
X,1552964668,410844,1362
X,1552964668,410547,725
X,1552964669,410686,1813
X,1552964669,409949,1189
X,1552964670,410355,3295
X,1552964671,410086,1000
X,1552964671,410776,734
X,1552964672,410912,775
X,1552964672,410644,755
X,1552964673,410581,1089
X,1552964673,410723,1066
X,1552964674,410394,713
X,1552964675,410652,930
A,1552964675,410879,1301
T,1552964675,2749
R,1552964675,700D9B77F
X,1552964677,410552,626
X,1552964677,410553,566
X,1552964678,410764,509
X,1552964678,411155,637
X,1552964679,410947,1117
X,1552964679,411055,910
X,1552964680,411145,1060
X,1552964681,411356,910
X,1552964681,410895,696
X,1552964682,411131,752
X,1552964682,411009,732
X,1552964683,410978,1087
X,1552964683,411052,958
X,1552964684,411127,664
X,1552964685,411177,400
X,1552964685,411080,699
X,1552964686,411064,544
X,1552964686,410749,1335
X,1552964686,409789,982
X,1552964686,410754,481
X,1552964687,410963,522
X,1552964687,410984,413
X,1552964688,411077,955
P,1552964688,5039
X,1552964689,410830,890
A,1552964689,410918,1567
T,1552964689,2749
R,1552964689,700D9B77F
X,1552964691,410929,481
X,1552964691,411003,673
X,1552964692,411022,777
X,1552964692,410768,936
X,1552964693,410747,753
X,1552964693,410882,626
X,1552964694,411044,771
X,1552964695,411092,1045
X,1552964695,411266,1389
X,1552964696,410220,7222
X,1552964696,410951,20013
X,1552964697,410450,17536
X,1552964697,411036,12623
X,1552964698,411577,13676
X,1552964699,410781,11285
X,1552964699,411132,18948
X,1552964700,410071,22565
X,1552964700,410870,1549
X,1552964701,410590,611
X,1552964701,410532,548
X,1552964702,410739,849
X,1552964703,410957,684
X,1552964703,410855,739
X,1552964704,410811,18874
X,1552964704,410939,730
X,1552964705,410920,460
X,1552964705,411103,579
X,1552964706,411104,974
X,1552964707,411105,554
X,1552964707,411307,1398
X,1552964708,411824,1548
X,1552964708,411460,10342
X,1552964709,411940,14716
X,1552964709,412180,1788
X,1552964710,412347,1368
X,1552964710,411995,605
X,1552964711,411560,835
X,1552964712,411307,626
A,1552964712,411005,1463
T,1552964712,2749
R,1552964712,700D9B77F
X,1552964714,411831,4431
X,1552964714,411954,1083
X,1552964715,411786,757
X,1552964715,412069,911
X,1552964716,412142,544
X,1552964716,412063,637
X,1552964717,411953,563
X,1552964718,411855,900
X,1552964718,412077,631
P,1552964718,5039
X,1552964719,411921,558
X,1552964719,411889,362
X,1552964720,411907,477
X,1552964720,411799,650
X,1552964721,411414,966
X,1552964722,411507,787
X,1552964722,411767,669
X,1552964723,411644,568
X,1552964723,411794,481
X,1552964724,411815,393
X,1552964724,411771,963
X,1552964725,411634,644
X,1552964726,411725,645
A,1552964726,411826,728
T,1552964726,2749
R,1552964726,700D9B77F
X,1552964727,412006,511
X,1552964727,411959,932
X,1552964728,411923,503
X,1552964728,411951,509
X,1552964729,411953,599
X,1552964729,411835,756
X,1552964730,411832,884
X,1552964731,411740,1022
X,1552964731,411761,499
X,1552964732,411989,582
X,1552964732,411898,475
X,1552964733,411833,981
X,1552964733,411848,678
X,1552964734,411545,1003
X,1552964735,411752,1041
X,1552964735,411739,397
X,1552964736,411735,593
X,1552964736,411619,398
X,1552964737,411801,620
X,1552964737,411698,893
X,1552964738,411797,475
X,1552964739,411582,468
X,1552964739,411574,532
A,1552964739,411816,432
T,1552964739,2749
R,1552964740,700D9B77F
X,1552964741,411775,526
X,1552964742,411723,384
X,1552964742,411730,435
X,1552964743,411681,524
X,1552964744,411747,700
X,1552964744,411714,668
X,1552964745,411709,478
X,1552964745,411715,477
X,1552964746,411726,550
X,1552964746,411679,677
X,1552964747,411711,694
P,1552964747,5038
X,1552964748,411574,804
X,1552964748,411663,289
X,1552964749,411714,630
