H,1552510631,147519
T,1552510631,2780
R,1552510631,700D9B77F
X,1552510633,395524,454
X,1552510634,395241,664
X,1552510634,394713,1025
X,1552510635,394795,469
X,1552510635,394921,389
X,1552510636,395363,783
X,1552510636,395840,1034
X,1552510637,395105,697
X,1552510638,394886,577
X,1552510638,394804,277
X,1552510639,394550,730
X,1552510639,394422,253
X,1552510639,394798,1085
X,1552510639,395386,615
X,1552510640,395476,1330
X,1552510641,394949,457
X,1552510641,395009,352
X,1552510642,394867,519
X,1552510642,394581,639
P,1552510642,5060
X,1552510643,394570,596
X,1552510643,394885,696
X,1552510644,395372,398
X,1552510645,395042,2344
X,1552510645,394335,471
X,1552510646,394597,483
A,1552510646,394908,1189
T,1552510646,2780
R,1552510646,700D9B77F
X,1552510648,395156,654
X,1552510648,396003,986
X,1552510649,395747,941
X,1552510649,395240,698
X,1552510650,394912,437
X,1552510651,394853,434
X,1552510651,394610,864
X,1552510652,394831,771
X,1552510652,395512,1470
X,1552510653,395648,1854
X,1552510653,394993,683
X,1552510654,394678,672
X,1552510655,394731,666
X,1552510655,394710,444
X,1552510656,394876,648
X,1552510656,395558,665
X,1552510657,395844,1025
X,1552510657,395337,687
X,1552510658,394891,438
X,1552510658,395028,449
X,1552510659,394873,571
X,1552510660,394323,656
X,1552510660,395110,2521
X,1552510661,394217,6074
X,1552510661,394836,904
A,1552510661,395009,1680
T,1552510661,2780
R,1552510662,700D9B77F
X,1552510663,395726,744
X,1552510664,395025,1367
X,1552510664,393982,825
X,1552510665,394469,1316
X,1552510666,394084,1385
X,1552510666,393799,2245
X,1552510667,394532,593
X,1552510667,394603,661
X,1552510668,394941,540
X,1552510668,395666,651
X,1552510669,395738,387
X,1552510670,395583,501
X,1552510670,395684,533
X,1552510671,395876,830
X,1552510671,395521,411
X,1552510672,395766,488
X,1552510672,395844,298
P,1552510673,5063
X,1552510673,395832,351
X,1552510674,395781,317
X,1552510674,396323,1258
X,1552510675,397046,660
X,1552510675,396205,779
X,1552510676,395514,639
X,1552510676,395470,397
X,1552510677,394923,1023
X,1552510678,394390,957
A,1552510678,395485,3064
T,1552510678,2780
R,1552510678,700D9B77F
X,1552510679,396345,1119
X,1552510680,395496,374
X,1552510680,395050,443
X,1552510680,394938,556
X,1552510681,394719,470
X,1552510681,394999,966
X,1552510682,395505,829
X,1552510682,395987,836
X,1552510683,394735,3817
X,1552510684,394406,1301
X,1552510684,393656,708
X,1552510685,393580,2067
X,1552510685,394977,1018
X,1552510686,395687,551
X,1552510686,395911,820
X,1552510687,396260,731
X,1552510688,395786,543
X,1552510688,395568,579
X,1552510689,395315,541
X,1552510689,395584,759
X,1552510690,394942,955
X,1552510690,395197,613
X,1552510691,395821,930
X,1552510692,395686,1372
X,1552510692,395345,506
X,1552510693,395441,457
A,1552510693,395360,2604
T,1552510693,2780
R,1552510693,700D9B77F
X,1552510695,395476,266
X,1552510695,395633,735
X,1552510696,396051,668
X,1552510696,395375,1240
X,1552510697,394998,485
X,1552510698,395127,410
X,1552510698,395198,633
X,1552510699,395453,376
X,1552510699,395664,520
X,1552510700,396135,529
X,1552510700,396259,765
X,1552510701,395827,344
X,1552510701,395714,500
P,1552510702,5064
X,1552510702,395558,276
X,1552510703,395310,455
X,1552510703,395040,327
X,1552510704,395378,585
X,1552510704,395946,942
X,1552510705,395705,1145
X,1552510705,395319,701
X,1552510706,395782,587
X,1552510707,395299,829
A,1552510707,395558,1261
T,1552510707,2780
R,1552510707,700D9B77F
X,1552510709,395932,1046
X,1552510709,396311,1016
X,1552510710,395560,710
X,1552510710,395432,592
X,1552510711,395468,574
X,1552510711,395882,701
X,1552510712,395762,376
X,1552510713,395781,708
X,1552510713,396153,1071
X,1552510714,396192,706
X,1552510714,395573,663
X,1552510715,395536,767
X,1552510715,395388,666
X,1552510716,395297,504
X,1552510716,395151,539
X,1552510717,395010,347
X,1552510718,395408,659
X,1552510718,396017,835
X,1552510719,395749,1238
X,1552510719,395530,586
X,1552510720,395371,578
X,1552510720,395544,606
X,1552510721,395687,619
X,1552510721,395808,422
A,1552510721,395569,1182
T,1552510721,2780
R,1552510721,700D9B77F
X,1552510723,395071,608
X,1552510723,394735,879
X,1552510724,394371,924
