,1558337978,5189
P,1558338009,5190
P,1558338038,5192
P,1558338067,5191
P,1558338096,5189
P,1558338126,5189
P,1558338155,5189
P,1558338184,5188
P,1558338214,5188
P,1558338243,5190
P,1558338272,5191
P,1558338302,5189
P,1558338332,5191
P,1558338361,5189
P,1558338390,5191
P,1558338420,5190
P,1558338449,5189
P,1558338478,5191
P,1558338507,5191
P,1558338537,5191
P,1558338566,5191
P,1558338596,5189
P,1558338625,5190
P,1558338655,5191
P,1558338684,5192
P,1558338713,5191
P,1558338743,5191
P,1558338772,5191
P,1558338801,5190
P,1558338830,5187
P,1558338860,5190
P,1558338890,5190
P,1558338919,5191
P,1558338949,5192
P,1558338978,5188
P,1558339007,5192
P,1558339036,5192
P,1558339066,5190
P,1558339095,5189
P,1558339124,5190
P,1558339154,5192
P,1558339184,5190
E,1558339213,0
