H,1552017343,147519
T,1552017343,2799
R,1552017343,700D9B77F
X,1552017345,427159,836
P,1552017345,5083
X,1552017345,427008,791
X,1552017346,426888,760
X,1552017347,426729,499
X,1552017347,426656,658
X,1552017348,427039,535
X,1552017348,427078,825
X,1552017349,426952,360
X,1552017349,426857,264
X,1552017350,426757,147
X,1552017350,426898,486
X,1552017351,427292,948
X,1552017352,427299,1308
X,1552017352,426877,366
X,1552017352,426554,538
X,1552017352,426428,407
X,1552017353,426462,625
X,1552017353,426960,728
X,1552017354,427149,1323
X,1552017355,426926,532
X,1552017355,426793,692
X,1552017356,426563,691
A,1552017356,426843,864
T,1552017356,2799
R,1552017356,700D9B77F
X,1552017358,427060,596
X,1552017358,426861,360
X,1552017359,426425,1015
X,1552017359,425888,643
X,1552017360,426264,739
X,1552017361,424647,2175
X,1552017361,425169,1287
X,1552017362,424368,2155
X,1552017362,423949,1507
X,1552017363,425081,1343
X,1552017363,425966,1660
X,1552017364,424854,1545
X,1552017365,424563,1485
X,1552017365,425355,901
X,1552017366,425295,987
X,1552017366,426369,1512
X,1552017367,427009,1139
X,1552017367,427197,850
X,1552017368,427276,497
X,1552017369,427248,388
X,1552017369,427178,487
X,1552017370,427310,634
X,1552017370,427298,747
X,1552017371,427086,665
X,1552017371,426604,862
X,1552017372,426425,617
X,1552017372,426427,619
X,1552017373,426831,644
X,1552017374,426844,693
X,1552017374,426611,2073
P,1552017374,5081
X,1552017375,425284,725
X,1552017375,426330,639
A,1552017375,426603,2026
T,1552017375,2799
R,1552017376,700D9B77F
X,1552017377,426805,624
X,1552017378,426830,676
X,1552017378,426757,1391
X,1552017379,426192,809
X,1552017380,425560,1513
X,1552017380,426174,511
X,1552017381,426922,6220
X,1552017381,426334,1503
X,1552017382,426562,736
X,1552017382,426384,494
X,1552017383,426775,570
X,1552017384,426878,300
X,1552017384,427169,768
X,1552017385,427105,522
X,1552017385,426968,556
X,1552017386,427017,183
X,1552017386,427026,289
X,1552017387,426942,382
X,1552017388,427153,506
X,1552017388,427133,987
X,1552017389,426860,655
X,1552017389,426611,206
X,1552017390,426633,377
X,1552017390,426611,434
A,1552017390,426791,995
T,1552017391,2799
R,1552017391,700D9B77F
X,1552017392,427372,443
X,1552017393,426970,688
X,1552017393,426600,369
X,1552017393,426633,426
X,1552017394,426643,730
X,1552017394,427188,674
X,1552017395,426733,988
X,1552017395,427009,882
X,1552017396,426765,711
X,1552017396,426510,530
X,1552017397,426723,1058
X,1552017398,427253,543
X,1552017398,427200,1288
X,1552017399,426647,532
X,1552017399,426508,686
X,1552017400,426745,404
X,1552017400,426646,687
X,1552017401,427071,731
X,1552017402,427536,1537
X,1552017402,427356,261
X,1552017403,427040,619
X,1552017403,426773,633
P,1552017403,5084
X,1552017404,427331,954
A,1552017404,426889,864
T,1552017404,2799
R,1552017404,700D9B77F
X,1552017406,427448,652
X,1552017406,427373,397
X,1552017407,427404,419
X,1552017408,427767,373
X,1552017408,428122,1183
X,1552017409,428135,592
X,1552017409,428054,573
X,1552017410,427534,678
X,1552017410,426744,824
X,1552017411,426739,545
X,1552017412,426786,906
X,1552017412,426241,590
X,1552017413,426215,573
X,1552017413,426492,472
X,1552017414,426860,718
X,1552017414,427244,895
X,1552017415,426472,1042
X,1552017415,425986,799
X,1552017416,426107,678
X,1552017417,426457,828
X,1552017417,427220,955
X,1552017418,427403,889
A,1552017418,427010,2149
T,1552017418,2799
R,1552017418,700D9B77F
X,1552017420,427015,861
X,1552017420,427278,903
X,1552017421,427478,1058
X,1552017421,427160,1058
X,1552017422,427215,610
X,1552017423,426976,668
X,1552017423,426736,626
X,1552017424,427011,642
X,1552017424,427416,750
X,1552017425,427055,894
X,1552017425,426623,778
X,1552017426,426680,335
X,1552017427,426885,411
X,1552017427,427193,987
X,1552017428,427483,1086
X,1552017428,426928,525
X,1552017429,426544,822
X,1552017429,425473,792
X,1552017430,425770,1059
X,1552017431,426882,1210
X,1552017431,427606,831
X,1552017432,427346,785
X,1552017432,426751,537
X,1552017433,426857,592
X,1552017433,426978,329
A,1552017433,426928,2133
P,1552017433,5081
T,1552017434,2799
R,1552017434,700D9B77F
X,1552017434,425900,1273
X,1552017435,424582,1251
