H,1552002670,147519
T,1552002670,2801
R,1552002670,700D9B77F
X,1552002672,411368,726
X,1552002673,411179,983
X,1552002673,411360,751
X,1552002674,411135,1022
X,1552002674,411325,999
X,1552002675,411233,656
X,1552002676,411148,901
X,1552002676,411092,927
X,1552002677,411180,5738
X,1552002677,411584,1429
P,1552002677,5092
X,1552002678,411628,1026
X,1552002678,411746,491
X,1552002679,411669,639
X,1552002679,411404,832
X,1552002680,411410,854
X,1552002681,411509,588
X,1552002681,411382,1577
X,1552002682,411087,2886
X,1552002682,411158,976
X,1552002683,411165,752
X,1552002683,411346,819
X,1552002684,411307,743
X,1552002685,411217,463
X,1552002685,411274,827
X,1552002686,411451,676
X,1552002686,411571,860
A,1552002686,411346,654
T,1552002686,2801
R,1552002687,700D9B77F
X,1552002688,411390,893
X,1552002689,411247,541
X,1552002689,411318,1266
X,1552002690,411405,739
X,1552002691,411362,1093
X,1552002691,411324,758
X,1552002692,411444,404
X,1552002692,411271,817
X,1552002693,411351,866
X,1552002693,411376,585
X,1552002694,411436,565
X,1552002695,411361,702
X,1552002695,411162,257
X,1552002696,411122,836
X,1552002696,411227,929
X,1552002697,411356,710
X,1552002697,411190,716
X,1552002698,411031,1092
X,1552002699,411034,548
X,1552002699,411052,650
X,1552002700,410699,1659
X,1552002700,410673,707
X,1552002701,410688,654
X,1552002701,410700,676
A,1552002701,411190,771
T,1552002701,2801
R,1552002702,700D9B77F
X,1552002703,411139,798
X,1552002704,411155,928
X,1552002704,411201,701
X,1552002705,411143,444
X,1552002706,411177,655
X,1552002706,411222,974
X,1552002707,411297,1254
X,1552002707,411330,867
P,1552002707,5093
X,1552002708,410667,1167
X,1552002708,410380,1157
X,1552002709,410851,1059
X,1552002710,411220,1301
X,1552002710,411243,7134
X,1552002710,411619,1676
X,1552002710,411308,781
X,1552002711,411348,677
X,1552002711,411438,682
X,1552002712,411448,747
X,1552002713,411314,633
X,1552002713,411390,792
X,1552002714,411371,783
X,1552002714,411058,793
X,1552002715,410714,484
X,1552002715,410611,622
X,1552002716,410738,1209
X,1552002717,410881,1053
X,1552002717,411055,812
X,1552002718,411043,664
X,1552002718,411120,442
A,1552002718,411179,837
T,1552002718,2801
R,1552002719,700D9B77F
X,1552002720,411333,562
X,1552002721,411350,693
X,1552002721,411371,962
X,1552002722,411312,355
X,1552002722,411287,706
X,1552002723,411439,1022
X,1552002724,411472,777
X,1552002724,411360,1109
X,1552002725,411254,824
X,1552002725,411313,784
X,1552002726,411371,541
X,1552002726,411285,679
X,1552002727,411288,1156
X,1552002728,411404,1414
X,1552002728,411296,560
X,1552002729,411377,443
X,1552002729,411154,552
X,1552002730,411098,655
X,1552002730,411264,1288
X,1552002731,411428,597
X,1552002732,411534,930
X,1552002732,411432,936
X,1552002733,411275,625
X,1552002733,411147,540
X,1552002734,411146,1109
X,1552002734,411191,848
A,1552002734,411314,436
T,1552002735,2801
R,1552002735,700D9B77F
X,1552002736,411115,798
P,1552002736,5092
X,1552002737,411217,624
X,1552002738,411354,814
X,1552002738,411483,970
X,1552002739,411452,890
X,1552002739,411185,762
X,1552002740,411045,666
X,1552002740,410910,610
X,1552002741,410811,1164
X,1552002742,410988,659
X,1552002742,410371,7731
X,1552002743,410622,2127
X,1552002743,410558,728
X,1552002744,410590,816
X,1552002744,411135,572
X,1552002745,411223,718
X,1552002745,411079,935
X,1552002746,411038,875
X,1552002747,411230,480
X,1552002747,411231,699
X,1552002748,411149,524
X,1552002748,411225,833
X,1552002749,411084,886
A,1552002749,411114,925
T,1552002749,2801
R,1552002749,700D9B77F
X,1552002751,411071,1012
X,1552002751,411200,641
X,1552002751,410991,776
X,1552002752,410872,750
X,1552002752,410882,527
X,1552002753,410747,527
X,1552002753,410030,1000
X,1552002754,409873,1141
X,1552002754,410112,1214
X,1552002755,410402,824
X,1552002756,410789,860
X,1552002756,411078,949
X,1552002757,411279,801
X,1552002757,411250,1059
X,1552002758,411288,474
X,1552002758,411197,850
X,1552002759,410550,9070
X,1552002760,411027,1662
X,1552002760,410806,1088
X,1552002761,410626,823
X,1552002761,410684,904
X,1552002762,410760,633
X,1552002762,410876,1215
X,1552002763,410816,754
X,1552002764,410873,724
