H,1551494833,147519
R,1551494833,700D9B77F
X,1551494835,413504,678
X,1551494835,413471,824
X,1551494836,413482,596
X,1551494837,413440,512
X,1551494837,413411,938
X,1551494838,413386,826
X,1551494838,413357,896
X,1551494839,413468,642
X,1551494839,413464,493
X,1551494840,413482,924
X,1551494840,413450,3850
X,1551494841,413216,4358
X,1551494842,413503,1072
X,1551494842,413538,481
X,1551494843,413416,592
X,1551494843,413412,517
X,1551494844,413411,475
X,1551494844,413460,192
X,1551494845,413455,347
X,1551494846,413451,586
X,1551494846,413423,580
X,1551494847,413421,559
X,1551494847,413438,457
A,1551494847,413444,181
T,1551494847,2796
R,1551494848,700D9B77F
X,1551494849,413503,296
X,1551494850,413470,457
X,1551494850,413462,489
X,1551494851,413494,293
X,1551494852,413453,357
X,1551494852,413508,348
X,1551494853,413404,809
X,1551494853,413368,520
X,1551494854,413421,428
X,1551494854,413418,579
X,1551494855,413453,534
X,1551494856,413381,555
X,1551494856,413334,545
X,1551494856,413402,637
X,1551494856,413367,411
X,1551494857,413406,748
X,1551494857,413387,723
X,1551494858,413347,887
X,1551494859,413320,679
X,1551494859,413353,718
A,1551494859,413412,188
T,1551494859,2796
R,1551494859,700D9B77F
P,1551494860,5109
X,1551494861,413349,936
X,1551494862,413324,657
X,1551494862,413373,806
X,1551494863,413443,3554
X,1551494863,413654,1778
X,1551494864,413540,1166
X,1551494864,413688,7555
X,1551494865,413577,7913
X,1551494866,413421,974
X,1551494866,413518,571
X,1551494867,413561,504
X,1551494867,413502,890
X,1551494868,413498,674
X,1551494868,413384,967
X,1551494869,413440,487
X,1551494870,413421,597
X,1551494870,413564,651
X,1551494871,413467,1095
X,1551494871,413469,835
X,1551494872,413480,510
X,1551494872,413503,573
X,1551494873,413520,1005
X,1551494874,413532,797
X,1551494874,413486,851
X,1551494875,413516,815
X,1551494875,413542,644
X,1551494876,413585,620
A,1551494876,413473,261
T,1551494876,2796
R,1551494876,700D9B77F
X,1551494878,413596,851
X,1551494878,413625,483
X,1551494879,413624,397
X,1551494880,413571,882
X,1551494880,413352,12056
X,1551494881,413594,749
X,1551494881,413565,750
X,1551494882,413577,652
X,1551494882,413545,321
X,1551494883,413642,477
X,1551494883,413532,1082
X,1551494884,413537,958
X,1551494885,413564,767
X,1551494885,413586,589
X,1551494886,413686,637
X,1551494886,413611,491
X,1551494887,413513,975
X,1551494887,413527,10744
X,1551494888,413633,1009
X,1551494889,413508,1472
X,1551494889,413559,412
X,1551494890,413598,550
P,1551494890,5109
X,1551494890,413512,1080
X,1551494891,413556,596
X,1551494891,413484,564
X,1551494892,413546,937
A,1551494892,413578,202
T,1551494892,2796
R,1551494892,700D9B77F
X,1551494894,413557,712
X,1551494895,413489,496
X,1551494895,413502,401
X,1551494896,413526,537
X,1551494896,413545,497
X,1551494897,413771,1727
X,1551494897,413472,1571
X,1551494897,413268,1195
X,1551494898,413493,705
X,1551494898,413450,1037
X,1551494899,413479,873
X,1551494899,413671,4897
X,1551494900,413660,2856
X,1551494900,413349,1417
X,1551494901,413509,1687
X,1551494902,413558,799
X,1551494902,413467,888
X,1551494903,413344,771
X,1551494903,413899,2059
X,1551494904,413499,510
X,1551494904,413623,4885
X,1551494905,413159,1816
X,1551494905,413731,1954
X,1551494906,413657,2440
X,1551494907,412424,11456
X,1551494907,412217,31331
X,1551494908,411347,3549
X,1551494908,411383,50904
X,1551494909,411030,31599
X,1551494909,407224,34185
X,1551494910,411650,19949
X,1551494911,411817,11186
X,1551494911,410217,35468
X,1551494912,410600,34433
X,1551494912,411176,12571
X,1551494913,408884,16282
X,1551494913,409022,10951
X,1551494914,413835,16705
X,1551494915,408849,25103
X,1551494915,405261,30195
X,1551494916,407565,32447
X,1551494916,409073,30682
X,1551494917,408560,12067
X,1551494917,408434,57553
X,1551494918,407819,32854
X,1551494919,408602,10717
P,1551494919,5111
X,1551494919,408900,15140
X,1551494920,408475,14371
X,1551494920,408525,1017
X,1551494921,408033,1274
X,1551494921,407854,783
X,1551494922,407633,857
X,1551494923,407749,690
X,1551494923,407705,743
X,1551494924,407935,1329
X,1551494924,407007,5317
X,1551494925,408062,12928
X,1551494925,406760,3273
X,1551494926,406775,2207
X,1551494927,407121,1437
X,1551494927,407045,617
