H,1551935899,147519
T,1551935899,2800
X,1551935901,390154,1229
X,1551935901,390257,1009
X,1551935902,389990,803
X,1551935902,389945,465
X,1551935903,389935,483
X,1551935903,389821,804
X,1551935904,389578,856
X,1551935905,389055,919
X,1551935905,388380,1107
X,1551935906,388755,861
X,1551935906,389298,880
X,1551935907,389714,836
X,1551935907,389657,260
X,1551935908,389719,366
X,1551935908,389619,667
X,1551935908,389838,950
X,1551935909,389692,770
X,1551935909,389726,889
X,1551935910,389299,965
X,1551935910,389118,959
X,1551935911,388700,998
X,1551935912,388143,1145
P,1551935912,5073
X,1551935912,387919,1107
X,1551935913,387762,1190
X,1551935913,388250,1340
X,1551935914,388726,2217
X,1551935914,389480,672
X,1551935915,389730,1081
X,1551935916,389721,1017
X,1551935916,389674,1517
X,1551935917,389687,1265
X,1551935917,389776,549
A,1551935917,389535,1290
T,1551935917,2800
X,1551935919,389456,791
X,1551935920,389812,811
X,1551935920,390174,1264
X,1551935921,389668,481
X,1551935921,389688,601
X,1551935922,389724,380
X,1551935923,389804,2832
X,1551935923,389985,1165
X,1551935924,389796,1158
X,1551935924,389207,903
X,1551935925,389297,988
X,1551935925,389691,737
X,1551935926,388638,1836
X,1551935927,387980,1294
X,1551935927,387826,1592
X,1551935928,389116,1771
X,1551935928,389229,1130
X,1551935929,389282,1001
X,1551935929,389209,1150
X,1551935930,389735,1006
X,1551935931,390042,1032
X,1551935931,390104,917
X,1551935932,389879,1478
X,1551935932,390009,593
X,1551935933,389944,621
X,1551935933,390027,1031
X,1551935934,390154,558
X,1551935935,390356,550
X,1551935935,390369,730
X,1551935936,390341,915
X,1551935936,390187,2063
X,1551935937,389971,1510
X,1551935937,389941,1042
X,1551935938,389981,639
X,1551935939,389742,1180
X,1551935939,389227,790
X,1551935940,389634,1380
X,1551935940,389855,695
X,1551935941,389794,665
X,1551935941,389388,593
A,1551935941,389803,1162
T,1551935942,2800
P,1551935942,4959
X,1551935943,387165,4930
X,1551935944,385103,2913
X,1551935944,384667,4346
X,1551935945,387761,2519
X,1551935946,389028,995
X,1551935946,389070,787
X,1551935947,389547,813
X,1551935947,388904,1370
X,1551935948,389380,1088
X,1551935948,389090,1244
X,1551935949,388762,4118
X,1551935949,389647,1433
X,1551935949,389436,1013
X,1551935950,389811,956
X,1551935950,390015,878
X,1551935951,389646,1008
X,1551935951,389137,956
X,1551935952,389076,6991
X,1551935953,389266,1195
X,1551935953,389595,1668
X,1551935954,389920,879
X,1551935954,389570,809
X,1551935955,389289,1227
X,1551935955,389349,779
X,1551935956,388432,2903
X,1551935957,389179,10878
X,1551935957,389783,12383
X,1551935958,390721,15032
X,1551935958,386629,12677
X,1551935959,388636,24994
X,1551935959,389971,20228
X,1551935960,388823,19286
X,1551935961,389011,18445
X,1551935961,389050,16371
X,1551935962,390044,2709
X,1551935962,389577,12327
X,1551935963,390164,9075
X,1551935963,389173,9066
X,1551935964,389292,11664
X,1551935965,387431,11520
X,1551935965,384424,8653
X,1551935966,382346,10490
X,1551935966,384531,9315
X,1551935967,385129,8967
X,1551935967,387328,10496
X,1551935968,384050,8887
X,1551935968,385509,12017
X,1551935969,385016,3103
X,1551935970,383734,15003
X,1551935970,383888,11513
X,1551935971,386192,4529
P,1551935971,5091
X,1551935971,388601,13722
X,1551935972,388920,14977
X,1551935972,389089,1895
X,1551935973,386363,5511
X,1551935974,389246,8987
X,1551935974,390665,16332
X,1551935975,390746,15124
X,1551935975,390711,15475
X,1551935976,389315,8040
X,1551935976,390437,7510
X,1551935977,389986,10467
X,1551935978,389800,6404
X,1551935978,388045,5116
X,1551935979,384617,3548
X,1551935979,387154,7512
X,1551935980,389737,1111
X,1551935980,388136,6248
X,1551935981,382464,7930
X,1551935982,382023,10331
X,1551935982,385159,16584
X,1551935983,389479,11770
X,1551935983,387993,7636
X,1551935984,388694,8224
X,1551935984,388578,8539
X,1551935985,388842,11450
X,1551935986,386241,8862
X,1551935986,383753,10089
X,1551935987,383164,9057
X,1551935987,384734,2621
X,1551935988,382864,11080
X,1551935988,381119,13749
X,1551935989,385487,12069
X,1551935990,386923,8974
X,1551935990,386861,4330
X,1551935990,387086,9548
X,1551935990,388283,2783
X,1551935991,388671,8105
X,1551935991,389821,11442
X,1551935992,388809,10733
X,1551935993,389290,11496
X,1551935993,387772,12246
