,,389171,322
X,1559597302,389144,1830
X,1559597303,388905,1955
X,1559597303,389247,4750
X,1559597304,389014,760
X,1559597305,388955,901
X,1559597305,389076,782
X,1559597306,388979,453
X,1559597306,388992,307
X,1559597307,389057,711
X,1559597307,389024,1250
X,1559597308,389045,580
X,1559597309,388987,703
X,1559597309,388987,680
X,1559597310,388948,445
X,1559597310,389033,277
X,1559597311,389086,816
X,1559597311,389038,2025
X,1559597311,389117,646
X,1559597312,389151,377
X,1559597312,389184,685
X,1559597313,389167,512
X,1559597313,389128,559
A,1559597313,389075,301
T,1559597313,2954
R,1559597314,700D9B753
X,1559597315,389020,762
X,1559597316,389031,789
X,1559597316,389075,654
X,1559597317,389077,496
X,1559597317,389114,481
X,1559597318,389232,649
X,1559597319,389247,518
X,1559597319,389164,799
X,1559597320,389001,915
X,1559597320,389147,908
X,1559597321,389257,731
X,1559597321,389329,454
X,1559597322,389340,481
X,1559597323,389414,23135
X,1559597323,389861,2624
P,1559597324,5220
X,1559597324,390012,5638
X,1559597324,389571,4094
X,1559597325,389807,4545
X,1559597325,389723,1562
X,1559597326,389889,6187
X,1559597327,389708,1780
X,1559597327,389543,965
X,1559597328,389465,926
X,1559597328,389524,677
X,1559597329,389477,758
X,1559597329,389501,750
X,1559597330,389524,523
X,1559597331,389432,23719
X,1559597331,389958,2323
X,1559597332,389457,488
A,1559597332,389276,542
T,1559597332,2954
R,1559597332,700D9B753
X,1559597334,388942,12710
X,1559597334,389654,3919
X,1559597335,389755,1067
X,1559597335,389331,1057
X,1559597336,389481,552
X,1559597337,389431,480
X,1559597337,389392,551
X,1559597338,389452,2519
X,1559597338,389432,1014
X,1559597339,389397,1286
X,1559597339,389360,569
X,1559597340,389183,508
X,1559597340,389278,672
X,1559597341,389291,450
X,1559597342,389229,567
X,1559597342,389222,606
X,1559597343,389370,848
X,1559597343,389176,563
X,1559597344,389379,810
X,1559597344,389381,689
X,1559597345,389387,599
X,1559597346,389396,7331
X,1559597346,389381,920
X,1559597347,389295,1392
X,1559597347,389249,1132
X,1559597348,389237,577
