,59938804,396084,1784
X,1559938805,396143,1840
X,1559938805,396977,2039
X,1559938806,398044,4079
X,1559938807,398233,1335
X,1559938807,399072,57803
X,1559938808,399469,16496
X,1559938808,399748,1385
P,1559938808,5165
X,1559938809,399775,1677
X,1559938809,399584,1631
X,1559938810,399291,19362
X,1559938811,397596,17146
X,1559938811,397169,53548
X,1559938812,397250,52856
X,1559938812,399779,28684
X,1559938813,400677,19594
X,1559938813,400565,6855
X,1559938814,399490,24913
X,1559938815,397137,8523
X,1559938815,397313,30438
X,1559938816,401589,14069
X,1559938816,400278,14975
X,1559938817,400061,12460
X,1559938817,400074,26352
X,1559938818,398607,12638
X,1559938818,399648,22802
X,1559938819,398762,2815
X,1559938820,397207,20497
X,1559938820,400796,38327
X,1559938821,398730,39587
X,1559938821,397469,45146
X,1559938822,398335,40784
X,1559938822,400162,36885
X,1559938823,400449,13163
X,1559938824,399896,19474
X,1559938824,399406,14734
X,1559938825,399182,1508
X,1559938825,399500,1532
X,1559938826,399036,15710
X,1559938826,399015,38980
X,1559938827,397455,36059
X,1559938828,399843,7725
X,1559938828,398838,8943
X,1559938829,399280,2920
X,1559938829,399537,22216
X,1559938830,398390,7256
X,1559938830,399290,3106
X,1559938830,399146,3830
X,1559938831,398926,3653
X,1559938831,399587,12119
X,1559938832,397828,26056
X,1559938832,398495,8422
X,1559938833,397817,3171
X,1559938833,399037,1794
X,1559938834,399434,1656
X,1559938835,399656,5745
X,1559938835,399052,13647
X,1559938836,397761,2914
X,1559938836,399716,4551
X,1559938837,399341,1719
X,1559938837,398919,2075
P,1559938838,5169
X,1559938838,399217,1585
X,1559938839,399086,24138
X,1559938839,398829,2270
X,1559938840,398288,2357
X,1559938840,398221,2254
X,1559938841,397694,3481
X,1559938841,398280,2543
X,1559938842,398775,7193
X,1559938842,399184,22323
X,1559938843,399614,3640
X,1559938844,398354,14805
X,1559938844,399261,4855
X,1559938845,398433,9316
X,1559938845,399798,4839
X,1559938846,400057,3412
X,1559938846,400521,2001
X,1559938847,400500,1753
X,1559938848,400229,1188
X,1559938848,399177,2249
X,1559938849,397998,2328
