,,144145,76
O,1562377826,144141,83
O,1562377826,144222,113
O,1562377827,144211,169
O,1562377827,144231,99
O,1562377828,144250,105
O,1562377828,144241,88
O,1562377829,144255,94
O,1562377830,144231,143
O,1562377830,144184,135
O,1562377831,144209,98
O,1562377831,144203,117
O,1562377832,144248,51
O,1562377832,144266,135
O,1562377833,144251,106
O,1562377834,144210,75
O,1562377834,144176,81
O,1562377835,144192,89
O,1562377835,144194,78
O,1562377836,144184,102
O,1562377836,144170,88
O,1562377837,144085,200
O,1562377838,144126,143
O,1562377838,144125,89
O,1562377839,144145,96
O,1562377839,144189,121
O,1562377840,144182,74
O,1562377840,144191,142
O,1562377841,144142,105
O,1562377842,144160,169
O,1562377842,144156,129
O,1562377843,144059,176
O,1562377843,144033,116
O,1562377844,144089,118
O,1562377844,144096,144
O,1562377845,144153,144
O,1562377846,144204,99
O,1562377846,144178,142
O,1562377847,144094,90
O,1562377847,144055,164
O,1562377848,144124,108
O,1562377848,144196,132
O,1562377849,144202,114
O,1562377849,144194,126
P,1562377850,5111
O,1562377850,144189,130
O,1562377851,144213,112
O,1562377851,144229,107
O,1562377852,144202,81
O,1562377852,144237,129
O,1562377853,144219,76
O,1562377853,144246,128
O,1562377854,144265,132
O,1562377855,144252,82
O,1562377855,144277,136
O,1562377856,144252,90
O,1562377856,144227,118
O,1562377857,144208,114
O,1562377857,144169,119
O,1562377858,144125,178
O,1562377859,144086,93
O,1562377859,144050,122
O,1562377860,144127,134
O,1562377860,144160,143
O,1562377861,144091,104
O,1562377861,144116,77
O,1562377862,144095,109
O,1562377862,144144,119
O,1562377862,144193,89
O,1562377863,144201,90
O,1562377863,144198,95
O,1562377864,144111,102
O,1562377864,144065,83
