H,1551154946,147519
T,1551154946,2750
X,1551154948,419989,876
X,1551154948,419707,496
X,1551154949,419536,261
X,1551154949,419392,598
X,1551154950,419611,465
X,1551154950,420121,1433
X,1551154951,420107,1278
X,1551154952,419613,411
X,1551154952,419463,531
X,1551154953,419403,126
X,1551154953,419583,592
X,1551154954,420133,587
X,1551154954,420439,1281
X,1551154955,419849,344
X,1551154955,419669,624
X,1551154956,419178,573
X,1551154957,419208,684
X,1551154957,419635,807
X,1551154958,420043,1037
X,1551154958,419462,836
X,1551154959,419393,852
X,1551154959,419408,406
X,1551154960,419162,439
X,1551154961,419222,634
A,1551154961,419530,971
T,1551154961,2750
X,1551154963,419464,459
P,1551154963,5111
X,1551154963,419324,249
X,1551154964,419134,454
X,1551154964,419201,350
X,1551154965,419507,748
X,1551154965,420078,741
X,1551154966,419885,636
X,1551154967,419523,448
X,1551154967,419453,361
X,1551154968,419315,192
X,1551154968,419519,882
X,1551154968,419950,901
X,1551154968,420159,1297
X,1551154969,419575,433
X,1551154970,419473,303
X,1551154970,419383,301
X,1551154971,419551,573
X,1551154971,420013,784
X,1551154972,420283,1189
X,1551154972,419655,520
X,1551154973,419503,452
X,1551154974,419372,439
A,1551154974,419543,944
T,1551154974,2750
X,1551154975,419986,1023
X,1551154976,419557,643
X,1551154977,419406,427
X,1551154977,419146,367
X,1551154978,419305,673
X,1551154978,419833,888
X,1551154979,420019,1501
X,1551154979,419465,503
X,1551154980,419270,466
X,1551154981,419198,265
X,1551154981,419216,522
X,1551154982,419585,660
X,1551154982,420167,934
X,1551154983,419603,882
X,1551154983,419423,401
X,1551154984,419256,324
X,1551154985,419204,527
X,1551154985,419454,452
X,1551154986,420001,1043
X,1551154986,419971,975
X,1551154987,419541,354
X,1551154987,419292,1041
X,1551154988,419342,597
X,1551154989,419989,1009
X,1551154989,421006,935
A,1551154989,419547,1860
T,1551154989,2750
X,1551154991,419405,390
X,1551154992,419662,754
P,1551154992,5111
X,1551154992,420096,1038
X,1551154993,420408,968
X,1551154993,419642,660
X,1551154994,419413,519
X,1551154995,419282,391
X,1551154995,419310,531
X,1551154996,419688,553
X,1551154996,420310,1245
X,1551154997,419566,754
X,1551154997,419304,641
X,1551154998,419118,358
X,1551154998,419123,403
X,1551154999,419350,738
X,1551155000,419862,607
X,1551155000,419401,812
X,1551155001,419136,546
X,1551155001,418847,308
X,1551155002,418981,508
X,1551155002,419111,575
X,1551155003,419364,788
A,1551155003,419398,1561
T,1551155003,2750
X,1551155005,419215,437
X,1551155006,419047,382
X,1551155006,419333,719
X,1551155007,419776,700
X,1551155007,420117,1801
X,1551155008,419538,490
X,1551155008,419356,523
X,1551155009,419183,519
X,1551155009,419210,462
X,1551155009,419623,771
X,1551155010,420174,1061
X,1551155010,419583,629
X,1551155011,419388,554
X,1551155011,419174,599
X,1551155012,419258,645
X,1551155013,419573,658
X,1551155013,420207,645
X,1551155014,419619,782
X,1551155014,419410,470
X,1551155015,419260,527
X,1551155015,419203,410
X,1551155016,419472,764
A,1551155016,419421,1160
T,1551155016,2750
X,1551155018,419325,418
X,1551155018,419137,327
X,1551155019,419187,551
X,1551155020,419712,1274
X,1551155020,420105,1569
X,1551155021,419467,502
P,1551155021,5113
X,1551155021,419264,489
X,1551155022,419090,465
X,1551155022,419184,444
X,1551155023,419698,707
X,1551155024,420250,901
X,1551155024,419558,524
X,1551155025,419343,326
X,1551155025,419156,466
X,1551155026,419066,530
X,1551155026,419261,731
X,1551155027,419724,697
X,1551155028,419856,1117
X,1551155028,419360,624
X,1551155029,419192,263
X,1551155029,419035,543
X,1551155030,419015,737
X,1551155030,419294,713
A,1551155030,419330,1235
T,1551155031,2750
X,1551155032,419188,380
X,1551155033,419187,250
X,1551155034,419154,345
X,1551155034,419367,561
X,1551155035,419858,630
X,1551155035,419800,1180
X,1551155036,419522,359
X,1551155036,419356,386
X,1551155037,419286,483
X,1551155038,419535,553
X,1551155038,420040,851
X,1551155039,419854,803
X,1551155039,419569,458
X,1551155040,419453,600
X,1551155040,419333,465
X,1551155041,419507,695
X,1551155041,419935,385
X,1551155042,420176,474
X,1551155043,419996,366
X,1551155043,419808,460
