H,1552965487,147519
R,1552965487,700D9B77F
X,1552965489,412360,1073
X,1552965489,412713,673
X,1552965490,412845,1135
X,1552965490,413048,593
X,1552965491,412979,361
X,1552965492,412869,1011
X,1552965492,412643,1065
X,1552965493,412573,1471
X,1552965493,412738,778
X,1552965494,412682,780
X,1552965494,412674,533
X,1552965495,412607,409
X,1552965495,412602,1089
X,1552965496,412737,685
X,1552965497,412720,579
X,1552965497,412780,649
X,1552965498,412847,429
X,1552965498,412885,881
X,1552965499,412934,625
X,1552965499,412823,626
X,1552965500,412813,672
X,1552965501,412888,722
X,1552965501,412882,621
X,1552965502,412852,556
X,1552965502,412779,645
X,1552965503,412684,1122
X,1552965503,412427,535
A,1552965503,412790,621
T,1552965504,2750
R,1552965504,700D9B77F
X,1552965505,412666,764
X,1552965506,413030,582
X,1552965506,412982,776
X,1552965506,412972,661
X,1552965507,412938,594
X,1552965507,413052,596
X,1552965508,413073,552
X,1552965508,413093,363
X,1552965509,413072,702
X,1552965510,413366,890
X,1552965510,413363,753
X,1552965511,413155,500
P,1552965511,5036
X,1552965511,413053,513
X,1552965512,413203,532
X,1552965512,413224,536
X,1552965513,413041,791
X,1552965514,412982,1164
X,1552965514,412821,877
X,1552965515,412845,779
X,1552965515,412863,227
X,1552965516,412797,837
A,1552965516,413030,700
T,1552965516,2750
R,1552965516,700D9B77F
X,1552965518,412915,480
X,1552965518,412859,497
X,1552965519,412813,380
X,1552965519,412869,624
X,1552965520,413000,1146
X,1552965521,413036,833
X,1552965521,412944,1011
X,1552965522,412843,416
X,1552965522,412795,382
X,1552965523,412826,781
X,1552965523,412797,1192
X,1552965524,412850,870
X,1552965525,412854,1027
X,1552965525,412848,647
X,1552965526,412809,563
X,1552965526,412819,729
X,1552965527,412831,501
X,1552965527,412770,941
X,1552965528,412838,414
X,1552965529,412808,771
X,1552965529,412885,329
X,1552965530,412782,574
X,1552965530,412821,1282
X,1552965531,412883,2013
X,1552965531,412742,784
X,1552965532,412895,715
A,1552965532,412841,294
T,1552965532,2750
R,1552965532,700D9B77F
X,1552965534,412779,443
X,1552965535,412768,1055
X,1552965535,412899,935
X,1552965536,412879,326
X,1552965536,412846,373
X,1552965537,412856,265
X,1552965537,412809,564
X,1552965538,412808,1254
X,1552965538,412953,393
X,1552965539,412993,702
X,1552965540,413026,711
X,1552965540,412952,549
X,1552965541,412908,684
P,1552965541,5036
X,1552965541,412975,2233
X,1552965542,413032,643
X,1552965542,413002,913
X,1552965543,412953,667
X,1552965544,412908,524
X,1552965544,412791,562
X,1552965545,413004,982
X,1552965545,413279,918
X,1552965546,412950,621
X,1552965546,412747,947
A,1552965546,412928,532
T,1552965547,2750
R,1552965547,700D9B77F
X,1552965547,412746,1015
X,1552965548,412790,934
X,1552965549,412696,635
X,1552965549,412841,939
X,1552965550,412915,791
X,1552965550,412960,473
X,1552965551,412838,388
X,1552965551,412784,973
X,1552965552,412978,980
X,1552965553,412704,912
X,1552965553,412222,576
X,1552965554,412246,735
X,1552965554,412654,955
X,1552965555,412906,1251
X,1552965555,412800,1394
X,1552965556,412931,1039
X,1552965557,413009,364
X,1552965557,412931,300
X,1552965558,412983,588
X,1552965558,413082,575
X,1552965559,413077,1070
X,1552965559,412863,770
X,1552965560,412898,666
X,1552965560,412951,632
X,1552965561,412865,564
A,1552965561,412810,860
T,1552965561,2750
R,1552965561,700D9B77F
X,1552965563,412904,443
X,1552965564,412879,392
X,1552965564,412869,525
X,1552965565,412893,679
X,1552965565,413042,871
X,1552965566,413030,1062
X,1552965566,412894,999
X,1552965567,412929,296
X,1552965568,412905,617
X,1552965568,412793,421
X,1552965569,412820,653
X,1552965569,412945,842
X,1552965570,412927,1226
P,1552965570,5035
X,1552965570,412708,372
X,1552965571,412722,537
X,1552965572,412837,399
X,1552965572,412975,377
X,1552965573,413055,638
X,1552965573,412920,844
X,1552965574,412967,404
X,1552965574,412928,330
X,1552965575,412537,17405
X,1552965576,413638,1938
X,1552965576,413508,1154
X,1552965577,413277,758
A,1552965577,412913,569
T,1552965577,2750
R,1552965577,700D9B77F
X,1552965579,413378,432
X,1552965579,413359,591
X,1552965580,413305,933
X,1552965580,413384,487
