941,5158
P,1559867370,5156
P,1559867399,5157
P,1559867429,5156
P,1559867459,5157
P,1559867488,5159
P,1559867518,5158
P,1559867547,5156
P,1559867576,5159
P,1559867605,5156
P,1559867635,5157
P,1559867664,5158
P,1559867693,5157
P,1559867723,5157
P,1559867753,5157
P,1559867782,5160
P,1559867811,5158
P,1559867841,5158
P,1559867870,5156
P,1559867899,5158
P,1559867928,5157
P,1559867958,5157
P,1559867987,5157
P,1559868016,5158
P,1559868047,5157
P,1559868077,5157
P,1559868106,5156
D,1559868109,270080
R,1559868109,5C00DDFC91
R,1559868109,5C00DDFC91
R,1559868109,5C00DDFC91
X,1559868111,373709,13397
X,1559868112,374990,8118
X,1559868112,375108,8123
X,1559868113,375671,16368
X,1559868113,375388,5413
X,1559868114,375811,2210
X,1559868114,375336,5981
X,1559868115,377054,8441
X,1559868115,376660,3133
X,1559868116,376349,2402
X,1559868117,376559,16881
X,1559868117,376312,2550
X,1559868118,376311,2687
X,1559868118,376572,3045
X,1559868119,376185,4184
X,1559868119,377092,6948
X,1559868120,376973,1696
X,1559868121,376990,2226
X,1559868121,376279,8581
X,1559868122,376037,3426
X,1559868122,376470,6831
X,1559868123,376053,2649
X,1559868123,376116,2740
X,1559868124,374937,17018
X,1559868125,374992,6614
X,1559868125,373555,21364
X,1559868126,376929,13116
X,1559868126,375620,5992
X,1559868127,375408,7669
X,1559868127,375210,2851
X,1559868128,375384,1833
X,1559868129,375452,1841
X,1559868129,375466,2303
X,1559868130,375720,16007
X,1559868130,375006,14208
X,1559868131,374818,12080
X,1559868131,375680,9319
X,1559868132,375679,2458
X,1559868133,376102,2228
X,1559868133,375929,2006
X,1559868134,375761,4754
X,1559868134,375076,2124
X,1559868134,375193,1705
X,1559868134,375128,2525
P,1559868135,5151
X,1559868135,375567,1126
X,1559868136,376782,6131
X,1559868136,376161,25512
X,1559868137,378610,50162
X,1559868137,375583,22125
X,1559868138,375589,31136
X,1559868138,375777,13370
X,1559868139,376093,7173
X,1559868140,376330,2503
X,1559868140,369857,26883
X,1559868141,323463,47223
X,1559868141,150482,9803
X,1559868142,150378,1368
