H,1550111590,304590
X,1550111590,703130,1678
X,1550111591,702837,1039
X,1550111591,703152,787
X,1550111592,703130,714
X,1550111592,702992,1033
X,1550111593,703055,827
X,1550111593,703204,1390
X,1550111594,703325,721
A,1550111594,703301,460
T,1550111594,2721
R,1550111594,700D98F77
X,1550111596,703053,1482
X,1550111597,703323,1274
X,1550111597,703350,1465
X,1550111598,703244,1091
X,1550111598,703103,988
X,1550111599,703045,842
X,1550111599,702993,1820
X,1550111600,703337,667
X,1550111600,703401,720
X,1550111601,702940,590
X,1550111602,703204,742
X,1550111602,703347,1338
X,1550111603,703249,802
X,1550111603,703370,992
X,1550111604,703494,977
X,1550111604,703331,1129
X,1550111605,703220,1071
X,1550111606,703270,809
X,1550111606,703215,813
X,1550111607,703227,663
X,1550111607,703203,1289
P,1550111608,5052
X,1550111608,703185,799
X,1550111608,703093,916
X,1550111608,703227,759
X,1550111609,703276,808
X,1550111609,703395,1006
X,1550111610,703497,1632
X,1550111610,703009,2447
X,1550111611,702884,1063
X,1550111611,703094,789
X,1550111612,702884,1072
X,1550111613,703029,1019
X,1550111613,703035,1084
X,1550111614,703052,785
X,1550111614,703039,1112
X,1550111615,703127,627
X,1550111615,703196,890
A,1550111615,703205,554
T,1550111616,2721
R,1550111616,700D98F77
X,1550111617,703719,8996
X,1550111618,703016,2935
X,1550111619,703258,1188
X,1550111619,703286,1215
X,1550111620,703160,914
X,1550111620,702560,1002
X,1550111621,702519,1260
X,1550111621,702995,1978
X,1550111622,702963,998
X,1550111622,702779,1141
X,1550111623,703036,1136
X,1550111624,703078,1424
X,1550111624,703083,880
X,1550111625,702988,805
X,1550111625,703057,967
X,1550111626,702930,1210
X,1550111626,702872,1168
X,1550111627,702731,1105
X,1550111628,702901,1431
X,1550111628,703121,1006
X,1550111629,703090,1222
X,1550111629,702890,568
X,1550111630,702764,1124
X,1550111630,702786,1318
X,1550111631,703180,1259
X,1550111632,703232,866
X,1550111632,703143,528
X,1550111633,703147,803
X,1550111633,703164,710
X,1550111634,703141,1012
X,1550111634,702890,1186
X,1550111635,702800,802
X,1550111636,703079,1102
X,1550111636,703103,1266
X,1550111637,703044,1265
P,1550111637,5061
X,1550111637,703249,823
X,1550111638,703103,969
X,1550111638,703237,889
X,1550111639,703312,626
X,1550111640,703145,821
X,1550111640,703143,852
X,1550111641,703193,752
X,1550111641,703112,874
X,1550111642,703126,1211
X,1550111642,703182,1379
X,1550111643,703074,1030
X,1550111644,703056,1043
X,1550111644,703225,482
A,1550111644,703117,512
T,1550111644,2721
R,1550111644,700D98F77
X,1550111646,703013,835
X,1550111647,702976,920
X,1550111647,703074,1258
X,1550111648,703134,986
X,1550111648,703223,984
X,1550111649,703246,735
X,1550111649,703158,700
X,1550111649,702960,1262
X,1550111650,703150,526
X,1550111650,703140,949
X,1550111651,703212,1004
X,1550111651,703286,889
X,1550111652,703247,1257
X,1550111652,702963,1100
X,1550111653,703284,1340
X,1550111654,703137,1244
X,1550111654,702626,1695
X,1550111655,702728,1002
X,1550111655,702860,750
X,1550111656,702664,956
X,1550111656,702830,594
X,1550111657,702911,1082
X,1550111658,702957,1169
X,1550111658,702971,411
X,1550111659,703091,590
X,1550111659,703099,1138
X,1550111660,703238,785
X,1550111660,703190,950
X,1550111661,703027,716
X,1550111662,703203,702
X,1550111662,703094,1088
X,1550111663,703143,1116
X,1550111663,703079,637
X,1550111664,702929,652
A,1550111664,703070,622
T,1550111664,2721
R,1550111664,700D98F77
X,1550111666,703344,958
P,1550111666,5059
X,1550111666,703100,982
X,1550111667,702963,855
X,1550111667,702825,728
X,1550111668,702784,756
X,1550111669,702718,961
X,1550111669,702820,849
X,1550111670,702851,683
X,1550111670,702954,1091
X,1550111671,703005,881
X,1550111671,703121,765
X,1550111672,703005,542
X,1550111673,702884,794
X,1550111673,702987,1120
X,1550111674,702883,459
X,1550111674,702712,1161
X,1550111675,702946,3022
X,1550111675,703001,2367
X,1550111676,702781,8115
X,1550111677,702450,3529
X,1550111677,702972,2459
X,1550111678,703024,1454
X,1550111678,702941,747
X,1550111679,702907,1104
X,1550111679,703013,940
X,1550111680,703051,985
X,1550111681,703019,969
X,1550111681,702996,1122
X,1550111682,702963,859
X,1550111682,703043,659
X,1550111683,703010,1928
