H,1554700273,241338
P,1554700273,5135
P,1554700302,5135
P,1554700332,5134
P,1554700361,5135
P,1554700390,5134
P,1554700419,5135
P,1554700450,5135
P,1554700479,5135
P,1554700508,5135
P,1554700538,5134
P,1554700567,5134
P,1554700596,5135
P,1554700625,5134
P,1554700655,5136
P,1554700684,5134
P,1554700713,5135
P,1554700744,5133
P,1554700773,5133
P,1554700802,5134
P,1554700831,5134
P,1554700861,5135
P,1554700890,5134
P,1554700919,5135
P,1554700949,5134
P,1554700978,5134
P,1554701007,5134
P,1554701037,5134
P,1554701067,5135
P,1554701096,5134
P,1554701125,5135
P,1554701154,5134
P,1554701184,5133
P,1554701213,5133
P,1554701242,5135
P,1554701272,5134
P,1554701301,5134
D,1554701322,295168
D,1554701324,307968
D,1554701326,298496
D,1554701329,299776
P,1554701331,5134
D,1554701331,303104
D,1554701333,297728
D,1554701335,300800
D,1554701337,313088
D,1554701340,314368
D,1554701342,301568
D,1554701344,299008
D,1554701346,297984
D,1554701349,300288
D,1554701351,303360
D,1554701353,300032
D,1554701355,306688
D,1554701357,297728
D,1554701359,289280
P,1554701360,5134
D,1554701361,303104
D,1554701363,301056
D,1554701365,302848
D,1554701367,302592
R,1554701367,000000000
X,1554701369,451819,4259
X,1554701370,451832,4742
X,1554701370,451878,8936
X,1554701371,451896,2076
X,1554701371,452007,7737
X,1554701372,452323,29925
X,1554701373,452828,23065
X,1554701373,453223,15886
X,1554701374,452073,10213
X,1554701374,451939,1971
X,1554701375,452858,7795
X,1554701375,451490,5776
X,1554701376,452119,4133
X,1554701377,452307,6003
X,1554701377,451841,57885
X,1554701378,451676,17479
X,1554701378,453044,16376
X,1554701379,452037,16268
X,1554701379,452629,2885
X,1554701380,452716,1445
X,1554701380,451907,9283
X,1554701381,451814,21539
X,1554701382,452052,1352
X,1554701382,452026,19042
X,1554701383,452924,28908
X,1554701383,452256,11299
X,1554701384,451889,746
X,1554701384,451877,4916
X,1554701385,451217,23099
X,1554701386,450864,8924
X,1554701386,451960,23527
X,1554701387,451913,4223
X,1554701387,451568,35187
X,1554701388,451539,45434
X,1554701388,451367,2938
X,1554701389,451313,1944
X,1554701390,450605,38777
P,1554701390,5129
X,1554701390,450352,40910
X,1554701391,451744,7493
X,1554701391,452054,15244
X,1554701392,451072,5155
X,1554701392,451504,42059
X,1554701393,451698,1169
X,1554701394,451814,16064
X,1554701394,451603,2259
X,1554701395,451593,2680
X,1554701395,451887,25042
X,1554701396,450483,50073
X,1554701396,450904,7720
X,1554701397,451723,5150
X,1554701398,450513,43735
X,1554701398,451483,2742
X,1554701399,451377,2642
X,1554701399,451740,1183
X,1554701400,451845,978
X,1554701400,451895,1963
X,1554701400,451877,1679
X,1554701400,452092,15294
X,1554701401,452036,416
X,1554701402,452066,1152
X,1554701402,452032,2207
X,1554701403,452023,806
X,1554701403,452020,587
X,1554701404,451941,2324
X,1554701404,452047,913
X,1554701405,451844,1587
X,1554701406,451965,482
X,1554701406,452038,1441
X,1554701407,452077,871
X,1554701407,452303,2371
X,1554701408,452199,1188
X,1554701408,452159,1210
X,1554701409,452262,1190
X,1554701410,452243,829
X,1554701410,452154,484
X,1554701411,452033,4051
X,1554701411,452223,1361
X,1554701412,452232,697
X,1554701412,452171,3417
X,1554701413,452001,6146
X,1554701414,452211,720
X,1554701414,452269,421
X,1554701415,452242,516
X,1554701415,452093,3560
X,1554701416,452181,577
X,1554701416,452175,478
X,1554701417,452295,1788
X,1554701418,452264,1663
X,1554701418,452363,856
X,1554701419,452397,5973
P,1554701419,5128
X,1554701419,452817,11975
X,1554701420,451539,30878
X,1554701420,451304,23014
X,1554701421,452450,24410
X,1554701421,452336,10851
X,1554701422,453017,12570
X,1554701423,451441,5456
X,1554701423,452085,919
X,1554701424,452141,11574
X,1554701424,452255,2210
X,1554701425,452414,2514
X,1554701425,452327,846
X,1554701426,452415,710
A,1554701426,452139,570
T,1554701426,2799
U,1554701427,0
X,1554701428,452342,715
X,1554701429,452257,505
X,1554701429,452395,484
X,1554701430,452565,844
X,1554701430,452554,1500
X,1554701431,452461,1536
X,1554701432,452429,630
X,1554701432,452400,552
X,1554701433,452521,567
X,1554701433,452426,17692
X,1554701434,451934,11459
X,1554701434,452562,12242
X,1554701435,451466,12635
X,1554701436,451346,11473
X,1554701436,451803,5948
X,1554701437,450981,6675
X,1554701437,452327,14310
X,1554701438,451243,5062
X,1554701438,449604,14177
X,1554701439,449971,10143
X,1554701440,452021,12442
X,1554701440,451368,34007
X,1554701441,451326,4991
